#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,749.0018
DEPTH_LSF,P16B,P16H,P16L,P22B,P22H,P22L,P28B,P28H,P28L,P34B,P34H,P34L,P40B,P40H,P40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
10.7759,1.006033,1.001311,1.006062,1.012441,0.9890745,1.012742,1.026232,0.9934099,1.027148,1.038284,1.004084,1.039698,1.040619,1.004438,1.042213
10.9283,1.038121,1.022547,1.038748,1.04369,1.036148,1.044037,1.050924,1.050569,1.050942,1.053807,1.060838,1.05341,1.050455,1.066248,1.04963
11.0807,1.032949,0.9570886,1.035762,1.042926,0.9987954,1.045006,1.050415,1.024879,1.05181,1.053978,1.035135,1.055077,1.056172,1.046262,1.056769
11.2331,1.044323,1.033009,1.044854,1.053927,1.060619,1.053549,1.05918,1.078738,1.057976,1.062487,1.086208,1.060948,1.068014,1.093604,1.0662
11.3855,1.036985,1.056253,1.03626,1.061414,1.056376,1.061745,1.067427,1.077749,1.06669,1.05961,1.098747,1.057235,1.054972,1.096447,1.052667
11.5379,1.036985,1.056253,1.03626,1.061414,1.056376,1.061745,1.067427,1.077749,1.06669,1.05961,1.098747,1.057235,1.054972,1.096447,1.052667
11.6903,1.034874,0.9908332,1.036544,1.053773,1.002893,1.056839,1.06311,1.027112,1.065639,1.064957,1.05532,1.065634,1.067885,1.074532,1.067405
11.8427,1.035232,1.026849,1.035541,1.045284,1.045895,1.045255,1.053488,1.059797,1.053134,1.055345,1.068268,1.054599,1.052401,1.077047,1.051075
11.9951,1.046235,1.000545,1.048567,1.054683,1.026434,1.05637,1.066454,1.04752,1.067831,1.075233,1.06232,1.0763,1.077625,1.076712,1.077702
12.1475,1.033302,1.027091,1.033518,1.049998,1.045427,1.05024,1.066216,1.062572,1.066476,1.073394,1.072273,1.073483,1.071422,1.075997,1.071072
12.2999,1.030197,0.9721838,1.032122,1.043112,0.9821405,1.046055,1.054779,0.9975632,1.058322,1.064059,1.014324,1.067668,1.071538,1.027387,1.075125
12.4523,1.036567,0.9979066,1.038098,1.056319,1.032823,1.057759,1.069235,1.054533,1.070347,1.076686,1.060008,1.078098,1.085261,1.064089,1.087286
12.6047,1.078652,1.065303,1.07981,1.088034,1.091016,1.087748,1.09145,1.100852,1.090514,1.09477,1.105456,1.093666,1.103845,1.121965,1.101792
12.7571,1.057337,1.03636,1.058644,1.072311,1.060394,1.073253,1.080976,1.076912,1.081336,1.082725,1.084177,1.082594,1.083462,1.090507,1.082826
12.9095,1.035775,0.9982536,1.037226,1.055939,1.03549,1.057178,1.07147,1.058864,1.072455,1.080559,1.064804,1.081966,1.087745,1.069028,1.089586
13.0619,1.039217,1.025376,1.039791,1.057212,1.037605,1.058429,1.078126,1.051153,1.080487,1.093251,1.051744,1.097748,1.098667,1.038143,1.105831
13.2143,1.087069,1.059482,1.08979,1.131842,1.130672,1.132019,1.1567,1.168068,1.154619,1.163085,1.176469,1.160524,1.173063,1.19625,1.168367
13.3667,1.12136,1.024017,1.136786,1.145154,1.106617,1.152064,1.169673,1.167505,1.170117,1.176701,1.189763,1.173949,1.167244,1.203116,1.16039
13.5191,1.042095,1.007156,1.043695,1.070182,1.044137,1.072208,1.088506,1.073375,1.089997,1.09735,1.089185,1.098235,1.106131,1.10105,1.106735
13.6715,1.058923,0.9992034,1.062935,1.083541,1.035273,1.088211,1.113087,1.069994,1.118902,1.131972,1.070671,1.14213,1.134331,1.040295,1.151067
13.8239,1.146693,1.134751,1.148777,1.162247,1.157312,1.163207,1.179231,1.185204,1.177936,1.193498,1.205642,1.190634,1.202772,1.213074,1.20019
13.9763,1.030767,1.094505,1.028872,1.078722,1.064524,1.079956,1.106796,1.040404,1.115463,1.111306,1.048648,1.119838,1.106204,1.085801,1.108692
14.1287,1.09429,1.039608,1.100402,1.146453,1.056791,1.164057,1.161408,1.092182,1.176215,1.159456,1.134754,1.164308,1.175667,1.16544,1.177879
14.2811,1.099643,1.047807,1.105774,1.126791,1.08716,1.132865,1.145561,1.120171,1.150045,1.153885,1.140737,1.156321,1.159959,1.156983,1.160529
14.4335,1.029204,0.9599656,1.031451,1.059573,1.010589,1.062857,1.107167,1.100378,1.107989,1.141214,1.170591,1.136568,1.137418,1.17067,1.132346
14.5859,1.026603,0.8883703,1.03103,1.06834,0.9313844,1.080297,1.111801,1.011318,1.126331,1.144566,1.072361,1.158128,1.159003,1.071297,1.177995
14.7383,1.023598,0.9880353,1.024492,1.053327,1.013164,1.055696,1.076365,1.039748,1.07953,1.084949,1.03918,1.089445,1.084465,1.010431,1.091961
14.8907,1.062413,0.9206094,1.0737,1.08551,0.9912165,1.095464,1.121542,1.045197,1.133284,1.154112,1.086116,1.167825,1.17295,1.13742,1.180786
15.0431,1.049846,0.9656899,1.054718,1.081324,1.026472,1.086519,1.118913,1.086267,1.123514,1.154473,1.120951,1.160901,1.180954,1.13282,1.192423
15.1955,1.054118,1.024978,1.055842,1.088766,1.077585,1.08987,1.114671,1.119263,1.114079,1.129507,1.151378,1.126344,1.142855,1.189405,1.135556
15.3479,1.038513,1.016234,1.039427,1.076287,1.01631,1.081616,1.110416,1.016515,1.123666,1.123197,1.038794,1.136543,1.115568,1.085725,1.119622
15.5003,1.100914,1.06383,1.105276,1.131638,1.112218,1.134656,1.158593,1.15904,1.158502,1.173773,1.184329,1.171579,1.180596,1.191133,1.178306
15.6527,1.050152,0.9995158,1.052984,1.10153,1.048917,1.107892,1.119784,1.081068,1.125329,1.109953,1.082244,1.113497,1.105078,1.072843,1.109019
15.8051,1.021347,0.9552189,1.022896,1.073258,1.006791,1.078956,1.107355,1.042326,1.115878,1.127142,1.054603,1.138837,1.149737,1.061411,1.167511
15.9575,1.056109,0.9223188,1.065485,1.086774,1.004775,1.095424,1.114683,1.085262,1.118643,1.130717,1.126474,1.131359,1.138342,1.132451,1.139295
16.1099,1.05177,0.9863226,1.055625,1.095153,1.042081,1.101123,1.126667,1.089631,1.132315,1.145866,1.111267,1.152071,1.164408,1.117808,1.174243
16.2623,1.01969,1.003244,1.020027,1.06742,1.052981,1.068482,1.094933,1.092328,1.095208,1.111404,1.099257,1.112952,1.135554,1.086935,1.143714
16.4147,1.059662,1.068322,1.059117,1.066698,1.067601,1.066633,1.07771,1.081204,1.077417,1.089303,1.088665,1.089366,1.096449,1.074972,1.098804
16.5671,1.038344,0.9903723,1.040361,1.075333,1.051214,1.077355,1.10247,1.102386,1.102479,1.114899,1.130343,1.112933,1.123211,1.148583,1.119759
16.7195,1.047118,0.938561,1.05322,1.083303,1.018552,1.089683,1.110662,1.081458,1.114436,1.124181,1.112261,1.125898,1.134723,1.133614,1.134896
16.8719,1.022857,0.9324633,1.025194,1.070762,1.00487,1.076197,1.107526,1.057909,1.113904,1.125923,1.083021,1.132475,1.138954,1.104014,1.144874
17.0243,1.055723,0.9749889,1.060964,1.097112,1.034587,1.1044,1.129243,1.083859,1.136412,1.14651,1.111339,1.152856,1.158805,1.130586,1.164355
17.1767,1.059047,0.9981468,1.063153,1.099814,1.06401,1.103968,1.130547,1.105202,1.134485,1.148133,1.123304,1.152604,1.164703,1.149366,1.167796
