#HOLE:,U1520B,,
#EXPEDITION:,372,,
#TOP:,0.1079,,
#BOTTOM:,752.0498,,
DEPTH_LSF,DHAP,DHAT,ECD
m,psi,degC,g/cm3
40.3415,5286.582886,2,3.374738
40.4939,5279.011903,2,3.192299
40.6463,5287.002046,2,3.347972
40.7987,5282.012739,2,3.227336
40.9511,5285.009224,2,3.274945
41.1035,5279.716787,2,3.156151
41.2559,5275.014655,2,3.05062
41.4083,5282.004037,2,3.174761
41.5607,5283.899683,2,3.199558
41.7131,5282.009838,2,3.142249
41.8655,5287.010748,2,3.232035
42.0179,5289.007922,2,3.259132
42.1703,5276.015418,2,2.98306
42.3227,5288.00861,2,3.211044
42.4751,5289.009372,2,3.212945
42.6275,5286.719222,2,3.159315
42.7799,5283.012051,2,3.072504
42.9323,5288.00861,2,3.152718
43.0847,5286.009986,2,3.100978
43.2371,5289.367616,2,3.157204
43.3895,5292.007308,2,3.201389
43.5419,5293.00952,2,3.203968
43.6943,5276.009616,2,2.863421
43.8467,5289.009372,2,3.103618
43.9991,5288.01006,2,3.070405
44.1515,5289.009372,2,3.075123
44.3039,5279.010452,2,2.872164
44.4563,5292.007308,2,3.098588
44.6087,5286.015788,2,2.972703
44.7611,5291.006545,2,3.056309
44.9135,5289.010822,2,3.006422
45.0659,5296.008906,2,3.122936
45.2183,5292.014559,2,3.037688
45.3707,5286.014337,2,2.916736
45.5231,5284.009912,2,2.871427
45.6755,5289.009372,2,2.95461
45.8279,5294.008832,2,3.032791
45.9803,5293.01097,2,2.994149
46.1327,5291.010896,2,2.948814
46.2851,5287.010748,2,2.864605
46.4375,5284.011363,2,2.801913
46.5899,5292.001506,2,2.932859
46.7423,5288.011511,2,2.850444
46.8947,5286.009986,2,2.807117
47.0471,5290.010134,2,2.869243
47.1995,5288.011511,2,2.822878
47.3519,5289.009372,2,2.82691
47.5043,5289.009372,2,2.814513
47.6567,5290.010134,2,2.819157
47.8091,5289.034029,2,2.795224
47.9615,5291.007996,2,2.814295
48.1139,5291.009446,2,2.809223
48.2663,5289.009372,2,2.767071
48.4187,5293.00952,2,2.817535
48.5711,5293.00952,2,2.808938
48.7235,5292.010208,2,2.781163
48.8759,5295.008144,2,2.821692
49.0283,5294.008832,2,2.796644
49.1807,5293.01097,2,2.772376
49.3331,5289.012273,2,2.696349
49.4855,5293.00807,2,2.751643
49.6379,5296.008906,2,2.790645
49.7903,5293.00952,2,2.727721
49.9427,5292.010208,2,2.706408
50.0951,5295.008144,2,2.74685
50.2475,5295.009594,2,2.733435
50.3999,5293.850741,2,2.705795
50.5523,5293.00952,2,2.685762
50.7047,5295.008144,2,2.704305
50.8571,5297.009668,2,2.724134
51.0095,5294.008832,2,2.668737
51.1619,5296.007456,2,2.691071
51.3143,5297.009668,2,2.696354
51.4667,5299.009742,2,2.717967
51.6191,5299.009742,2,2.709008
51.7715,5299.009742,2,2.704603
51.9239,5300.009054,2,2.711115
52.0763,5300.009054,2,2.701267
52.2287,5301.009816,2,2.703986
52.3811,5301.009816,2,2.697552
52.5335,5299.012643,2,2.660097
52.6859,5302.007678,2,2.691934
52.8383,5304.009202,2,2.716197
52.9907,5302.009128,2,2.674721
53.1431,5304.007752,2,2.698372
53.2955,5304.009202,2,2.687627
53.4479,5304.854774,2,2.694651
53.6003,5306.009276,2,2.704258
53.7527,5303.00989,2,2.648952
53.9051,5305.008514,2,2.672958
54.0575,5302.012029,2,2.614573
54.2099,5308.00935,2,2.697162
54.3623,5306.009276,2,2.65584
54.5147,5306.914313,2,2.664448
54.6671,5304.010652,2,2.608818
54.8195,5308.0079,2,2.660939
54.9719,5305.009964,2,2.60892
55.1243,5306.007826,2,2.613542
55.2767,5307.008588,2,2.625217
55.4291,5311.007286,2,2.675043
55.5815,5309.010112,2,2.634859
55.7339,5308.0108,2,2.610867
55.8863,5310.007974,2,2.630721
56.0387,5301.014167,2,2.496336
56.1911,5303.00989,2,2.517339
56.3435,5305.008514,2,2.536839
56.4959,5301.014167,2,2.474042
56.6483,5300.010504,2,2.447195
56.8007,5304.009202,2,2.500753
56.9531,5304.009202,2,2.495823
57.1055,5302.012029,2,2.453307
57.2579,5302.009128,2,2.447101
57.4103,5302.009128,2,2.441686
57.5627,5302.009128,2,2.437071
57.7151,5305.009964,2,2.466829
57.8675,5306.007826,2,2.471731
58.0199,5306.009276,2,2.466359
58.1723,5304.009202,2,2.433003
58.3247,5307.010038,2,2.468737
58.4771,5306.010726,2,2.444332
58.6295,5309.007212,2,2.479393
58.7819,5306.010726,2,2.430293
58.9343,5308.35164,2,2.455919
59.0867,5310.007974,2,2.47404
59.2391,5310.009424,2,2.463098
59.3915,5309.493089,2,2.44985
59.5439,5309.010112,2,2.437438
59.6963,5311.010186,2,2.454854
59.8487,5312.008048,2,2.459976
60.0011,5315.008884,2,2.494482
60.1535,5310.009424,2,2.423149
60.3059,5313.00881,2,2.456031
60.4583,5312.010948,2,2.433043
60.6107,5313.790565,2,2.450445
60.7631,5315.008884,2,2.462363
60.9155,5313.00881,2,2.425839
61.0679,5313.00881,2,2.416382
61.2203,5313.00881,2,2.412546
61.3727,5316.008196,2,2.446682
61.5251,5317.010408,2,2.44772
61.6775,5316.011097,2,2.427989
61.8299,5318.00827,2,2.447089
61.9823,5316.011097,2,2.414746
62.1347,5317.010408,2,2.421251
62.2871,5318.00972,2,2.428394
62.4395,5317.010408,2,2.408823
62.5919,5320.008344,2,2.440626
62.7443,5320.009794,2,2.434505
62.8967,5320.009794,2,2.426217
63.0491,5317.013309,2,2.382923
63.2015,5319.007582,2,2.402301
63.3539,5323.00773,2,2.446753
63.5063,5318.00972,2,2.376054
63.6587,5324.009942,2,2.443433
63.8111,5325.057117,2,2.451841
63.9635,5326.008566,2,2.459491
64.1159,5321.625518,2,2.396331
64.2683,5320.011245,2,2.373063
64.4207,5327.002076,2,2.448458
64.5731,5326.010016,2,2.430017
64.7255,5320.011245,2,2.350843
64.8779,5327.009328,2,2.42927
65.0303,5322.01567,2,2.36182
65.1827,5327.004977,2,2.414935
65.3351,5325.010704,2,2.388093
65.4875,5319.009032,2,2.30901
65.6399,5321.009106,2,2.32565
65.7923,5319.011933,2,2.294709
65.9447,5321.009106,2,2.311773
66.0971,5322.009868,2,2.318022
66.2495,5323.00918,2,2.324672
66.4019,5321.012007,2,2.29725
66.5543,5324.008492,2,2.327909
66.7067,5320.011245,2,2.27067
66.8591,5321.009106,2,2.276282
67.0115,5324.005591,2,2.307359
67.1639,5327.007878,2,2.337918
67.3163,5327.009328,2,2.330943
67.4687,5326.010016,2,2.311447
67.6211,5327.007878,2,2.318218
67.7735,5322.014219,2,2.256249
67.9259,5330.005813,2,2.345081
68.0783,5331.009476,2,2.346621
68.2307,5329.009402,2,2.318527
68.3831,5328.01009,2,2.302942
68.5355,5328.01009,2,2.297454
68.6879,5325.010704,2,2.256684
68.8403,5331.009476,2,2.319254
68.9927,5327.013679,2,2.265743
69.1451,5330.007264,2,2.294376
69.2975,5329.009402,2,2.280213
69.4499,5327.009328,2,2.254134
69.6023,5331.009476,2,2.29318
69.7547,5333.0081,2,2.309295
69.9071,5330.011615,2,2.269723
70.0595,5330.008714,2,2.264296
70.2119,5334.008862,2,2.300605
70.3643,5329.015204,2,2.24063
70.5167,5334.005961,2,2.28919
70.6691,5334.010312,2,2.284516
70.8215,5332.010238,2,2.257394
70.9739,5332.010238,2,2.252178
71.1263,5331.009476,2,2.235827
71.2787,5333.00955,2,2.252242
71.4311,5336.010386,2,2.278759
71.5835,5334.413518,2,2.257759
71.7359,5333.011001,2,2.23932
71.8883,5333.00955,2,2.232062
72.0407,5337.009698,2,2.267957
72.1931,5338.00901,2,2.274755
72.3455,5337.011149,2,2.257394
72.4979,5337.009698,2,2.254564
72.6503,5340.009084,2,2.278755
72.8027,5337.009698,2,2.242655
72.9551,5341.008396,2,2.280582
73.1075,5339.011223,2,2.252203
73.2599,5338.01046,2,2.237905
73.4123,5339.009772,2,2.243595
73.5647,5339.009772,2,2.238598
73.7171,5340.009084,2,2.242223
73.8695,5338.01046,2,2.216555
74.0219,5335.011075,2,2.179608
74.1743,5340.009084,2,2.227821
74.3267,5339.011223,2,2.213403
74.4791,5331.013827,2,2.123677
74.6315,5333.00955,2,2.140518
74.7839,5333.00955,2,2.136869
74.9363,5335.009624,2,2.150088
75.0887,5334.010312,2,2.136535
75.2411,5337.008248,2,2.161692
75.3935,5334.010312,2,2.127028
75.5459,5334.010312,2,2.121302
75.6983,5336.007486,2,2.136251
75.8507,5334.45848,2,2.117677
76.0031,5333.00955,2,2.100328
76.1555,5336.010386,2,2.126029
76.3079,5339.006871,2,2.15162
76.4603,5338.01046,2,2.135865
76.6127,5332.011689,2,2.069765
76.7651,5338.00901,2,2.12614
76.9175,5337.009698,2,2.109251
77.0699,5336.010386,2,2.096167
77.2223,5338.00901,2,2.110156
77.3747,5338.00901,2,2.105889
77.5271,5336.010386,2,2.081614
77.6795,5340.006183,2,2.116736
77.8319,5341.008396,2,2.122246
77.9843,5341.009846,2,2.117088
78.1367,5338.01046,2,2.083812
78.2891,5340.007634,2,2.097893
78.4415,5340.664656,2,2.101868
78.5939,5342.009158,2,2.109987
