#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0229
#BOTTOM:,323.1109
DEPTH_WMSF,GR,ECGR
m,gAPI,gAPI
53.3629,17.8647,18.56634
53.5153,16.90098,17.56478
53.6677,17.70887,18.40439
53.8201,20.1669,20.95897
53.9725,22.11096,22.97938
54.1249,21.7033,22.55571
54.2773,21.92661,22.78779
54.4297,22.67518,23.56576
54.5821,25.05816,26.04234
54.7345,24.29302,25.24714
54.8869,21.53363,22.37938
55.0393,19.01176,19.75846
55.1917,19.17852,19.93177
55.3441,19.21598,19.97069
55.4965,20.41992,21.22193
55.6489,20.14872,22.77228
55.8013,20.76534,24.03074
55.9537,19.70351,22.80224
56.1061,21.50553,24.89228
56.2585,23.42867,27.11221
56.4109,22.73819,26.31529
56.5633,20.1754,23.34998
56.7157,20.44959,23.66734
56.8681,22.45595,25.99613
57.0205,25.42466,29.41898
57.1729,26.41306,30.57707
57.3253,24.39579,28.23246
57.4777,23.76773,27.50563
57.6301,21.87307,25.31283
57.7825,21.69486,25.10529
57.9349,20.3066,23.5008
58.0873,20.29891,23.4896
58.2397,21.10357,24.42074
58.3921,19.78248,22.89199
58.5445,18.62073,21.54832
58.6969,17.21383,19.92243
58.8493,16.46137,19.05158
59.0017,16.35736,18.93035
59.1541,17.72853,20.51854
59.3065,19.87356,23.00498
59.4589,20.44858,24.00623
59.6113,22.00697,26.77889
59.7637,21.62397,26.98035
59.9161,21.62387,26.6799
60.0685,20.29307,24.31823
60.2209,18.60569,22.02553
60.3733,18.31509,22.1159
60.5257,18.23353,22.64704
60.6781,20.81853,25.90193
60.8305,21.93279,26.92704
60.9829,22.94399,28.17385
61.1353,22.18588,27.22484
61.2877,22.64743,27.78212
61.4401,21.04463,25.44067
61.5925,23.47,27.17499
61.7449,23.35387,26.81252
61.8973,24.00239,27.50645
62.0497,20.7902,23.80648
62.2021,20.28334,23.24072
62.3545,19.64029,22.5565
62.5069,21.92056,25.21159
62.6593,22.35082,25.75856
62.8117,23.47566,27.0595
62.9641,23.80234,27.72789
63.1165,23.31283,26.86864
63.2689,22.53662,25.95095
63.4213,20.50543,23.61205
63.5737,19.87187,22.95575
63.7261,19.54904,22.85442
63.8785,18.71813,22.08272
64.0309,17.57983,20.7841
64.1833,18.02506,21.49985
64.3357,19.9407,23.83054
64.4881,20.87841,23.68385
64.6405,21.32816,24.22935
64.7929,23.27274,26.63994
64.9453,24.51804,28.05821
65.0977,28.42607,32.51689
65.2501,27.46021,31.11384
65.4025,27.15223,30.25456
65.5549,25.32381,28.15018
65.7073,28.20484,31.13461
65.8597,34.11973,37.54444
66.0121,35.5791,39.14983
66.1645,33.67482,37.02525
66.3169,32.65493,35.85878
66.4693,34.68623,37.99945
66.6217,36.09734,39.5137
66.7741,34.88593,38.26443
66.9265,33.37205,36.69894
67.0789,36.49973,40.16258
67.2313,39.38366,43.33018
67.3837,39.51553,43.47497
67.5361,38.8061,42.75128
67.6885,35.82748,39.49633
67.8409,38.91731,42.94849
67.9933,38.72641,42.68586
68.1457,41.0026,45.17633
68.2981,36.5224,40.2446
68.4505,35.7736,39.42572
68.6029,33.93521,37.40546
68.7553,35.82048,39.47877
68.9077,36.11813,39.80065
69.0601,36.77551,40.36406
69.2125,36.4488,39.89939
69.3649,35.93869,39.32177
69.5173,38.83753,42.48668
69.6697,38.9869,42.66034
69.8221,38.70124,42.28904
69.9745,37.21895,40.65657
70.1269,39.80369,43.46862
70.2793,43.13784,47.05198
70.4317,41.98491,45.8004
70.5841,39.67443,43.26757
70.7365,37.78706,41.2045
70.8889,37.78064,41.1975
71.0413,35.38148,38.58596
71.1937,32.68213,35.63937
71.3461,32.62593,35.62365
71.4985,32.82659,35.98515
71.6509,32.26585,35.45545
71.8033,30.76763,33.82761
71.9557,33.54043,36.89949
72.1081,35.74623,39.38741
