#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.0332
#BOTTOM:,196.3244
DEPTH_LSF,DTCO,DTSM,VCO,VSH
m,us/ft,us/ft,km/s,km/s
40.8764,179.63745,-999.25.00000,1.6968,-999.25
41.0288,179.63747,-999.25.00000,1.6968,-999.25
41.1812,179.88554,-999.25.00000,1.6944,-999.25
41.3336,181.07294,-999.25.00000,1.6833,-999.25
41.4860,182.96756,-999.25.00000,1.6659,-999.25
41.6384,184.15514,-999.25.00000,1.6551,-999.25
41.7908,184.38745,-999.25.00000,1.6530,-999.25
41.9432,183.92291,-999.25.00000,1.6572,-999.25
42.0956,182.25246,-999.25.00000,1.6724,-999.25
42.2480,180.84077,-999.25.00000,1.6855,-999.25
42.4004,179.87758,-999.25.00000,1.6945,-999.25
42.5528,179.64540,-999.25.00000,1.6967,-999.25
42.7052,179.86966,-999.25.00000,1.6946,-999.25
42.8576,180.58482,-999.25.00000,1.6878,-999.25
43.0100,180.81703,-999.25.00000,1.6857,-999.25
43.1624,180.81703,-999.25.00000,1.6857,-999.25
43.3148,180.58487,-999.25.00000,1.6878,-999.25
43.4672,179.86975,-999.25.00000,1.6946,-999.25
43.6196,179.62956,-999.25.00000,1.6968,-999.25
43.7720,179.38129,-999.25.00000,1.6992,-999.25
43.9244,178.43393,-999.25.00000,1.7082,-999.25
44.0768,177.49464,-999.25.00000,1.7172,-999.25
44.2292,177.50269,-999.25.00000,1.7172,-999.25
44.3816,178.67429,-999.25.00000,1.7059,-999.25
44.5340,180.33678,-999.25.00000,1.6902,-999.25
44.6864,180.81705,-999.25.00000,1.6857,-999.25
44.8388,181.07306,-999.25.00000,1.6833,-999.25
44.9912,182.01245,-999.25.00000,1.6746,-999.25
45.1436,182.73558,-999.25.00000,1.6680,-999.25
45.2960,182.50075,-999.25.00000,1.6701,-999.25
45.4484,183.22374,-999.25.00000,1.6635,-999.25
45.6008,184.15517,-999.25.00000,1.6551,-999.25
45.7532,184.15520,-999.25.00000,1.6551,-999.25
45.9056,183.21579,-999.25.00000,1.6636,-999.25
46.0580,182.26851,-999.25.00000,1.6723,-999.25
46.2104,182.02840,-999.25.00000,1.6745,-999.25
46.3628,182.02841,-999.25.00000,1.6745,-999.25
46.5152,182.26059,-999.25.00000,1.6723,-999.25
46.6676,182.97577,-999.25.00000,1.6658,-999.25
46.8200,183.20795,-999.25.00000,1.6637,-999.25
46.9724,183.20798,-999.25.00000,1.6637,-999.25
47.1248,182.97581,-999.25.00000,1.6658,-999.25
47.2772,182.25275,-999.25.00000,1.6724,-999.25
47.4296,181.78038,-999.25.00000,1.6767,-999.25
47.5820,180.83279,-999.25.00000,1.6855,-999.25
47.7344,180.12581,-999.25.00000,1.6922,-999.25
47.8868,180.83307,-999.25.00000,1.6855,-999.25
48.0392,181.77240,-999.25.00000,1.6768,-999.25
48.1916,182.00455,-999.25.00000,1.6747,-999.25
48.3440,181.77232,-999.25.00000,1.6768,-999.25
48.4964,180.82498,-999.25.00000,1.6856,-999.25
48.6488,179.89351,-999.25.00000,1.6943,-999.25
48.8012,180.11772,-999.25.00000,1.6922,-999.25
48.9536,181.54007,-999.25.00000,1.6790,-999.25
49.1060,181.98862,-999.25.00000,1.6748,-999.25
49.2584,181.54022,-999.25.00000,1.6790,-999.25
49.4108,180.11003,-999.25.00000,1.6923,-999.25
49.5632,179.64540,-999.25.00000,1.6967,-999.25
49.7156,179.62952,-999.25.00000,1.6968,-999.25
49.8680,179.63750,-999.25.00000,1.6968,-999.25
50.0204,179.86972,-999.25.00000,1.6946,-999.25
50.1728,180.58487,-999.25.00000,1.6878,-999.25
50.3252,180.82500,-999.25.00000,1.6856,-999.25
50.4776,181.06512,-999.25.00000,1.6834,-999.25
50.6300,181.78029,-999.25.00000,1.6767,-999.25
50.7824,182.01250,-999.25.00000,1.6746,-999.25
50.9348,182.02045,-999.25.00000,1.6745,-999.25
51.0872,182.02840,-999.25.00000,1.6745,-999.25
51.2396,182.26848,-999.25.00000,1.6723,-999.25
51.3920,183.22369,-999.25.00000,1.6635,-999.25
51.5444,184.40359,-999.25.00000,1.6529,-999.25
51.6968,185.35081,-999.25.00000,1.6444,-999.25
51.8492,185.35870,-999.25.00000,1.6444,-999.25
52.0016,184.65149,-999.25.00000,1.6507,-999.25
52.1540,184.41933,-999.25.00000,1.6528,-999.25
52.3064,184.41139,-999.25.00000,1.6528,-999.25
52.4588,184.41139,-999.25.00000,1.6528,-999.25
52.6112,184.40346,-999.25.00000,1.6529,-999.25
52.7636,184.17126,-999.25.00000,1.6550,-999.25
52.9160,183.45615,-999.25.00000,1.6614,-999.25
53.0684,183.22389,-999.25.00000,1.6635,-999.25
53.2208,183.22386,-999.25.00000,1.6635,-999.25
53.3732,183.45599,-999.25.00000,1.6614,-999.25
53.5256,184.17130,-999.25.00000,1.6550,-999.25
53.6780,184.41141,-999.25.00000,1.6528,-999.25
53.8304,184.65160,-999.25.00000,1.6507,-999.25
53.9828,185.35876,-999.25.00000,1.6444,-999.25
54.1352,185.35080,-999.25.00000,1.6444,-999.25
54.2876,184.39548,-999.25.00000,1.6530,-999.25
54.4400,182.97580,-999.25.00000,1.6658,-999.25
54.5924,181.06522,-999.25.00000,1.6834,-999.25
54.7448,179.63757,-999.25.00000,1.6967,-999.25
54.8972,178.44215,-999.25.00000,1.7081,-999.25
55.0496,177.48683,-999.25.00000,1.7173,-999.25
55.2020,177.23865,-999.25.00000,1.7197,-999.25
55.3544,176.99034,-999.25.00000,1.7221,-999.25
55.5068,176.03499,-999.25.00000,1.7315,-999.25
55.6592,174.84750,-999.25.00000,1.7432,-999.25
55.8116,173.66803,-999.25.00000,1.7551,-999.25
55.9640,172.95296,-999.25.00000,1.7623,-999.25
56.1164,173.66019,-999.25.00000,1.7552,-999.25
56.2688,174.60753,-999.25.00000,1.7456,-999.25
56.4212,175.07985,-999.25.00000,1.7409,-999.25
56.5736,175.80296,-999.25.00000,1.7338,-999.25
56.7260,176.04312,-999.25.00000,1.7314,-999.25
56.8784,176.27530,-999.25.00000,1.7291,-999.25
57.0308,176.75032,-999.25.00000,1.7245,-999.25
57.1832,176.03532,-999.25.00000,1.7315,-999.25
57.3356,175.09570,-999.25.00000,1.7408,-999.25
57.4880,174.86359,-999.25.00000,1.7431,-999.25
57.6404,175.08789,-999.25.00000,1.7408,-999.25
57.7928,175.80302,-999.25.00000,1.7338,-999.25
57.9452,176.03519,-999.25.00000,1.7315,-999.25
58.0976,176.04314,-999.25.00000,1.7314,-999.25
58.2500,176.04314,-999.25.00000,1.7314,-999.25
58.4024,176.04314,-999.25.00000,1.7314,-999.25
58.5548,176.05109,-999.25.00000,1.7313,-999.25
58.7072,176.28326,-999.25.00000,1.7290,-999.25
58.8596,177.00633,-999.25.00000,1.7220,-999.25
59.0120,177.47072,-999.25.00000,1.7175,-999.25
59.1644,178.20174,-999.25.00000,1.7104,-999.25
59.3168,178.67435,-999.25.00000,1.7059,-999.25
59.4692,179.63765,-999.25.00000,1.6967,-999.25
59.6216,180.83310,-999.25.00000,1.6855,-999.25
59.7740,182.25279,-999.25.00000,1.6724,-999.25
59.9264,183.93117,-999.25.00000,1.6571,-999.25
60.0788,184.62769,-999.25.00000,1.6509,-999.25
60.2312,185.12657,-999.25.00000,1.6464,-999.25
60.3836,184.64359,-999.25.00000,1.6507,-999.25
60.5360,184.41934,-999.25.00000,1.6528,-999.25
60.6884,184.41139,-999.25.00000,1.6528,-999.25
60.8408,184.41139,-999.25.00000,1.6528,-999.25
60.9932,184.41139,-999.25.00000,1.6528,-999.25
61.1456,184.41139,-999.25.00000,1.6528,-999.25
61.2980,184.41139,-999.25.00000,1.6528,-999.25
61.4504,184.41139,-999.25.00000,1.6528,-999.25
61.6028,184.41139,-999.25.00000,1.6528,-999.25
61.7552,184.41139,-999.25.00000,1.6528,-999.25
61.9076,184.41139,-999.25.00000,1.6528,-999.25
62.0600,184.41139,-999.25.00000,1.6528,-999.25
62.2124,184.41139,-999.25.00000,1.6528,-999.25
62.3648,184.41139,-999.25.00000,1.6528,-999.25
62.5172,184.41934,-999.25.00000,1.6528,-999.25
62.6696,184.65149,-999.25.00000,1.6507,-999.25
62.8220,185.36661,-999.25.00000,1.6443,-999.25
62.9744,185.59091,-999.25.00000,1.6423,-999.25
63.1268,185.36658,-999.25.00000,1.6443,-999.25
63.2792,184.65146,-999.25.00000,1.6507,-999.25
63.4316,184.41136,-999.25.00000,1.6528,-999.25
63.5840,184.17914,-999.25.00000,1.6549,-999.25
63.7364,183.70418,-999.25.00000,1.6592,-999.25
63.8888,184.43527,-999.25.00000,1.6526,-999.25
64.0412,185.84700,-999.25.00000,1.6401,-999.25
64.1936,187.74928,-999.25.00000,1.6234,-999.25
64.3460,188.91853,-999.25.00000,1.6134,-999.25
64.4984,188.90440,-999.25.00000,1.6135,-999.25
64.6508,187.98723,-999.25.00000,1.6214,-999.25
64.8032,187.05016,-999.25.00000,1.6295,-999.25
64.9556,186.80235,-999.25.00000,1.6317,-999.25
65.1080,186.56203,-999.25.00000,1.6338,-999.25
65.2604,185.84695,-999.25.00000,1.6401,-999.25
65.4128,185.61479,-999.25.00000,1.6421,-999.25
65.5652,185.60684,-999.25.00000,1.6422,-999.25
65.7176,185.60684,-999.25.00000,1.6422,-999.25
65.8700,185.60684,-999.25.00000,1.6422,-999.25
66.0224,185.60684,-999.25.00000,1.6422,-999.25
66.1748,185.60684,-999.25.00000,1.6422,-999.25
66.3272,185.60684,-999.25.00000,1.6422,-999.25
66.4796,185.60684,-999.25.00000,1.6422,-999.25
66.6320,185.60684,-999.25.00000,1.6422,-999.25
66.7844,185.60684,-999.25.00000,1.6422,-999.25
66.9368,185.60684,-999.25.00000,1.6422,-999.25
67.0892,185.60684,-999.25.00000,1.6422,-999.25
67.2416,185.60684,-999.25.00000,1.6422,-999.25
67.3940,185.60684,-999.25.00000,1.6422,-999.25
67.5464,185.61481,-999.25.00000,1.6421,-999.25
67.6988,185.83907,-999.25.00000,1.6401,-999.25
67.8512,186.32202,-999.25.00000,1.6359,-999.25
68.0036,185.83904,-999.25.00000,1.6401,-999.25
68.1560,185.61481,-999.25.00000,1.6421,-999.25
68.3084,185.60684,-999.25.00000,1.6422,-999.25
68.4608,185.60684,-999.25.00000,1.6422,-999.25
68.6132,185.60684,-999.25.00000,1.6422,-999.25
68.7656,185.60684,-999.25.00000,1.6422,-999.25
68.9180,185.60684,-999.25.00000,1.6422,-999.25
69.0704,185.60684,-999.25.00000,1.6422,-999.25
69.2228,185.59886,-999.25.00000,1.6423,-999.25
69.3752,185.36664,-999.25.00000,1.6443,-999.25
69.5276,184.65149,-999.25.00000,1.6507,-999.25
69.6800,184.41933,-999.25.00000,1.6528,-999.25
69.8324,184.41139,-999.25.00000,1.6528,-999.25
69.9848,184.41139,-999.25.00000,1.6528,-999.25
70.1372,184.41139,-999.25.00000,1.6528,-999.25
70.2896,184.41139,-999.25.00000,1.6528,-999.25
70.4420,184.41139,-999.25.00000,1.6528,-999.25
70.5944,184.41934,-999.25.00000,1.6528,-999.25
70.7468,184.65147,-999.25.00000,1.6507,-999.25
70.8992,185.36676,-999.25.00000,1.6443,-999.25
71.0516,185.59891,-999.25.00000,1.6423,-999.25
71.2040,185.60684,-999.25.00000,1.6422,-999.25
71.3564,185.60684,-999.25.00000,1.6422,-999.25
71.5088,185.60684,-999.25.00000,1.6422,-999.25
71.6612,185.60684,-999.25.00000,1.6422,-999.25
71.8136,185.60684,-999.25.00000,1.6422,-999.25
71.9660,185.60684,-999.25.00000,1.6422,-999.25
72.1184,185.60684,-999.25.00000,1.6422,-999.25
72.2708,185.61479,-999.25.00000,1.6421,-999.25
72.4232,185.84695,-999.25.00000,1.6401,-999.25
72.5756,186.56207,-999.25.00000,1.6338,-999.25
72.7280,186.79433,-999.25.00000,1.6317,-999.25
72.8804,186.79431,-999.25.00000,1.6317,-999.25
73.0328,186.56206,-999.25.00000,1.6338,-999.25
73.1852,185.84695,-999.25.00000,1.6401,-999.25
73.3376,185.61479,-999.25.00000,1.6421,-999.25
73.4900,185.60684,-999.25.00000,1.6422,-999.25
73.6424,185.60684,-999.25.00000,1.6422,-999.25
73.7948,185.60684,-999.25.00000,1.6422,-999.25
73.9472,185.60684,-999.25.00000,1.6422,-999.25
74.0996,185.60684,-999.25.00000,1.6422,-999.25
74.2520,185.60684,-999.25.00000,1.6422,-999.25
74.4044,185.59889,-999.25.00000,1.6423,-999.25
