#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,333.7017
DEPTH_WMSF,TENS,CS,ETIM
m,lbf,m/h,s
40.6364,1946.019,522.7321,451.7178
40.7888,1936.006,521.2089,452.8023
40.9412,2009.982,522.1221,453.8887
41.0936,1976.001,518.4636,454.9592
41.2460,1987.996,509.0189,456.0452
41.3984,2000.999,512.3688,457.149
41.5508,1984.006,512.6735,458.2356
41.7032,1932,511.1496,459.3225
41.8556,1907.011,511.1496,460.3905
42.0080,1922.999,510.54,461.4919
42.1604,1917.003,510.2354,462.577
42.3128,1979.992,509.9304,463.6809
42.4652,2065.952,511.1489,464.7684
42.6176,2066,511.7591,465.8563
42.7700,1984.051,511.7592,466.9501
42.9224,1920.016,512.064,468.0277
43.0748,1875.004,508.1018,469.1131
43.2272,1907.99,509.9298,470.2157
43.3796,1957.004,510.8449,471.3211
43.5320,2032.972,513.587,472.4086
43.6844,2038,514.1976,473.5115
43.8368,1961.034,512.3696,474.5795
43.9892,1978.999,512.9783,475.6824
44.1416,1978,512.0645,476.7685
44.2940,1951.004,510.5402,477.8719
44.4464,1949.001,510.54,478.9574
44.5988,1965.997,511.4542,480.0608
44.7512,2014.969,513.282,481.1473
44.9036,1975.01,512.6738,482.2347
45.0560,1933.996,510.5402,483.2886
45.2084,1901.01,511.7588,484.3906
45.3608,1914.003,510.54,485.4931
45.5132,1975.976,509.9306,486.5951
45.6656,2050.999,512.6735,487.699
45.8180,2072.99,511.455,488.8025
45.9704,1984.007,509.9305,489.8719
46.1228,1921.032,506.8839,490.9414
46.2752,1868.007,506.2729,492.0433
46.4276,1841.015,506.882,493.1289
46.5800,1843.999,505.9682,494.2323
46.7324,1903.962,508.7095,495.3358
46.8848,1989.977,510.5395,496.4237
47.0372,1942.989,509.0156,497.5111
47.1896,1841.033,505.0549,498.5971
47.3420,1819.002,498.653,499.701
47.4944,1872.979,502.309,500.7866
47.6468,1898,506.2727,501.8735
47.7992,1898,506.2728,502.9595
47.9516,1926.998,506.5776,504.0634
48.1040,1854.037,506.8822,505.149
48.2564,1836.003,505.3586,506.2519
48.4088,1874.978,506.8815,507.3209
48.5612,1898.995,506.5777,508.4088
48.7136,1949.967,508.7098,509.4948
48.8660,1936.004,508.4065,510.5817
49.0184,1882.995,507.1871,511.6846
49.1708,1830.018,506.2731,512.7866
49.3232,1810.002,505.0536,513.8896
49.4756,1860.98,505.0536,514.9916
49.6280,1953.998,506.5776,516.077
49.7804,1937.008,508.1009,517.1625
49.9328,1847.008,507.1873,518.2664
50.0852,1880.982,506.8825,519.3437
