#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,203.7412
DEPTH_LSF,RES_BD,RES_BIT,RES_BM,RES_BS,RES_RING
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
23.6044,1.097668,1.053867,1.033808,0.6451287,1.280519
23.7568,0.9187594,1.095223,1.01681,0.556466,1.294676
23.9092,1.077652,0.9889863,0.7470704,0.7387206,1.709907
24.0616,0.9791365,0.9592847,0.9423874,0.4438693,1.048326
24.2140,0.7558265,0.8135377,0.8937228,0.5712906,0.8774098
24.3664,0.6992397,0.8990126,0.6682722,0.6046948,0.6877725
24.5188,0.7022467,0.7321742,0.6886212,0.4213129,0.5994999
24.6712,0.7133495,0.7510517,0.4731247,0.3214859,0.5165953
24.8236,0.6256233,0.7191683,0.3946709,0.40261,0.5545717
24.9760,0.4766559,0.7680531,0.521063,0.3733322,0.6094943
25.1284,0.561893,0.7912359,0.4994025,0.4204386,0.5636388
25.2808,0.5389395,0.8372556,0.6152545,0.4215797,0.9322764
25.4332,0.8150972,1.008471,0.5895895,0.562026,0.7819526
25.5856,0.84478,0.8962831,0.7916799,0.5493395,0.9981081
25.7380,0.8286263,1.011576,0.7131236,0.5525345,0.9630792
25.8904,0.8971478,1.097343,0.7185841,0.5400965,0.9403101
26.0428,1.025063,1.090363,0.9800752,0.5645624,1.040209
26.1952,0.9121564,0.9975865,0.8847913,0.5416377,1.106726
26.3476,0.9219813,0.8768964,0.8101351,0.3737212,0.5953935
26.5000,0.5461614,0.736233,0.5111716,0.3344268,0.6356319
26.6524,0.410443,0.6676317,0.2255337,0.3486849,0.4620534
26.8048,0.3819846,0.6443071,0.4211205,0.332509,0.3882742
26.9572,0.4350027,0.6597345,0.3906478,0.2699067,0.336612
27.1096,0.425012,0.7913634,0.3214912,0.3220429,0.507771
27.2620,0.4750249,0.8330446,0.3714833,0.3836638,0.5884878
27.4144,0.458207,0.8443323,0.4315275,0.3504153,0.5609023
27.5668,0.4970075,0.9745311,0.4494507,0.384818,0.72479
27.7192,0.5121521,1.048474,0.7140617,0.425493,0.9304397
27.8716,0.8756825,0.9669206,0.7652023,0.5609989,0.7361888
28.0240,0.8840316,1.077788,0.9853479,0.5446228,0.7809201
28.1764,0.873014,1.295526,0.7087484,0.5242385,0.9001172
28.3288,1.305816,1.13974,0.7783099,0.8439929,1.899172
28.4812,1.565844,1.426408,1.684828,1.557152,2.940799
28.6336,1.662081,1.537345,1.57815,1.338821,1.030483
28.7860,1.69699,1.441915,1.690318,1.837873,1.544259
28.9384,2.323463,1.22795,1.337291,1.480594,1.183421
29.0908,0.6663414,1.169585,1.010953,0.9197242,1.256611
29.2432,1.28337,1.079032,1.29603,0.5487832,1.648128
29.3956,0.995571,1.053638,0.8912145,1.20095,1.110968
29.5480,1.248822,1.196973,1.371183,0.651778,1.248202
29.7004,1.606624,1.297666,1.041557,1.666557,1.228663
29.8528,1.320714,1.535652,1.362233,0.7610767,1.351233
30.0052,2.129871,1.497485,1.945915,1.451535,1.928749
30.1576,0.9837053,1.72533,1.997144,1.453739,1.964832
30.3100,1.566008,1.532362,1.970882,2.060418,1.428184
30.4624,0.9914094,1.126074,0.6980709,0.6785502,0.8908161
30.6148,1.408605,0.9981827,0.744334,0.6186442,0.7597421
30.7672,1.105877,1.025326,1.021424,0.4706348,1.068412
30.9196,1.32839,1.016052,1.174112,0.9587531,0.9996588
31.0720,1.111545,1.069863,1.136549,0.7910423,0.8214503
31.2244,1.765019,1.202202,1.43073,0.9425468,1.055966
31.3768,1.38392,1.289638,1.317676,0.6218163,0.9113587
31.5292,0.8250251,1.294345,0.9042823,1.351127,1.142048
31.6816,1.062209,1.154213,1.040554,0.8326524,1.340224
31.8340,1.299248,1.514382,1.004324,1.130878,1.261737
31.9864,1.579009,1.505505,0.9676555,2.097889,1.395583
32.1388,1.494335,1.877586,2.285468,1.793286,1.779793
32.2912,2.113247,1.803937,2.186896,1.300102,1.487059
32.4436,1.538256,1.736592,2.047874,1.695922,2.122579
32.5960,1.907886,1.854918,2.01925,1.913644,1.857705
32.7484,0.7702677,1.499779,1.0496,1.04888,1.977877
32.9008,1.267843,1.437332,1.905673,0.8670169,2.160718
33.0532,2.0942,1.550163,1.422506,2.075466,1.589373
33.2056,2.694951,1.435125,3.098779,1.739697,0.7830179
33.3580,1.809055,1.385794,0.993198,1.295881,0.8019978
33.5104,2.098701,1.196892,1.611424,0.6212828,1.784551
33.6628,1.279814,1.160868,1.457658,0.8676928,0.9668567
33.8152,2.104837,1.363235,1.976747,1.182642,0.9882002
33.9676,1.903625,1.583051,1.990516,1.411384,1.63758
34.1200,1.604923,1.555582,1.32443,1.418268,1.257568
34.2724,1.36071,1.45848,1.531472,1.451538,1.537753
34.4248,1.437194,1.473081,1.360107,1.407759,1.402028
34.5772,1.408766,1.386828,1.868804,1.562504,1.371578
34.7296,1.623873,1.284455,1.67099,1.188967,1.493454
34.8820,1.690517,1.517823,1.592484,1.206129,1.293674
35.0344,1.353572,1.417117,1.574027,1.414326,1.752475
35.1868,1.288009,1.424851,1.750209,1.489573,1.442427
35.3392,1.747319,1.429843,1.442769,1.272353,1.464063
35.4916,1.637397,1.449123,1.496757,1.233413,1.647244
35.6440,1.498055,1.612544,1.467079,1.348481,1.636273
35.7964,1.494563,1.428113,1.492681,1.255201,1.491149
35.9488,1.446812,1.344378,1.612557,1.367043,1.458279
36.1012,1.396059,1.628936,1.447972,1.123169,1.471976
36.2536,1.596409,1.626249,1.430454,1.394719,1.463645
36.4060,1.425907,1.428901,1.468409,1.215621,1.530616
36.5584,1.665696,1.628756,1.495978,1.262793,1.586858
36.7108,1.422153,1.614507,1.365124,1.232021,1.559044
36.8632,1.474947,1.314718,1.579386,1.337806,1.476741
37.0156,1.460222,1.338057,1.443404,1.330562,1.530382
37.1680,1.520703,1.46979,1.403533,1.377254,1.437721
37.3204,1.68689,1.531475,1.469514,1.27913,1.485588
37.4728,1.713461,1.657126,1.501829,1.48836,1.600327
37.6252,1.441921,1.530237,1.575951,1.666609,1.761563
37.7776,1.548548,1.652264,1.669183,1.599204,1.511558
37.9300,1.879648,1.538374,1.525512,1.505675,1.5508
38.0824,2.051037,1.547178,1.732456,1.550247,1.686438
38.2348,1.62288,1.757264,1.950121,1.890321,1.908392
38.3872,1.649586,1.629428,1.890583,1.686879,1.576955
38.5396,1.993377,1.629981,1.88448,1.602048,1.481165
38.6920,1.900487,1.679909,1.928585,1.757462,1.780563
38.8444,1.619436,1.610352,1.514836,1.40301,1.694686
38.9968,1.703933,1.522562,1.884899,1.352212,1.353154
39.1492,1.668953,1.627812,1.57603,1.517805,1.69619
39.3016,1.587142,1.52812,1.623626,1.499434,1.472256
