#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,60.9829
#BOTTOM:,331.6453
DEPTH_WMSF,LCAL
m,in
112.0369,11.00927
112.1893,10.94925
112.3417,10.8789
112.4941,10.88105
112.6465,10.88139
112.7989,10.8789
112.9513,10.8789
113.1037,10.83061
113.2561,10.75883
113.4085,10.70825
113.5609,10.67847
113.7133,10.69226
113.8657,10.71539
114.0181,10.73439
114.1705,10.73921
114.3229,10.76184
114.4753,10.79486
114.6277,10.79528
114.7801,10.79035
114.9325,10.79049
115.0849,10.7996
115.2373,10.82297
115.3897,10.85557
115.5421,10.89195
115.6945,10.91527
115.8469,10.92076
115.9993,10.86902
116.1517,10.82302
116.3041,10.82777
116.4565,10.84187
116.6089,10.8653
116.7613,10.91248
116.9137,11.01156
117.0661,11.13246
117.2185,11.13525
117.3709,11.09573
117.5233,11.09262
117.6757,11.19892
117.8281,11.14028
117.9805,10.98543
118.1329,10.99401
118.2853,11.02666
118.4377,11.0668
118.5901,11.09843
118.7425,11.11206
118.8949,11.12139
119.0473,11.1312
119.1997,11.153
119.3521,11.18766
119.5045,11.22992
119.6569,11.31161
119.8093,11.44846
119.9617,11.57915
120.1141,11.66115
120.2665,11.69408
120.4189,11.72095
120.5713,11.76286
120.7237,11.80976
120.8761,11.85345
121.0285,11.8882
121.1809,11.9258
121.3333,11.86496
121.4857,11.67336
121.6381,11.56299
121.7905,11.55619
121.9429,11.55904
122.0953,11.56085
122.2477,11.51167
122.4001,11.28055
122.5525,10.99621
122.7049,10.76522
122.8573,10.63538
123.0097,10.62316
123.1621,10.62246
123.3145,10.61565
123.4669,10.63099
123.6193,10.66358
123.7717,10.69867
123.9241,10.72593
124.0765,10.77452
124.2289,10.80906
124.3813,10.77159
124.5337,10.74671
124.6861,10.73321
124.8385,10.71344
124.9909,10.71627
125.1433,10.7156
125.2957,10.73872
125.4481,10.76
125.6005,10.73289
125.7529,10.69132
125.9053,10.70196
126.0577,10.94748
126.2101,10.88066
126.3625,10.65291
126.5149,10.65573
126.6673,10.66753
126.8197,10.69894
126.9721,10.71561
127.1245,10.73121
127.2769,10.69123
127.4293,10.63895
127.5817,10.63678
127.7341,10.63927
127.8865,10.61905
128.0389,10.60948
128.1913,10.62064
128.3437,10.63773
128.4961,10.64826
128.6485,10.64858
128.8009,10.64329
128.9533,10.63926
129.1057,10.64392
129.2581,10.69675
129.4105,10.7525
129.5629,10.75008
129.7153,10.69452
129.8677,10.66037
130.0201,10.6672
130.1725,10.72647
130.3249,10.80375
130.4773,10.85001
130.6297,10.88199
130.7821,10.91271
130.9345,10.94251
131.0869,10.95835
131.2393,10.93543
131.3917,10.98092
131.5441,10.95508
131.6965,10.86899
131.8489,10.86027
132.0013,10.85532
132.1537,10.85096
132.3061,10.85393
132.4585,10.85853
132.6109,10.86275
132.7633,10.80549
132.9157,10.69375
133.0681,10.62659
133.2205,10.60608
133.3729,10.59953
133.5253,10.59953
133.6777,10.60942
133.8301,10.60332
133.9825,10.58527
134.1349,10.59573
134.2873,10.61131
134.4397,10.61825
134.5921,10.62502
134.7445,10.63979
134.8969,10.66109
135.0493,10.67284
135.2017,10.67237
135.3541,10.64871
135.5065,10.62659
135.6589,10.6403
135.8113,10.65337
135.9637,10.6663
136.1161,10.70105
136.2685,10.72152
136.4209,10.68433
136.5733,10.63183
136.7257,10.62283
136.8781,10.64076
137.0305,10.62846
137.1829,10.63163
137.3353,10.58004
137.4877,10.57159
137.6401,10.5679
137.7925,10.58106
137.9449,10.57207
138.0973,10.57657
138.2497,10.58701
138.4021,10.59601
138.5545,10.605
138.7069,10.61142
138.8593,10.60866
139.0117,10.62001
139.1641,10.73345
139.3165,10.97134
139.4689,10.97583
139.6213,10.69505
139.7737,10.66911
139.9261,10.69957
140.0785,10.77839
140.2309,10.85661
140.3833,10.86193
140.5357,10.86758
140.6881,10.85562
140.8405,10.85737
140.9929,10.87967
141.1453,10.89779
141.2977,10.93378
141.4501,11.14113
141.6025,11.19163
141.7549,11.19956
141.9073,11.19238
142.0597,11.19833
142.2121,11.23236
142.3645,11.11556
142.5169,10.9883
142.6693,10.87895
142.8217,10.824
142.9741,10.8304
143.1265,10.84165
143.2789,10.85406
