#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,83.7657
#BOTTOM:,325.0149
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
100.6821,31.52901,23.34465,0.6335545,3.774858,0.9327888,0.0375
100.8345,32.24634,23.65311,0.6426056,3.820829,0.9367386,0.0375
100.9869,32.51633,22.60978,0.6095223,3.680094,1.104561,0.0375
101.1393,30.47448,21.33916,0.618995,3.217285,1.080005,0.0375
101.2917,32.01176,22.46823,0.6515006,3.388973,1.188938,0.0375
101.4441,30.70906,21.7696,0.6474959,3.188462,1.133226,0.0375
101.5965,32.62001,22.70704,0.6891881,3.244931,1.310614,0.0375
101.7489,31.46393,22.03156,0.6681946,3.151241,1.310085,0.0375
101.9013,31.66193,21.84727,0.6542636,3.173728,1.438447,0.0375
102.0537,31.55556,20.95027,0.6465548,2.931308,1.519091,0.0375
102.2061,32.04024,20.70033,0.6599325,2.772868,1.659906,0.0375
102.3585,34.93845,20.84468,0.7250336,2.438041,2.032611,0.0375
102.5109,33.88206,20.25363,0.743103,2.142806,1.978067,0.0375
102.6633,33.50144,21.21606,0.7694632,2.297032,1.804227,0.0375
102.8157,30.53238,17.98743,0.6460214,1.98464,1.833405,0.0375
102.9681,30.64123,18.44217,0.6527148,2.091287,1.746916,0.0375
103.1205,30.93456,18.7047,0.6475969,2.205493,1.697024,0.0375
103.2729,31.12137,19.69733,0.6541297,2.485502,1.546105,0.0375
103.4253,30.97,20.53263,0.7074867,2.440919,1.405102,0.0375
103.5777,29.53488,18.85984,0.6566729,2.202085,1.307715,0.0375
103.7301,30.72587,19.229,0.7140124,1.98468,1.366981,0.0375
103.8825,33.79995,21.7723,0.7868795,2.373403,1.417998,0.0375
104.0349,38.856,25.50616,0.9225613,2.776039,1.455159,0.0375
104.1873,40.34578,24.65878,0.8730887,2.793946,1.806152,0.0375
104.3397,40.09142,23.92395,0.8368136,2.770689,1.828452,0.0375
104.4921,36.90204,23.9885,0.8318225,2.820562,1.333832,0.0375
104.6445,34.42319,22.18475,0.7768792,2.563876,1.321423,0.0375
104.7969,31.11518,19.00329,0.6642932,2.202957,1.325463,0.0375
104.9493,30.13245,18.48701,0.6202886,2.294955,1.319645,0.0375
105.1017,28.81899,17.66392,0.5761687,2.289351,1.231265,0.0375
105.2541,29.43452,18.62861,0.5981267,2.470034,1.289139,0.0375
105.4065,29.98318,19.01611,0.6058825,2.548833,1.359879,0.0375
105.5589,32.62151,21.5741,0.7191725,2.705531,1.328142,0.0375
105.7113,37.29296,25.22964,0.854786,3.083371,1.496386,0.0375
105.8637,40.58881,28.19477,0.9637873,3.395703,1.448274,0.0375
106.0161,41.77501,29.19047,0.9673734,3.693857,1.493114,0.0375
106.1685,39.71196,27.20599,0.9326544,3.260931,1.502718,0.0375
106.3209,40.34683,28.30736,0.9712179,3.388186,1.471709,0.0375
106.4733,38.94341,28.22871,0.9605429,3.425449,1.363518,0.0375
106.6257,37.05899,25.67986,0.9199935,2.845755,1.416967,0.0375
106.7781,33.48574,23.11535,0.8390319,2.497601,1.321047,0.0375
106.9305,33.48055,23.69793,0.8665715,2.523071,1.250575,0.0375
107.0829,34.66914,24.01156,0.8882998,2.496375,1.377475,0.0375
107.2353,35.79661,23.03477,0.847365,2.42291,1.714854,0.0375
107.3877,36.22748,22.44984,0.8351063,2.30717,1.879144,0.0375
107.5401,36.79364,22.21276,0.8461153,2.166715,1.978522,0.0375
107.6925,37.64659,22.84749,0.8774062,2.186981,1.955536,0.0375
107.8449,39.18433,23.96639,0.9171311,2.313065,1.979216,0.0375
107.9973,40.68604,24.37536,0.9607883,2.188562,2.07224,0.0375
108.1497,41.10178,24.94576,0.9988514,2.148578,2.052438,0.0375
108.3021,39.53739,24.02617,0.9366203,2.218152,2.013651,0.0375
108.4545,37.40129,22.13495,0.8626271,2.04513,1.975303,0.0375
108.6069,36.45796,21.13549,0.8107821,2.028296,1.943678,0.0375
108.7593,35.86256,21.1749,0.7832019,2.202414,1.837191,0.0375
108.9117,34.07288,20.51357,0.736852,2.261798,1.704353,0.0375
109.0641,31.67002,19.83577,0.666005,2.459329,1.506079,0.0375
109.2165,30.67966,19.65323,0.6497898,2.49577,1.409519,0.0375
109.3689,31.45609,20.80073,0.6515397,2.853417,1.444188,0.0375
109.5213,32.28201,22.33238,0.6580635,3.306276,1.431451,0.0375
109.6737,31.44797,21.16748,0.5985191,3.281491,1.475757,0.0375
109.8261,31.27542,20.64595,0.5715501,3.272215,1.496432,0.0375
109.9785,31.28721,21.59067,0.5877094,3.480465,1.329774,0.0375
110.1309,31.73792,22.03246,0.5756376,3.692794,1.326658,0.0375
110.2833,31.89963,23.30295,0.5801699,4.07358,1.213984,0.0375
110.4357,30.73866,22.99835,0.5706414,4.031749,1.094099,0.0375
110.5881,31.55913,23.77679,0.5872561,4.184043,0.9986981,0.0375
110.7405,31.33707,23.27374,0.5963655,3.969465,1.005103,0.0375
110.8929,30.97848,24.00582,0.5861585,4.263929,0.9626601,0.0375
111.0453,29.66628,21.54455,0.5499619,3.68683,1.062225,0.0375
111.1977,28.46912,20.28864,0.525613,3.426763,1.013982,0.0375
111.3501,29.61571,21.48774,0.5606302,3.606162,1.003176,0.0375
111.5025,30.11222,22.43605,0.6161266,3.58527,0.958022,0.0375
111.6549,30.77969,21.46204,0.618378,3.259858,1.172438,0.0375
111.8073,30.79732,21.91039,0.6335192,3.314907,1.139031,0.0375
111.9597,32.4025,22.80441,0.6672844,3.403783,1.240448,0.0375
112.1121,33.90181,23.75265,0.7044521,3.490122,1.286958,0.0375
112.2645,34.68435,24.59154,0.761009,3.427873,1.340618,0.0375
112.4169,34.64212,24.38647,0.7688941,3.315914,1.368668,0.0375
112.5693,36.19678,24.91237,0.8361615,3.090615,1.432755,0.0375
112.7217,37.46614,25.51866,0.8975699,2.925402,1.502346,0.0375
112.8741,37.96173,25.31628,0.9181446,2.740018,1.564408,0.0375
113.0265,38.06161,25.25117,0.9470637,2.549787,1.602256,0.0375
113.1789,38.8209,25.88941,1.009277,2.390095,1.641489,0.0375
113.3313,39.612,26.92579,1.076351,2.329604,1.61479,0.0375
113.4837,40.26079,25.62757,1.078385,1.90152,1.809978,0.0375
113.6361,39.68358,24.64523,1.078976,1.58314,1.840848,0.0375
113.7885,39.31847,25.06745,1.090268,1.652396,1.832549,0.0375
