#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,322.4241
DEPTH_WMSF,GR,ECGR
m,gAPI,gAPI
42.4652,4.446382,4.621016
42.6176,4.053444,4.212646
42.7700,4.193885,4.358603
42.9224,3.240476,3.367747
43.0748,5.428864,5.642085
43.2272,5.05055,5.248914
43.3796,5.765656,5.992105
43.5320,4.418702,4.592249
43.6844,5.371368,5.582332
43.8368,5.848925,6.078645
43.9892,4.951761,5.146244
44.1416,4.9517,5.14618
44.2940,3.997644,4.154653
44.4464,4.446577,4.621218
44.5988,3.254892,3.38273
44.7512,2.974029,3.090835
44.9036,2.819874,2.930626
45.0560,2.819885,2.930638
45.2084,3.268606,3.396982
45.3608,3.268785,3.397168
45.5132,3.982996,4.139431
45.6656,4.767547,4.954795
45.8180,4.921507,5.114802
45.9704,5.876019,6.106802
46.1228,5.400357,5.612459
46.2752,5.175195,5.378454
46.4276,4.124197,4.286177
46.5800,3.647274,3.790522
46.7324,3.479225,3.615874
46.8848,3.815296,3.965144
47.0372,5.104917,5.305415
47.1896,6.297574,6.544914
47.3420,5.344161,5.554056
47.4944,3.774329,3.922568
47.6468,2.342475,2.434478
47.7992,2.958945,3.075159
47.9516,3.716686,3.862661
48.1040,4.193594,4.358299
48.2564,3.520861,3.659145
48.4088,3.044171,3.163733
48.5612,3.520887,3.659172
48.7136,4.417847,4.59136
48.8660,4.65679,4.839687
49.0184,7.042549,7.319149
49.1708,9.509428,9.882915
49.3232,16.42863,17.07388
49.4756,16.9034,17.56729
49.6280,18.02772,18.73577
49.7804,18.26228,18.97954
49.9328,17.54631,18.23545
50.0852,16.21523,16.85209
50.2376,12.16179,12.63945
50.3900,12.6115,13.10683
50.5424,14.04016,14.5916
50.6948,14.27875,14.83955
50.8472,16.97164,17.63821
50.9996,17.21091,17.88688
51.1520,18.1668,18.88031
51.3044,17.93975,18.64434
51.4568,19.37308,20.13397
51.6092,20.80488,21.622
51.7616,19.90791,20.68981
51.9140,18.23784,18.95414
52.0664,18.05369,18.76276
52.2188,20.08825,20.87723
52.3712,20.5598,21.3673
52.5236,18.8315,19.57112
52.6760,15.22986,15.82802
52.8284,14.27683,14.83756
52.9808,14.20989,14.76799
53.1332,14.47532,15.04384
53.2856,17.33666,18.01756
53.4380,19.55399,20.32199
53.5904,20.63359,21.44398
53.7428,18.25042,18.96722
53.8952,17.60227,18.29361
54.0476,16.52618,17.17525
54.2000,17.71757,18.41344
54.3524,18.83938,19.57931
54.5048,19.31235,20.07085
54.6572,19.31558,20.07421
54.8096,19.31223,20.07072
54.9620,19.55534,20.32339
55.1144,18.03925,18.74775
