#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,37.6176
#BOTTOM:,99.3700
DEPTH_LSF,GRMA_FILT
m,gAPI
42.1286,3.255097
42.1591,3.33354
42.1896,3.411224
42.2200,3.294832
42.2505,3.178305
42.2810,3.061053
42.3115,2.944526
42.3420,2.827277
42.3724,3.284395
42.4029,3.740154
42.4334,4.198748
42.4639,4.654507
42.4944,5.113099
42.5248,5.498116
42.5553,5.886845
42.5858,6.27182
42.6163,6.66054
42.6468,7.048388
42.6772,7.236785
42.7077,7.42703
42.7382,7.61543
42.7687,7.80567
42.7992,7.994074
42.8296,8.176808
42.8601,8.358378
42.8906,8.541078
42.9211,8.722649
42.9516,8.905344
42.9820,8.729737
43.0125,8.554074
43.0430,8.37732
43.0735,8.201657
43.1040,8.024904
43.1344,8.09732
43.1649,8.170786
43.1954,8.244127
43.2259,8.317012
43.2564,8.390221
43.2868,8.197386
43.3173,8.002662
43.3478,7.809822
43.3783,7.615103
43.4088,7.422259
43.4392,7.776572
43.4697,8.131786
43.5002,8.489207
43.5307,8.844425
43.5612,9.20184
43.5916,9.353065
43.6221,9.502563
43.6526,9.652989
43.6831,9.802487
43.7136,9.952913
43.7440,10.74426
43.7745,11.53196
43.8050,12.32457
43.8355,13.11228
43.8660,13.90489
43.8964,14.80292
43.9269,15.70977
43.9574,16.60784
43.9879,17.51466
44.0184,18.41276
44.0488,19.01636
44.0793,19.61435
44.1098,20.21605
44.1403,20.81882
44.1708,21.41576
44.2012,22.01501
44.2317,22.61056
44.2622,23.20982
44.2927,23.80537
44.3232,24.40461
44.3536,25.09366
44.3841,25.77867
44.4146,26.46795
44.4451,27.15296
44.4756,27.84223
44.5060,28.82692
44.5365,29.82148
44.5670,30.80643
44.5975,31.80096
44.6280,32.79347
44.6584,33.4512
44.6889,34.11538
44.7194,34.77311
44.7499,35.43727
44.7804,36.09503
44.8108,36.30257
44.8413,36.50654
44.8718,36.71178
44.9023,36.91575
44.9328,37.12098
44.9632,37.2013
44.9937,37.28072
45.0242,37.36062
45.0547,37.44004
45.0852,37.51995
45.1156,37.84327
45.1461,38.17009
45.1766,38.49635
45.2071,38.82058
45.2376,39.14685
45.2680,39.51015
45.2985,39.877
45.3290,40.24031
45.3595,40.60715
45.3900,40.97047
45.4204,41.37172
45.4509,41.77069
45.4814,42.17215
45.5119,42.57113
45.5424,42.97257
45.5728,43.06403
45.6033,43.15373
45.6338,43.24399
45.6643,43.33369
45.6948,43.42395
45.7252,43.76459
45.7557,44.10362
45.7862,44.44476
45.8167,44.78379
45.8472,45.12494
45.8776,45.24436
45.9081,45.36491
45.9386,45.4843
45.9691,45.60485
45.9996,45.72424
46.0300,45.75489
46.0605,45.78503
46.0910,45.81488
46.1215,45.84502
46.1520,45.87487
46.1824,45.61043
46.2129,45.34632
46.2434,45.08057
46.2739,44.81646
46.3044,44.5507
