#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,1.3271
#BOTTOM:,748.5446
DEPTH_LSF,BPHI,TNPH
m,%,%
58.9343,66.5807,62.8763
59.0867,75.0816,81.2935
59.2391,68.1677,67.9962
59.3915,74.8834,87.5769
59.5439,65.2147,65.8130
59.6963,61.3004,59.2021
59.8487,64.7256,67.6475
60.0011,61.6921,63.1193
60.1535,57.2202,54.3184
60.3059,-999.25,-999.25
60.4583,-999.25,-999.25
60.6107,-999.25,-999.25
60.7631,66.4448,68.9762
60.9155,67.2496,69.5147
61.0679,70.7102,78.6427
61.2203,71.4851,79.8909
61.3727,60.4450,57.5058
61.5251,64.3973,67.4516
61.6775,63.4617,67.0353
61.8299,58.9625,56.4921
61.9823,56.0156,50.9516
62.1347,60.8465,58.1649
62.2871,72.7168,77.9443
62.4395,67.6743,63.0631
62.5919,72.7035,71.3113
62.7443,71.6861,68.6837
62.8967,75.4031,75.4708
63.0491,71.9835,71.0447
63.2015,80.8581,94.7150
63.3539,74.4931,78.2111
63.5063,71.5705,72.6798
63.6587,70.5907,72.3900
63.8111,63.7600,59.0280
63.9635,69.2597,70.9227
64.1159,63.4063,59.9389
64.2683,64.7082,62.0340
64.4207,61.6969,57.8774
64.5731,70.2171,72.4846
64.7255,59.2452,51.0972
64.8779,74.3147,77.3605
65.0303,69.6407,65.3740
65.1827,63.6084,52.7117
65.3351,75.8691,71.0755
65.4875,96.8562,129.9984
65.6399,73.5079,64.0416
65.7923,83.6989,83.0571
65.9447,77.0093,74.6203
66.0971,78.1929,79.6567
66.2495,78.2876,82.5043
66.4019,82.8925,102.3904
66.5543,60.4792,55.2369
66.7067,69.7643,70.4064
66.8591,70.1625,72.4715
67.0115,68.0578,69.3175
67.1639,68.2795,70.7619
67.3163,67.4492,69.1919
67.4687,62.1313,59.7453
67.6211,67.1495,70.3996
67.7735,65.1192,64.2813
67.9259,66.0852,64.0593
68.0783,72.7248,74.9206
68.2307,65.5006,59.4314
68.3831,79.5967,86.0570
68.5355,81.1497,86.9414
68.6879,82.7624,85.8223
68.8403,76.2670,68.9641
68.9927,86.4694,92.8271
69.1451,79.1166,73.8527
69.2975,91.0237,104.8351
69.4499,84.7412,87.0798
69.6023,81.4413,78.6525
69.7547,74.5669,64.9546
69.9071,82.9269,83.1596
70.0595,82.4751,83.7426
70.2119,-999.25,-999.25
70.3643,-999.25,-999.25
70.5167,-999.25,-999.25
70.6691,-999.25,-999.25
70.8215,-999.25,-999.25
70.9739,-999.25,-999.25
71.1263,-999.25,-999.25
71.2787,-999.25,-999.25
71.4311,-999.25,-999.25
71.5835,81.0685,75.8668
71.7359,79.0474,74.3549
71.8883,84.0291,90.8141
72.0407,74.5435,71.3066
72.1931,74.6567,73.0367
72.3455,72.2279,70.6765
72.4979,67.8314,65.8972
72.6503,68.1539,67.5263
72.8027,65.4044,61.0686
72.9551,72.2085,75.0275
73.1075,76.6919,84.2233
73.2599,73.8427,77.9328
73.4123,78.1196,90.1083
73.5647,69.3590,67.3767
73.7171,73.8914,75.7369
73.8695,74.0148,75.2040
74.0219,86.0290,106.9259
74.1743,69.8984,63.5211
74.3267,98.0680,129.9318
74.4791,87.0467,100.2148
74.6315,105.6878,129.9914
74.7839,79.1574,81.8001
74.9363,65.2843,57.9584
75.0887,77.4492,88.0731
75.2411,66.9292,65.6517
75.3935,64.5433,61.5916
75.5459,63.0374,61.2296
75.6983,66.7056,68.9259
75.8507,65.4424,66.6791
76.0031,70.2766,77.5533
76.1555,67.7917,70.6312
76.3079,66.4474,66.7403
76.4603,77.2503,91.2470
76.6127,72.9744,77.9835
76.7651,73.3714,78.0204
76.9175,67.3382,65.2608
77.0699,74.5588,81.3512
77.2223,67.3502,65.8077
77.3747,63.1051,58.1031
77.5271,70.2947,72.7437
77.6795,67.2469,68.5213
77.8319,62.3262,58.6643
77.9843,62.7512,58.6098
78.1367,60.4198,53.8612
78.2891,69.1468,67.0900
78.4415,70.9785,68.9521
78.5939,77.5570,82.4117
78.7463,72.7042,70.6175
78.8987,72.7259,70.3498
79.0511,74.4893,74.2632
79.2035,69.4572,66.9140
79.3559,74.6456,78.3201
79.5083,57.8515,49.5771
79.6607,75.9276,82.6224
79.8131,65.0038,61.0779
79.9655,75.8408,81.9527
80.1179,64.8814,61.6738
80.2703,66.3671,63.8766
80.4227,70.0906,72.0327
80.5751,66.6206,63.9059
80.7276,68.1890,65.9314
80.8800,76.0926,78.8060
81.0324,71.5370,66.4314
81.1848,69.5874,60.5471
81.3372,70.9627,64.5692
81.4896,77.5726,79.2156
81.6420,73.1818,70.7800
81.7944,73.8064,73.1986
81.9468,64.5490,57.3221
82.0992,68.7717,65.1583
82.2516,69.8057,68.2228
82.4040,72.3059,71.3529
82.5564,74.1007,74.3708
82.7088,74.5625,75.4913
82.8612,66.9334,60.6196
83.0136,74.9503,74.5883
83.1660,67.7322,60.8582
83.3184,78.3890,83.4368
83.4708,74.6142,74.1040
83.6232,73.6389,70.8547
83.7756,80.9780,88.7523
83.9280,74.8702,72.3858
84.0804,81.0130,84.5657
84.2328,81.2957,87.7090
84.3852,70.8002,66.9947
84.5376,73.3140,75.7313
84.6900,66.4778,66.4187
84.8424,70.0663,76.2120
84.9948,63.5868,63.1599
85.1472,61.7962,59.3989
85.2996,61.7913,60.0061
85.4520,68.3316,71.8066
85.6044,63.4481,63.2336
85.7568,63.5380,63.0860
85.9092,65.6403,67.0784
86.0616,63.5875,61.9942
86.2140,70.0409,70.6940
86.3664,70.2891,67.9391
86.5188,74.8587,74.3286
86.6712,72.2672,65.8342
86.8236,77.4320,74.0730
86.9760,79.6364,81.9769
87.1284,73.8249,72.1138
87.2808,71.0088,68.4320
87.4332,67.9972,64.0953
87.5856,73.1381,75.8208
87.7380,70.5892,71.8280
87.8904,72.0075,76.2589
88.0428,63.1641,60.5117
88.1952,69.1410,72.3600
88.3476,68.5022,72.8165
88.5000,61.5676,61.1190
88.6524,79.2929,109.7602
88.8048,62.9679,61.6097
88.9572,70.8119,75.3042
89.1096,66.7772,62.4867
89.2620,77.9532,79.6461
89.4144,80.8092,77.7898
89.5668,85.3873,83.4999
89.7192,95.8331,121.7149
89.8716,82.8228,82.0562
90.0240,59.3010,44.2028
90.1764,80.0960,83.5496
90.3288,70.3944,67.4511
90.4812,78.3665,89.8071
90.6336,66.4630,63.7238
90.7860,65.0827,61.7125
90.9384,67.8966,66.4874
91.0908,65.4648,61.4740
91.2432,73.2036,76.2839
91.3956,67.5236,64.6688
91.5480,73.7642,76.8972
91.7004,75.7328,80.7180
91.8528,78.5481,87.6890
92.0052,71.9585,70.9544
92.1576,70.8242,67.3389
92.3100,75.1482,76.8745
92.4624,75.9534,78.7419
92.6148,69.2406,64.2444
92.7672,78.0954,83.5557
92.9196,70.8978,68.5348
93.0720,71.0740,68.7956
93.2244,70.6246,70.6354
93.3768,72.0185,73.0769
93.5292,66.4443,62.7280
93.6816,72.7720,76.4680
93.8340,66.4301,64.2600
93.9864,68.8884,69.5504
94.1388,62.5486,58.9304
94.2912,67.5707,67.4095
94.4436,64.3326,62.2393
94.5960,71.3203,77.4706
94.7484,66.0223,67.6896
94.9008,65.2444,66.5583
95.0532,59.7646,57.2897
95.2056,60.6455,59.1268
95.3580,65.9194,69.2716
95.5104,64.1918,66.2153
95.6628,61.7022,61.7435
95.8152,63.8564,65.4264
95.9676,62.3650,62.5250
96.1200,68.1920,74.6225
96.2724,64.3994,66.7154
96.4248,59.9660,58.5641
96.5772,62.0889,62.9411
96.7296,63.4633,65.0786
96.8820,65.1725,68.9524
97.0344,73.4967,91.0836
97.1868,64.1891,68.5040
97.3392,58.8448,57.6941
97.4916,58.7715,57.3134
97.6440,65.2020,69.4171
97.7964,61.5231,61.2828
97.9488,62.1293,61.0565
98.1012,61.8711,59.6846
98.2536,67.6270,70.4506
98.4060,67.9655,71.2458
98.5584,68.8116,72.7743
98.7108,66.5128,67.7895
98.8632,69.8565,75.5855
99.0156,67.9869,71.0924
