#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,323.4909
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
18.6908,2.839949,2.215255,0.07790221,0.2539035,0.06057975,-999.25
18.8432,2.576344,1.639895,0.05428647,0.2077612,0.08042524,-999.25
18.9956,1.475267,0.8953035,0.02598376,0.1348208,0.05044277,-999.25
19.1480,1.476872,0.8967803,0.02337743,0.1505532,0.05318766,-999.25
19.3004,1.782151,1.207694,0.03034259,0.2094231,0.053525,-999.25
19.4528,2.2765,1.405287,0.03688689,0.2344374,0.09274045,-999.25
19.6052,2.481264,1.854708,0.05599515,0.2666055,0.02870307,-999.25
19.7576,2.742078,2.050121,0.06244435,0.2914782,0.040044,-999.25
19.9100,2.853117,2.419851,0.06720717,0.3820926,-0.0163919,-999.25
20.0624,2.91357,2.539093,0.07145607,0.3954342,-0.01402541,-999.25
20.2148,2.848078,2.437383,0.0681724,0.3820608,-0.004640978,-999.25
20.3672,2.956028,1.898317,0.04254522,0.3593269,0.09423269,-999.25
20.5196,3.050151,2.153018,0.05615117,0.3613012,0.04988262,-999.25
20.6720,3.010058,1.925775,0.05787315,0.2783876,0.05422322,-999.25
20.8244,2.691265,1.479477,0.05884573,0.1296542,0.0541987,-999.25
20.9768,2.760425,1.389035,0.06251418,0.07918971,0.07025432,-999.25
21.1292,2.406281,1.732271,0.05671895,0.2231268,-0.0005668976,-999.25
21.2816,1.97366,1.547715,0.04903482,0.2089639,0.001563351,-999.25
21.4340,1.986336,1.359367,0.04223659,0.1883993,0.02420308,-999.25
21.5864,2.434879,1.940086,0.0650257,0.2410986,-0.01223989,-999.25
21.7388,2.979364,2.313195,0.07825732,0.2832144,-0.01963078,-999.25
21.8912,2.758041,2.419974,0.06733618,0.3813767,-0.05130418,-999.25
22.0436,2.141475,1.682759,0.04797457,0.2584533,-0.00783069,-999.25
22.1960,2.188536,1.727815,0.04619462,0.2833146,0.02044473,-999.25
22.3484,1.869738,1.564201,0.03204076,0.3137422,0.01643204,-999.25
22.5008,2.500922,2.242633,0.04387248,0.4619103,0.02286377,-999.25
22.6532,2.451874,2.304585,0.03728715,0.5203208,-0.005950999,-999.25
22.8056,3.177478,2.555616,0.05874445,0.4751518,0.03288487,-999.25
22.9580,3.429104,2.880473,0.07071001,0.5092149,-0.002850646,-999.25
23.1104,3.274049,2.784847,0.07179315,0.4722251,0.01287178,-999.25
23.2628,2.794967,2.000457,0.05092049,0.3430289,0.08627036,-999.25
23.4152,2.597696,1.450883,0.04318767,0.212162,0.1394788,-999.25
23.5676,2.458521,1.62119,0.0439463,0.2623045,0.1062648,-999.25
23.7200,2.361394,1.758402,0.05544332,0.2389702,0.05992821,-999.25
23.8724,1.94671,1.231326,0.04481912,0.1322424,0.06571083,-999.25
24.0248,2.646623,1.555937,0.06219833,0.1345317,0.1041874,-999.25
24.1772,3.05611,1.562106,0.06703491,0.1081923,0.1366208,-999.25
24.3296,3.311889,1.6773,0.07478501,0.09973804,0.1852855,-999.25
24.4820,3.005812,1.441668,0.06035104,0.1087234,0.1742494,-999.25
24.6344,2.939341,1.571978,0.05208473,0.1988844,0.1657245,-999.25
24.7868,2.709841,1.847625,0.05223452,0.2863528,0.1004168,-999.25
24.9392,2.845743,1.991237,0.05504059,0.3159522,0.09825867,-999.25
25.0916,2.350733,1.750903,0.04286292,0.3102206,0.04653167,-999.25
