#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,205.4176
DEPTH_LSF,RPM_GVR
m,c/min
89.7460,44.99995
89.8984,47
90.0508,46.00187
90.2032,47
90.3556,46.00106
90.5080,47
90.6604,50
90.8128,47
90.9652,48.99871
91.1176,48
91.2700,43.99954
91.4224,48
91.5748,47.99908
91.7272,50
91.8796,48.99811
92.0320,45.00046
92.1844,50
92.3368,47.00026
92.4892,49.99954
92.6416,49.99975
92.7940,46.99954
92.9464,48.0002
93.0988,52.99899
93.2512,50.99955
93.4036,51
93.5560,49.9995
93.7084,47
93.8608,50.9995
94.0132,44.00125
94.1656,42.99905
94.3180,43
94.4704,45.99865
94.6228,44.99776
94.7752,41
94.9276,38.00224
95.0800,42.99643
95.2324,41.00045
95.3848,37.00089
95.5372,37.99911
95.6896,39.99956
95.8420,36.00024
95.9944,36.00222
96.1468,41.00044
96.2992,39.00073
96.4516,40.00132
96.6040,42.00024
96.7564,41.99956
96.9088,42.99952
97.0612,40.99956
97.2136,41
97.3660,41.99956
97.5184,39.00028
97.6708,41.4999
97.8232,42.00048
97.9756,42.99901
98.1280,44.99935
98.2804,43.99957
98.4328,43
98.5852,40.00087
98.7376,43.00024
98.8900,43
99.0424,44.99828
99.1948,43.00086
99.3472,41.00023
99.4996,40.00043
99.6520,43.9993
99.8044,41.99953
99.9568,40.00046
100.1092,40
100.2616,43.99759
100.4140,43
100.5664,43.99935
100.7188,40
100.8712,39.00026
101.0236,41.99873
101.1760,36.00042
101.3284,39.00253
101.4808,33
101.6332,38
101.7856,39
101.9380,39.00148
102.0904,43
102.2428,42.99723
102.3952,35.0009
102.5476,31.00134
102.7000,42.99937
102.8524,40.00125
103.0048,43.00042
103.1572,42.99956
103.3096,40.00044
103.4620,41.00044
103.6144,46.99959
103.7668,45.99874
103.9192,47
104.0716,49
104.2240,50
104.3764,47
104.5288,46.99978
104.6812,46.99957
104.8336,50
104.9860,44
105.1384,43.00043
105.2908,44
105.4432,49
105.5956,42.00086
105.7480,41.00064
105.9004,46.99879
106.0528,40.00201
106.2052,45
106.3576,45.0012
106.5100,44
106.6624,47.0008
106.8148,47.0004
106.9672,50.99918
107.1196,48.9992
107.2720,49
107.4244,46.99958
107.5768,49.9999
107.7292,47
107.8816,50
108.0340,48.99724
108.1864,46.00118
108.3388,45
108.4912,41.99979
108.6436,46.99938
108.7960,47
108.9484,43.9992
109.1008,41.50108
109.2532,49.99961
109.4056,43.99922
109.5580,45.99884
109.7104,44
109.8628,46.99952
110.0152,43.50147
110.1676,42.00101
110.3200,45
110.4724,41
110.6248,46.9998
110.7772,48.99923
110.9296,47.99939
111.0820,46.00099
111.2344,49.0002
111.3868,50.99752
111.5392,47.99942
111.6916,45.99982
111.8440,41
111.9964,44.99992
112.1488,45.99961
112.3012,45
112.4536,48.99961
112.6060,44.00116
112.7584,46.00019
112.9108,44
113.0632,38.0015
113.2156,48.99925
113.3680,47
113.5204,47.99962
113.6728,46.99777
113.8252,44.99852
113.9776,44.00185
114.1300,47
114.2824,47.99981
114.4348,41.00113
114.5872,43
114.7396,45.00037
114.8920,47.9967
115.0444,44.99888
115.1968,44.50083
115.3492,45
115.5016,46.99853
115.6540,45.99982
115.8064,49
115.9588,45.99982
116.1112,46
116.2636,47.99965
116.4160,46.00072
116.5684,47.00036
116.7208,47.99892
116.8732,48.00018
117.0256,45
117.1780,47.00036
117.3304,46.99893
117.4828,46.99946
117.6352,48.99964
117.7876,46.99929
117.9400,47.99947
118.0924,46.99965
118.2448,44.99823
118.3972,42.99982
118.5496,47.00018
118.7020,49.99789
118.8544,47.99895
119.0068,47.99948
119.1592,47.99948
119.3116,47.00018
119.4640,45
119.6164,45.00017
119.7688,45.99965
119.9212,49.99931
120.0736,48.99896
120.2260,47.99948
120.3784,49.99914
120.5308,44.99966
120.6832,47.00017
120.8356,46
120.9880,48
121.1404,50
121.2928,48.99807
121.4452,47.9995
121.5976,49.99898
121.7500,47
121.9024,48.99983
122.0548,48.99932
122.2072,51
122.3596,50.99915
122.5120,48
122.6644,48.99934
122.8168,49.99866
122.9692,48.00001
123.1216,48.99917
123.2740,45.00133
123.4264,48
123.5788,45.001
123.7312,48.99968
123.8836,47.99967
124.0360,45
124.1884,47.49927
124.3408,49.99803
124.4932,42
124.6456,47.99869
124.7980,42.50087
124.9504,44.9987
125.1028,43.99984
125.2552,47.99906
125.4076,43.99935
125.5600,44.99964
125.7124,46.99806
125.8648,42
126.0172,46.99871
126.1696,47
126.3220,46
126.4744,49
126.6268,48.99872
126.7792,45.99985
126.9316,50
127.0840,41.00251
127.2364,41.00077
127.3888,43
127.5412,43.9997
127.6936,46
127.8460,40.00031
127.9984,43
128.1508,44
128.3032,48.99941
128.4556,45.00037
128.6080,44.99907
128.7604,45.99814
128.9128,47.99957
129.0652,48.00093
129.2176,48.99815
129.3700,43.00061
129.5224,41.49992
129.6748,43.99986
129.8272,45.99986
129.9796,49.99805
130.1320,49.99908
130.2844,48
130.4368,48.00014
130.5892,43.00042
130.7416,45
130.8940,48.9997
131.0464,47.0003
131.1988,49.99789
131.3512,46
131.5036,45.00011
131.6560,47
131.8084,46
131.9608,45.0006
132.1132,43.99947
132.2656,45.99859
132.4180,44.99843
132.5704,43
132.7228,44.99973
132.8752,44.9996
133.0276,43
133.1800,40.00029
133.3324,40
133.4848,43.00013
133.6372,40.99942
133.7896,39.99987
133.9420,41
134.0944,40
134.2468,44
134.3992,39.00026
134.5516,44.99943
134.7040,36.99974
134.8564,41.99987
135.0088,44.99987
135.1612,46.99949
135.3136,43.99957
135.4660,44.99987
135.6184,38
135.7708,45.99775
135.9232,42.99987
136.0756,41.99988
136.2280,42.00016
136.3804,39
136.5328,43.00092
136.6852,38.00006
136.8376,41.99917
136.9900,39.00083
137.1424,42.99964
137.2948,41
137.4472,41
137.5996,42.99988
137.7520,38.00027
137.9044,42
138.0568,39.99988
138.2092,40.99973
138.3616,42.99944
138.5140,39.00008
138.6664,42.99919
138.8188,39.00023
138.9712,40
139.1236,42.00023
139.2760,45.99866
139.4284,43.0016
139.5808,45
139.7332,47
139.8856,46
140.0380,43.99966
140.1904,46
140.3428,46.00026
140.4952,45.99967
140.6476,47
140.8000,47.99974
140.9524,48.00037
141.1048,49
141.2572,47
141.4096,47.99985
141.5620,50
141.7144,48.99974
141.8668,47.00026
142.0192,47
142.1716,45.50018
142.3240,48
142.4764,49
142.6288,46.00082
142.7812,51.99949
142.9336,49
143.0860,45.00126
143.2384,45.00086
143.3908,47.99959
143.5432,46.00075
143.6956,46
143.8480,47
144.0004,46.0003
144.1528,48.49973
144.3052,52.99886
144.4576,51.99938
144.6100,48.00035
144.7624,52
144.9148,50.00074
145.0672,45
145.2196,47.00029
145.3720,49.99981
145.5244,50.99971
145.6768,51.00038
145.8292,53.99943
145.9816,46.00072
146.1340,50.99996
146.2864,45.00037
146.4388,49.00009
146.5912,52.99963
146.7436,49.00037
146.8960,51.00005
147.0484,46.00166
147.2008,49
147.3532,52.49998
147.5056,52.99935
147.6580,51
147.8104,51.99991
147.9628,54
148.1152,52.00014
148.2676,49.00069
148.4200,49
148.5724,51.50007
148.7248,53.99862
148.8772,53.99931
149.0296,51
149.1820,49.00045
149.3344,48.00025
149.4868,48.00159
149.6392,50.00056
149.7916,52.00045
149.9440,54.99973
150.0964,55
150.2488,51.50043
150.4012,54.99933
150.5536,53.0006
150.7060,55
150.8584,48.99976
151.0108,50
151.1632,45
151.3156,52.00022
151.4680,46.00062
151.6204,42.00071
151.7728,43.99985
151.9252,45.99985
152.0776,44.00022
152.2300,44.00008
152.3824,44.00215
152.5348,53.00015
152.6872,55.99936
152.8396,55.99942
152.9920,53.50014
153.1444,49
153.2968,50.00029
153.4492,53.99986
153.6016,50
153.7540,51.00014
153.9064,53.99958
154.0588,55
154.2112,49
154.3636,51.99979
154.5160,47.00144
154.6684,46
154.8208,49
154.9732,50.99973
155.1256,49
155.2780,55
155.4304,53.00013
155.5828,48
