#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,36.0936
#BOTTOM:,95.6821
DEPTH_LSF,BPHI,TNPH
m,%,%
70.2313,83.6433,87.0401
70.3837,82.1942,83.3238
70.5361,81.3015,80.7358
70.6885,89.4536,102.7116
70.8409,88.6163,98.0349
70.9933,89.8421,103.4243
71.1457,87.4292,95.6842
71.2981,83.6970,89.9538
71.4505,79.2316,83.0797
71.6029,78.5704,85.0669
71.7553,65.4735,57.8899
71.9077,63.1947,54.5859
72.0601,87.8128,114.5919
72.2125,75.2985,75.7913
72.3649,82.9685,94.6588
72.5173,72.8947,69.9117
72.6697,76.4535,79.6787
72.8221,69.8501,68.2191
72.9745,68.2205,64.7657
73.1269,70.2242,67.6534
73.2793,77.1910,80.1551
73.4317,73.3723,69.1027
73.5841,85.3104,95.6880
73.7365,82.1816,83.9959
73.8889,86.8596,92.4469
74.0413,88.4245,95.1189
74.1937,91.8261,108.2901
74.3461,85.3896,92.7884
74.4985,79.1671,82.2122
74.6509,76.2277,81.1699
74.8033,72.9982,78.6301
74.9557,71.5824,77.8796
75.1081,65.1805,64.5398
75.2605,70.8186,74.8166
75.4129,72.0639,74.2108
75.5653,70.7226,69.5257
75.7177,69.5571,65.3547
75.8701,73.2717,72.4496
76.0225,69.8431,64.9463
76.1749,69.8842,65.9908
76.3273,72.5301,72.7067
76.4797,71.6081,72.6097
76.6321,69.0889,67.5171
76.7845,68.1338,66.6522
76.9369,68.7510,67.1470
77.0893,69.1785,68.3453
77.2417,75.5097,78.3568
77.3941,72.6967,70.6562
77.5465,81.4613,89.4542
77.6989,71.2572,64.2389
77.8513,79.2602,76.8585
78.0037,79.3246,77.9957
78.1561,82.4312,84.2855
78.3085,81.7676,82.0296
78.4609,81.5987,80.6821
78.6133,91.1798,111.6110
78.7657,83.7472,87.8550
78.9181,87.0037,98.4583
79.0705,76.5450,73.7034
79.2229,79.9022,83.1081
79.3753,68.8777,62.9782
79.5277,75.2822,76.3599
79.6801,69.6807,65.4453
79.8325,75.7010,79.3458
79.9849,73.3680,75.2806
80.1373,66.2706,62.4347
80.2897,70.9111,72.9815
80.4421,74.2387,82.1077
80.5945,70.4474,72.0270
80.7469,71.0738,74.3402
80.8993,72.8124,79.3230
81.0517,61.9182,57.8053
81.2041,73.1287,82.0442
81.3565,75.4220,89.8345
81.5089,56.8171,50.6179
81.6613,63.7500,61.6663
81.8137,71.0914,75.6735
81.9661,73.4067,77.9785
82.1185,67.6772,63.9087
82.2709,71.1124,69.0101
82.4233,74.9776,74.5014
82.5757,85.0132,96.7156
82.7281,83.0380,86.4633
82.8805,83.7967,84.1578
83.0329,87.3537,88.1168
83.1853,89.9494,89.8805
83.3377,96.1594,107.5088
83.4901,100.4180,127.5359
83.6425,91.0801,93.1381
83.7949,87.5861,88.0930
83.9473,83.1289,83.4041
84.0997,83.5844,90.8985
84.2521,67.7682,60.2609
84.4045,76.1563,79.5276
84.5569,75.1130,78.3278
84.7093,71.5514,69.7287
84.8617,79.7847,85.7959
85.0141,75.2606,71.5367
85.1665,78.3268,73.6697
85.3189,90.2270,100.1334
85.4713,91.9236,103.9151
85.6237,89.8132,99.5059
85.7761,79.3910,75.8215
85.9285,74.8331,69.4795
86.0809,75.6368,71.5286
86.2333,81.6407,87.6355
86.3857,80.5390,85.3146
86.5381,79.9723,84.9226
86.6905,78.3572,81.0226
86.8429,77.9093,83.2358
86.9953,74.9491,77.7686
87.1477,73.3858,76.3415
87.3001,66.4549,63.1554
87.4525,65.5893,62.7579
87.6049,67.6185,67.4017
87.7573,72.5000,75.7929
87.9097,67.9162,64.5433
88.0621,76.4430,80.2365
88.2145,73.4560,69.4555
88.3669,80.6817,80.3933
88.5193,86.5450,89.5004
88.6717,90.7060,96.9548
88.8241,92.4435,100.8573
88.9765,89.7187,94.3459
89.1289,90.4871,98.5971
89.2813,78.6501,72.4934
89.4337,83.5108,87.3542
89.5861,81.6474,87.4938
89.7385,75.6295,78.1945
89.8909,70.8612,71.1717
90.0433,62.2734,58.0619
90.1957,69.5213,71.1186
90.3481,59.9966,53.1919
90.5005,65.6503,64.0273
90.6529,68.0536,67.9875
