#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,1.0223
#BOTTOM:,748.8494
DEPTH_LSF,RHON
m,g/cm3
152.8128,1.729746
152.9652,1.750246
153.1176,1.744605
153.2700,1.730452
153.4224,1.741331
153.5748,1.747753
153.7272,1.744664
153.8796,1.757974
154.0320,1.75897
154.1844,1.760653
154.3368,1.764434
154.4892,1.786438
154.6416,1.782804
154.7940,1.796544
154.9464,1.804897
155.0988,1.797181
155.2512,1.775627
155.4036,1.79153
155.5560,1.789984
155.7084,1.789266
155.8608,1.778309
156.0132,1.773001
156.1656,1.77361
156.3180,1.811893
156.4704,1.788968
156.6228,1.766045
156.7752,1.731706
156.9276,1.719562
157.0800,1.68267
157.2324,1.677579
157.3848,1.667593
157.5372,1.657162
157.6896,1.64102
157.8420,1.641775
157.9944,1.59133
158.1468,1.596538
158.2992,1.569714
158.4516,1.557752
158.6040,1.536136
158.7564,1.523579
158.9088,1.531665
159.0612,1.55403
159.2136,1.541086
159.3660,1.580192
159.5184,1.617331
159.6708,1.635615
159.8232,1.626513
159.9756,1.614657
160.1280,1.619673
160.2804,1.629864
160.4328,1.610299
160.5852,1.625341
160.7376,1.635434
160.8900,1.62846
161.0424,1.651046
161.1948,1.667403
161.3472,1.674075
161.4996,1.675414
161.6520,1.700971
161.8044,1.705022
161.9568,1.705017
162.1092,1.713898
162.2616,1.712511
162.4140,1.725068
162.5664,1.722878
162.7188,1.714172
162.8712,1.716067
163.0236,1.725957
163.1760,1.729061
163.3284,1.739357
163.4808,1.725401
163.6332,1.715845
163.7856,1.704678
163.9380,1.695166
164.0904,1.700176
164.2428,1.695988
164.3952,1.71183
164.5476,1.708397
164.7000,1.724098
164.8524,1.724279
165.0048,1.726782
165.1572,1.713572
165.3096,1.707695
165.4620,1.708905
165.6144,1.687615
165.7668,1.681857
165.9192,1.682397
166.0716,1.677238
166.2240,1.675272
166.3764,1.697063
166.5288,1.683672
166.6812,1.686388
166.8336,1.710342
166.9860,1.721636
167.1384,1.726591
167.2908,1.727927
167.4432,1.707868
167.5956,1.68111
167.7480,1.64307
167.9004,1.617788
168.0528,1.592915
168.2052,1.564283
168.3576,1.555486
168.5100,1.584857
168.6624,1.595923
168.8148,1.601559
168.9672,1.614731
169.1196,1.610787
169.2720,1.625411
169.4244,1.635647
169.5768,1.651316
169.7292,1.664125
169.8816,1.68992
170.0340,1.689574
170.1864,1.695987
170.3388,1.698808
170.4912,1.696686
170.6436,1.691984
170.7960,1.703735
170.9484,1.674242
171.1008,1.657226
171.2532,1.621582
171.4056,1.589731
171.5580,1.58283
171.7104,1.604018
171.8628,1.635957
172.0152,1.667287
172.1676,1.706156
172.3200,1.748054
172.4724,1.791874
172.6248,1.777038
172.7772,1.771725
172.9296,1.76005
173.0820,1.777237
173.2344,1.786181
173.3868,1.776171
173.5392,1.77873
173.6916,1.775353
173.8440,1.777667
173.9964,1.773181
174.1488,1.750533
174.3012,1.712941
174.4536,1.702853
174.6060,1.698726
174.7584,1.714043
174.9108,1.722815
175.0632,1.739128
175.2156,1.755815
