#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,757.3838
DEPTH_LSF,ROP5,RPM_GVR
m,m/h,c/min
70.8215,120.5279,24
70.9739,117.1406,24
71.1263,114.1973,31
71.2787,112.2576,31
71.4311,113.0458,26
71.5835,111.2033,18.01397
71.7359,106.4397,18
71.8883,106.467,18
72.0407,101.7992,18
72.1931,120.6884,18
72.3455,114.8787,18
72.4979,110.714,18
72.6503,102.5005,29
72.8027,98.20992,29
72.9551,97.34266,25
73.1075,94.70867,25
73.2599,97.38827,30
73.4123,95.48759,30
73.5647,96.79005,27.00002
73.7171,101.281,27
73.8695,104.5874,27
74.0219,107.9187,27
74.1743,114.2884,27
74.3267,114.5468,27
74.4791,115.7606,18.01541
74.6315,113.1283,18
74.7839,114.4907,18
74.9363,118.0292,18
75.0887,121.3094,18
75.2411,124.654,17.0017
75.3935,120.6937,17
75.5459,116.9541,17
75.6983,115.5497,17
75.8507,113.4439,35
76.0031,112.6878,30.00003
76.1555,120.4572,30
76.3079,119.6091,25
76.4603,118.0925,25
76.6127,118.0143,29
76.7651,119.4615,29
76.9175,124.5247,22
77.0699,128.1608,21
77.2223,106.9044,28
77.3747,109.4244,28
77.5271,107.9949,28
77.6795,102.3515,29
77.8319,98.61446,32
77.9843,96.80006,27.00003
78.1367,94.19338,19.00005
78.2891,93.14706,26
78.4415,88.61298,26
78.5939,79.31718,25
78.7463,85.69532,25.99834
78.8987,84.01519,26
79.0511,82.67686,28
79.2035,80.47349,28.99999
79.3559,79.01276,29
79.5083,75.02115,27
79.6607,75.16224,27
79.8131,57.99563,29
79.9655,58.71535,29
80.1179,62.98533,26.00002
80.2703,65.17359,26
80.4227,62.03146,26
80.5751,62.45555,15
80.7276,65.49212,15
80.8800,65.25524,15
81.0324,67.0301,15
81.1848,68.30407,15
81.3372,93.91031,23
81.4896,95.75874,23
81.6420,98.11493,23
81.7944,101.8165,23
81.9468,117.5257,28
82.0992,119.6838,28
82.2516,117.6899,26
82.4040,109.932,26
82.5564,113.326,26
82.7088,111.6016,26
82.8612,110.7059,26
83.0136,110.955,26
83.1660,109.286,29
83.3184,94.13065,20
83.4708,92.89925,20.99999
83.6232,95.80165,21
83.7756,101.5069,22.99679
83.9280,121.1135,23
84.0804,129.403,23
84.2328,136.5632,23
84.3852,142.177,23
84.5376,132.3398,18
84.6900,107.5138,18
84.8424,119.2141,22
84.9948,121.0146,22
85.1472,120.8888,26
85.2996,116.7344,30
85.4520,109.3493,30
85.6044,106.0271,29
85.7568,101.2818,21.0174
85.9092,99.72807,20.0079
86.0616,106.0347,20
86.2140,115.4794,17
86.3664,118.6362,23
86.5188,117.5408,23
86.6712,113.1861,25
86.8236,90.93668,23
86.9760,90.11156,25.99998
87.1284,68.04549,25.00157
87.2808,55.41053,25
87.4332,51.95885,33
87.5856,49.21637,30
87.7380,45.43908,32.99998
87.8904,46.02639,33
88.0428,42.91577,29.00002
88.1952,41.46924,48.96893
88.3476,44.06309,49
88.5000,34.56358,49
88.6524,38.6602,46.00002
88.8048,43.35541,46.99691
88.9572,43.62308,39.00005
89.1096,43.46211,49.99691
89.2620,49.01883,39.99999
89.4144,49.07218,45
89.5668,52.80521,49
89.7192,45.22753,48
89.8716,46.43256,45
90.0240,66.19874,49.00306
90.1764,60.34562,50.99999
90.3288,55.66166,50
90.4812,58.53757,52.00153
90.6336,48.99699,48.00001
90.7860,38.44336,52.99695
90.9384,36.86541,46.01065
91.0908,36.05097,51
91.2432,39.21364,51
91.3956,32.51031,49.00306
91.5480,27.44526,53.00152
91.7004,25.54543,57.99997
91.8528,25.71471,57.00453
92.0052,23.36725,57
92.1576,23.75143,53.66717
92.3100,24.91538,51
92.4624,24.68629,53
92.6148,21.7459,55
92.7672,22.3763,54
92.9196,22.26936,51.00749
93.0720,22.76891,54.99401
93.2244,25.17123,53.00299
93.3768,20.7816,56.99998
93.5292,22.33254,54
93.6816,21.01813,50
93.8340,19.99006,53.00446
93.9864,19.84883,49.00297
94.1388,22.54811,50.99406
94.2912,21.0716,50.00002
94.4436,20.29537,54
94.5960,21.23674,54
94.7484,21.14756,53
94.9008,24.78502,48.00003
95.0532,25.08467,53
95.2056,26.97283,51.00002
95.3580,30.65746,51
95.5104,29.55967,54
95.6628,27.47165,54
95.8152,27.85093,54
95.9676,34.0249,52
96.1200,35.68998,53.99708
96.2724,28.4921,49.00584
96.4248,31.02394,60
96.5772,28.82303,50
96.7296,29.94448,56.99996
96.8820,29.7718,57
97.0344,29.9824,56
97.1868,32.82964,51
97.3392,32.00686,50
97.4916,32.16331,49.00578
97.6440,30.2002,54
97.7964,32.29888,50.00002
97.9488,28.95417,47
98.1012,31.01631,48.99999
98.2536,33.16626,49
98.4060,29.09252,53
98.5584,31.47775,51
98.7108,26.67117,48
98.8632,29.24816,43
99.0156,25.35696,51
99.1680,24.83356,42.50215
99.3204,26.99855,47
99.4728,24.82816,48
99.6252,24.67344,47.99858
99.7776,24.52851,49
99.9300,28.48085,47
100.0824,25.88076,48.99717
100.2348,27.9642,50.00566
100.3872,28.53223,44.00003
100.5396,31.58168,48.99996
100.6920,32.12772,51
100.8444,30.99369,49
100.9968,35.82309,42.00003
101.1492,35.09336,49.99579
101.3016,30.41233,49.99859
101.4540,29.26882,48.99954
101.6064,30.93257,54
101.7588,25.47218,46
101.9112,24.84751,52.99998
102.0636,23.24561,44.99582
102.2160,25.04972,49
102.3684,26.24516,50
102.5208,23.80114,45.00832
102.6732,22.61499,50
102.8256,21.86835,50.00277
102.9780,20.02447,51
103.1304,18.80105,49.00414
103.2828,20.88807,51.99998
103.4352,19.37019,48
103.5876,18.83137,50
103.7400,18.85314,52
103.8924,17.47971,49.00412
104.0448,17.60349,48
104.1972,16.93311,51
104.3496,18.83754,48.00137
104.5020,19.49664,48
104.6544,21.24971,50.99998
104.8068,20.52257,46.00001
104.9592,20.96836,41
105.1116,22.35918,49
105.2640,22.48854,53
105.4164,23.72008,50
105.5688,24.9678,50
105.7212,28.71276,46
105.8736,25.64364,40
106.0260,28.52113,50.00135
106.1784,21.66774,50
106.3308,24.40461,44.0094
106.4832,22.4577,48.00001
106.6356,24.50689,27
106.7880,23.63671,46
106.9404,23.80331,46.00534
107.0928,25.48891,53
107.2452,21.31051,50
107.3976,23.22503,50
107.5500,20.66092,50
