#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,60.3733
#BOTTOM:,332.4073
DEPTH_WMSF,DRH,NRHB,PEFL,RHL,RHOM
m,g/cm3,g/cm3,barns/e-,g/cm3,g/cm3
69.8221,0.03161757,2.111094,2.683968,2.079476,2.111094
69.9745,0.0328212,2.123712,2.76209,2.090891,2.123712
70.1269,0.03145389,2.13865,2.911951,2.107196,2.13865
70.2793,0.02719182,2.145509,3.003669,2.118317,2.145509
70.4317,0.02736134,2.154079,3.016825,2.126718,2.154079
70.5841,0.01862589,2.153443,2.890331,2.134817,2.153443
70.7365,0.0176107,2.164634,2.733206,2.147023,2.164634
70.8889,0.0154885,2.161035,2.551862,2.145546,2.161035
71.0413,0.01796125,2.154244,2.523481,2.136283,2.154244
71.1937,0.01543191,2.1441,2.554503,2.128668,2.1441
71.3461,0.02026335,2.153703,2.68715,2.133439,2.153703
71.4985,0.02314528,2.162594,2.797108,2.139449,2.162594
71.6509,0.02544683,2.166896,2.9418,2.141449,2.166896
71.8033,0.01887484,2.163352,3.010974,2.144477,2.163352
71.9557,0.02117721,2.172523,2.984904,2.151346,2.172523
72.1081,0.02161387,2.180742,2.796997,2.159128,2.180742
72.2605,0.02141875,2.190449,2.685157,2.169031,2.190449
72.4129,0.02105542,2.192672,2.737678,2.171616,2.192672
72.5653,0.02053149,2.190303,2.836688,2.169771,2.190303
72.7177,0.01632377,2.175462,2.921775,2.159138,2.175462
72.8701,0.01723725,2.166198,3.009612,2.148961,2.166198
73.0225,0.02551232,2.168378,3.039908,2.142866,2.168378
73.1749,0.03157537,2.172705,2.980341,2.141129,2.172705
73.3273,0.03612517,2.174121,2.831223,2.137996,2.174121
73.4797,0.03900838,2.177069,2.816049,2.138061,2.177069
73.6321,0.03855382,2.179329,2.836251,2.140775,2.179329
73.7845,0.03404438,2.174109,2.798301,2.140065,2.174109
73.9369,0.02511028,2.156944,2.736729,2.131834,2.156944
74.0893,0.01746413,2.130898,2.705931,2.113434,2.130898
74.2417,0.01326201,2.10768,2.702618,2.094418,2.10768
74.3941,0.0113184,2.091348,2.742059,2.08003,2.091348
74.5465,0.008102596,2.080801,2.774035,2.072698,2.080801
74.6989,0.007407455,2.082345,2.77,2.074937,2.082345
74.8513,0.00417312,2.085665,2.731347,2.080065,2.084239
75.0037,0.001084728,2.072641,2.600859,2.085778,2.086863
75.1561,-0.0006255014,2.075719,2.685431,2.089406,2.088781
75.3085,-0.0007259795,2.110657,2.876206,2.103088,2.102362
75.4609,0.00470595,2.121223,3.173036,2.111971,2.116677
75.6133,0.01654328,2.13188,3.156759,2.114997,2.13154
75.7657,0.01984383,2.11657,2.790498,2.096726,2.11657
75.9181,0.0146292,2.106966,2.449559,2.092336,2.106966
76.0705,0.01340273,2.110724,2.188426,2.097321,2.110724
76.2229,-0.0008070676,2.236913,2.290412,2.113612,2.112805
76.3753,-0.01734772,2.149659,2.517389,2.120216,2.102868
76.5277,-0.03207862,2.107144,2.793931,2.135507,2.103428
76.6801,-0.02315142,2.149428,2.972452,2.173873,2.150722
76.8325,-0.007921353,2.246603,3.06832,2.223313,2.215391
76.9849,0.006537854,2.310829,3.242284,2.247787,2.254325
77.1373,0.01223,2.227463,3.168833,2.224252,2.236482
77.2897,0.02989946,2.200238,3.215965,2.17082,2.20072
77.4421,0.04112766,2.184402,2.957045,2.143274,2.184402
77.5945,0.04551996,2.188029,2.907255,2.142509,2.188029
77.7469,0.0519974,2.213613,2.694023,2.161615,2.213613
77.8993,0.03840604,2.211326,2.734528,2.17292,2.211326
78.0517,0.01394176,2.202172,2.72952,2.186229,2.200171
78.2041,-0.001905014,2.240316,2.705871,2.196925,2.19502
78.3565,-0.005611861,2.203298,2.940708,2.203655,2.198043
78.5089,0.0144314,2.160213,3.013597,2.145781,2.160213
78.6613,0.05888539,2.089705,2.665124,2.03082,2.089705
78.8137,0.07049736,2.071521,2.438267,2.001024,2.071521
78.9661,0.09895444,2.120969,2.128073,2.022015,2.120969
79.1185,0.146985,2.254131,2.311882,2.107146,2.254131
79.2709,0.1158345,2.23465,2.263586,2.118815,2.23465
79.4233,0.04699134,2.16238,2.316875,2.115389,2.16238
79.5757,0.03915065,2.152996,2.308689,2.113845,2.152996
79.7281,0.03095124,2.141767,2.360883,2.110816,2.141767
79.8805,0.03705299,2.159956,2.292076,2.122903,2.159956
80.0329,0.03826469,2.161954,2.494509,2.12369,2.161954
80.1853,0.04098937,2.178856,2.682885,2.137866,2.178856
80.3377,0.04281357,2.17658,2.773222,2.133767,2.17658
80.4901,0.05730477,2.200372,2.536791,2.143067,2.200372
80.6425,0.06878397,2.190845,2.390529,2.122061,2.190845
80.7949,0.07073591,2.181633,2.385384,2.110898,2.181633
80.9473,0.07709593,2.183647,2.548185,2.106551,2.183647
81.0997,0.08300837,2.213479,2.418727,2.13047,2.213479
81.2521,0.08497718,2.239896,2.47368,2.154918,2.239896
81.4045,0.08658632,2.223287,2.338029,2.1367,2.223287
81.5569,0.07629091,2.177314,2.421875,2.101023,2.177314
81.7093,0.06887682,2.148018,2.457368,2.079141,2.148018
81.8617,0.06671472,2.16227,2.558773,2.095555,2.16227
82.0141,0.06516231,2.168743,2.516967,2.10358,2.168743
82.1665,0.03496698,2.135405,2.462967,2.100438,2.135405
82.3189,0.02821896,2.135632,2.475331,2.107413,2.135632
82.4713,0.02337387,2.147544,2.584747,2.12417,2.147544
82.6237,0.03212664,2.161851,2.592933,2.129725,2.161851
82.7761,0.02848453,2.14953,2.492047,2.121046,2.14953
82.9285,0.03566295,2.136193,2.385367,2.10053,2.136193
83.0809,0.03371438,2.114718,2.414672,2.081004,2.114718
83.2333,0.03183647,2.117747,2.486082,2.085911,2.117747
83.3857,0.03728652,2.162347,2.548837,2.125061,2.162347
83.5381,0.04457648,2.222573,2.400012,2.177997,2.222573
83.6905,0.02963376,2.23246,2.363941,2.202826,2.23246
83.8429,0.01783793,2.225181,2.358585,2.207343,2.225181
83.9953,0.0168921,2.223789,2.394624,2.206897,2.223789
84.1477,0.01306173,2.217372,2.545933,2.204422,2.217484
84.3001,0.01480746,2.220601,2.649319,2.2066,2.221407
84.4525,0.01572804,2.229841,2.804251,2.214113,2.229841
84.6049,0.01547451,2.234947,2.638821,2.219472,2.234947
84.7573,0.02083551,2.240334,2.768082,2.219498,2.240334
84.9097,0.02107524,2.231035,2.865441,2.20996,2.231035
85.0621,0.02527544,2.233494,3.155538,2.208219,2.233494
85.2145,0.03375232,2.24058,3.244991,2.206827,2.24058
85.3669,0.04250997,2.252418,3.206443,2.209908,2.252418
85.5193,0.04162125,2.249122,3.094946,2.207501,2.249122
85.6717,0.04644546,2.251861,3.093477,2.205416,2.251861
85.8241,0.05458868,2.25296,3.053746,2.198372,2.25296
85.9765,0.05644777,2.250351,3.09263,2.193903,2.250351
86.1289,0.05436217,2.239647,3.10536,2.185284,2.239647
86.2813,0.05327608,2.243894,3.210723,2.190618,2.243894
