#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,186.6724
DEPTH_LSF,A16B,A16H,A16L,A22B,A22H,A22L,A28B,A28H,A28L,A34B,A34H,A34L,A40B,A40H,A40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
8.2120,1.418107,1.398753,1.43288,1.427732,1.408619,1.44293,1.434763,1.419798,1.446851,1.440087,1.430356,1.447984,1.44445,1.438003,1.449719
8.3644,1.420375,1.401237,1.435117,1.440318,1.426427,1.451765,1.451236,1.44209,1.458995,1.456295,1.451519,1.460369,1.461573,1.461893,1.461299
8.5168,1.417439,1.390663,1.438336,1.441055,1.419406,1.459456,1.453801,1.438383,1.467328,1.460729,1.452484,1.467981,1.469129,1.46885,1.469375
8.6692,1.419915,1.393616,1.440632,1.446248,1.427724,1.462167,1.46022,1.448106,1.471006,1.466003,1.459928,1.471421,1.472441,1.473945,1.471101
8.8216,1.408127,1.367467,1.440086,1.442377,1.414765,1.466525,1.460475,1.440553,1.478775,1.469763,1.455423,1.483169,1.482427,1.477034,1.487557
8.9740,1.416776,1.378657,1.447672,1.445637,1.415392,1.472755,1.461135,1.437521,1.483216,1.470024,1.452199,1.486942,1.481677,1.470833,1.492187
9.1264,1.420522,1.379062,1.455157,1.445028,1.413695,1.47317,1.459412,1.436152,1.480966,1.464929,1.447459,1.481129,1.468863,1.456925,1.479878
9.2788,1.425035,1.385476,1.458536,1.451662,1.42421,1.476667,1.469665,1.453131,1.485252,1.474563,1.465319,1.483205,1.472567,1.467878,1.47684
9.4312,1.424051,1.382685,1.459171,1.454614,1.428725,1.478353,1.474889,1.463763,1.485383,1.480316,1.478618,1.481895,1.47857,1.481288,1.476099
9.5836,1.42457,1.3867,1.45636,1.452134,1.425908,1.475952,1.474072,1.460226,1.487229,1.482007,1.475521,1.488193,1.479144,1.474204,1.483772
9.7360,1.42687,1.39103,1.457038,1.453496,1.429088,1.475637,1.470348,1.455334,1.484456,1.475263,1.461855,1.488045,1.475079,1.457942,1.491654
9.8884,1.438093,1.419758,1.453295,1.45687,1.441581,1.470454,1.471724,1.462712,1.480043,1.479213,1.47396,1.484143,1.480683,1.474526,1.486516
10.0408,1.424884,1.398544,1.446097,1.44329,1.422382,1.461186,1.454282,1.438402,1.468266,1.459753,1.447717,1.470445,1.4645,1.455981,1.472119
10.1932,1.40672,1.370521,1.434538,1.424317,1.392409,1.450473,1.435219,1.409694,1.456673,1.440951,1.418925,1.459692,1.445289,1.422838,1.464785
10.3456,1.396494,1.362101,1.421558,1.416625,1.385029,1.441613,1.429085,1.403055,1.450419,1.4339,1.410488,1.453314,1.435472,1.410413,1.456522
10.4980,1.387962,1.354301,1.411498,1.403364,1.371978,1.426728,1.412736,1.382228,1.436354,1.417618,1.385723,1.442984,1.421422,1.388078,1.448543
10.6504,1.387552,1.35394,1.411008,1.407923,1.374154,1.433795,1.419014,1.388272,1.443514,1.425307,1.394947,1.450163,1.431825,1.39839,1.460346
10.8028,1.374059,1.336518,1.398981,1.397836,1.36325,1.423213,1.411078,1.379293,1.435611,1.416599,1.385529,1.441123,1.420991,1.390155,1.445796
10.9552,1.36983,1.327484,1.397803,1.395598,1.359027,1.422336,1.412143,1.378857,1.438093,1.417831,1.386375,1.442832,1.418699,1.390567,1.440882
11.1076,1.376487,1.335061,1.404642,1.404368,1.369753,1.430539,1.420858,1.390452,1.445263,1.426957,1.397501,1.451172,1.430296,1.401951,1.453851
11.2600,1.378427,1.338636,1.405576,1.407034,1.371539,1.434283,1.423622,1.391072,1.450285,1.428233,1.398229,1.453091,1.429046,1.403509,1.449934
11.4124,1.387095,1.344054,1.418008,1.408009,1.370733,1.436936,1.42192,1.38939,1.44836,1.433425,1.404685,1.45768,1.44625,1.422044,1.467501
11.5648,1.380076,1.336104,1.410724,1.405395,1.365651,1.436136,1.42084,1.386328,1.448958,1.432256,1.405472,1.45458,1.445563,1.429132,1.459533
11.7172,1.369209,1.318718,1.403342,1.401375,1.358692,1.434119,1.420455,1.384453,1.4499,1.431732,1.403687,1.455161,1.443892,1.427142,1.458049
11.8696,1.358645,1.301108,1.396437,1.39985,1.357854,1.431758,1.42254,1.390234,1.44885,1.432497,1.406456,1.454164,1.443571,1.426617,1.457892
12.0220,1.369875,1.315148,1.407517,1.410767,1.374355,1.439294,1.430884,1.402124,1.454883,1.432488,1.403838,1.456556,1.432479,1.406621,1.453979
12.1744,1.353249,1.278923,1.403533,1.39807,1.347263,1.437604,1.423616,1.385667,1.455342,1.434335,1.401334,1.46276,1.445576,1.419628,1.468443
12.3268,1.350071,1.269268,1.405093,1.400889,1.343375,1.447466,1.433309,1.39199,1.469941,1.446409,1.415358,1.47444,1.454592,1.434571,1.472528
12.4792,1.370251,1.293022,1.42805,1.426068,1.37941,1.466939,1.462511,1.437307,1.486377,1.475577,1.461678,1.488872,1.481549,1.476729,1.486109
12.6316,1.377947,1.298711,1.440274,1.434141,1.388572,1.475443,1.471603,1.448953,1.493689,1.487084,1.477934,1.496093,1.496704,1.500762,1.492761
12.7840,1.376545,1.299548,1.43609,1.425752,1.376685,1.46911,1.457663,1.428945,1.484672,1.471076,1.452888,1.488442,1.480007,1.469102,1.490505
12.9364,1.391096,1.327596,1.441241,1.428156,1.385274,1.465503,1.453426,1.425805,1.478801,1.465637,1.445905,1.484157,1.473405,1.458874,1.487212
13.0888,1.377342,1.308228,1.42934,1.420269,1.371456,1.462225,1.453683,1.420639,1.484773,1.472802,1.44731,1.498102,1.484059,1.461537,1.507244
13.2412,1.413671,1.375858,1.443847,1.432115,1.398498,1.460849,1.451258,1.427738,1.472309,1.464179,1.451062,1.4761,1.467829,1.460136,1.474784
