#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.7174
#BOTTOM:,720.8074
DEPTH_LSF,DTCO,DTSM,VCO,VSH
m,us/ft,us/ft,km/s,km/s
26.6254,191.18300,-999.25,1.5943,-999.25
26.7778,190.71419,-999.25,1.5982,-999.25
26.9302,190.29077,-999.25,1.6018,-999.25
27.0826,190.10172,-999.25,1.6034,-999.25
27.2350,190.60519,-999.25,1.5991,-999.25
27.3874,192.01044,-999.25,1.5874,-999.25
27.5398,193.05417,-999.25,1.5788,-999.25
27.6922,192.88914,-999.25,1.5802,-999.25
27.8446,192.01779,-999.25,1.5874,-999.25
27.9970,191.42810,-999.25,1.5922,-999.25
28.1494,190.78294,-999.25,1.5976,-999.25
28.3018,190.48895,-999.25,1.6001,-999.25
28.4542,190.59465,-999.25,1.5992,-999.25
28.6066,190.79163,-999.25,1.5976,-999.25
28.7590,190.93919,-999.25,1.5963,-999.25
28.9114,190.99263,-999.25,1.5959,-999.25
29.0638,191.06328,-999.25,1.5953,-999.25
29.2162,190.89743,-999.25,1.5967,-999.25
29.3686,190.97958,-999.25,1.5960,-999.25
29.5210,191.42947,-999.25,1.5922,-999.25
29.6734,191.49107,-999.25,1.5917,-999.25
29.8258,190.51132,-999.25,1.5999,-999.25
29.9782,189.60529,-999.25,1.6076,-999.25
30.1306,190.16295,-999.25,1.6028,-999.25
30.2830,191.95474,-999.25,1.5879,-999.25
30.4354,193.61520,-999.25,1.5743,-999.25
30.5878,193.75089,-999.25,1.5732,-999.25
30.7402,192.90506,-999.25,1.5801,-999.25
30.8926,192.23271,-999.25,1.5856,-999.25
31.0450,191.86876,-999.25,1.5886,-999.25
31.1974,191.93965,-999.25,1.5880,-999.25
31.3498,192.49094,-999.25,1.5835,-999.25
31.5022,192.43031,-999.25,1.5840,-999.25
31.6546,192.25075,-999.25,1.5854,-999.25
31.8070,191.94392,-999.25,1.5880,-999.25
31.9594,191.69237,-999.25,1.5900,-999.25
32.1118,191.15132,-999.25,1.5945,-999.25
32.2642,190.63770,-999.25,1.5988,-999.25
32.4166,190.33746,-999.25,1.6014,-999.25
32.5690,190.25468,-999.25,1.6021,-999.25
32.7214,190.23851,-999.25,1.6022,-999.25
32.8738,190.25691,-999.25,1.6020,-999.25
33.0262,190.29805,-999.25,1.6017,-999.25
33.1786,190.24892,-999.25,1.6021,-999.25
33.3310,189.95143,-999.25,1.6046,-999.25
33.4834,189.98427,-999.25,1.6043,-999.25
33.6358,190.42416,-999.25,1.6006,-999.25
33.7882,190.70081,-999.25,1.5983,-999.25
33.9406,190.77704,-999.25,1.5977,-999.25
34.0930,191.01665,-999.25,1.5957,-999.25
34.2454,191.43524,-999.25,1.5922,-999.25
34.3978,191.56400,-999.25,1.5911,-999.25
34.5502,191.40965,-999.25,1.5924,-999.25
34.7026,191.18512,-999.25,1.5943,-999.25
34.8550,190.74242,-999.25,1.5980,-999.25
35.0074,190.36789,-999.25,1.6011,-999.25
35.1598,190.05029,-999.25,1.6038,-999.25
35.3122,189.88493,-999.25,1.6052,-999.25
35.4646,189.52188,-999.25,1.6083,-999.25
35.6170,189.16594,-999.25,1.6113,-999.25
35.7694,189.36046,-999.25,1.6096,-999.25
35.9218,189.37367,-999.25,1.6095,-999.25
36.0742,189.40686,-999.25,1.6092,-999.25
36.2266,190.16536,-999.25,1.6028,-999.25
36.3790,191.10846,-999.25,1.5949,-999.25
36.5314,191.61580,-999.25,1.5907,-999.25
36.6838,191.63751,-999.25,1.5905,-999.25
36.8362,191.29532,-999.25,1.5933,-999.25
36.9886,190.98152,-999.25,1.5960,-999.25
37.1410,190.95270,-999.25,1.5962,-999.25
37.2934,190.96361,-999.25,1.5961,-999.25
37.4458,190.64903,-999.25,1.5987,-999.25
37.5982,190.19400,-999.25,1.6026,-999.25
37.7506,189.83205,-999.25,1.6056,-999.25
37.9030,189.61021,-999.25,1.6075,-999.25
38.0554,189.18315,-999.25,1.6111,-999.25
38.2078,188.52022,-999.25,1.6168,-999.25
38.3602,188.26434,-999.25,1.6190,-999.25
38.5126,188.37939,-999.25,1.6180,-999.25
38.6650,188.46574,-999.25,1.6173,-999.25
38.8174,188.41519,-999.25,1.6177,-999.25
38.9698,188.37392,-999.25,1.6181,-999.25
39.1222,188.39725,-999.25,1.6179,-999.25
39.2746,188.56322,-999.25,1.6164,-999.25
39.4270,189.06000,-999.25,1.6122,-999.25
39.5794,189.78134,-999.25,1.6061,-999.25
39.7318,190.11777,-999.25,1.6032,-999.25
39.8842,190.04184,-999.25,1.6039,-999.25
40.0366,190.03369,-999.25,1.6039,-999.25
40.1890,190.52115,-999.25,1.5998,-999.25
40.3414,191.01678,-999.25,1.5957,-999.25
40.4938,191.26459,-999.25,1.5936,-999.25
40.6462,191.23207,-999.25,1.5939,-999.25
40.7986,191.34256,-999.25,1.5930,-999.25
40.9510,191.73425,-999.25,1.5897,-999.25
41.1034,192.03604,-999.25,1.5872,-999.25
41.2558,191.88348,-999.25,1.5885,-999.25
41.4082,191.24232,-999.25,1.5938,-999.25
41.5606,190.49225,-999.25,1.6001,-999.25
41.7130,190.16228,-999.25,1.6028,-999.25
41.8654,190.68752,-999.25,1.5984,-999.25
42.0178,190.27693,-999.25,1.6019,-999.25
42.1702,188.32422,-999.25,1.6185,-999.25
42.3226,187.33469,-999.25,1.6270,-999.25
42.4750,187.65862,-999.25,1.6242,-999.25
42.6274,189.53513,-999.25,1.6081,-999.25
42.7798,191.45848,-999.25,1.5920,-999.25
42.9322,191.37828,-999.25,1.5927,-999.25
43.0846,190.97079,-999.25,1.5961,-999.25
43.2370,190.77538,-999.25,1.5977,-999.25
43.3894,191.41435,-999.25,1.5924,-999.25
43.5418,192.10042,-999.25,1.5867,-999.25
43.6942,192.37335,-999.25,1.5844,-999.25
43.8466,193.36467,-999.25,1.5763,-999.25
43.9990,195.72380,-999.25,1.5573,-999.25
44.1514,197.12825,-999.25,1.5462,-999.25
44.3038,196.15567,-999.25,1.5539,-999.25
44.4562,193.41219,-999.25,1.5759,-999.25
44.6086,191.83495,-999.25,1.5889,-999.25
44.7610,190.90854,-999.25,1.5966,-999.25
44.9134,190.21999,-999.25,1.6024,-999.25
45.0658,189.29276,-999.25,1.6102,-999.25
45.2182,188.84441,-999.25,1.6140,-999.25
45.3706,188.59514,-999.25,1.6162,-999.25
45.5230,189.01413,-999.25,1.6126,-999.25
45.6754,189.42343,-999.25,1.6091,-999.25
45.8278,189.30156,-999.25,1.6101,-999.25
45.9802,189.09793,-999.25,1.6119,-999.25
46.1326,189.21330,-999.25,1.6109,-999.25
46.2850,189.45428,-999.25,1.6088,-999.25
46.4374,189.55690,-999.25,1.6080,-999.25
46.5898,189.51015,-999.25,1.6084,-999.25
