#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,0.1272
#BOTTOM:,104.3689
DEPTH_LSF,ROP5,RPM_GVR
m,m/h,c/min
63.3733,27.5623,40.99726
63.5257,26.95573,41.99863
63.6781,30.1791,43
63.8305,32.15082,42.99863
63.9829,26.69754,42.9984
64.1353,27.09641,43
64.2877,27.85783,43
64.4401,26.42602,42.00138
64.5925,23.54614,40.00001
64.7449,24.20487,41.99343
64.8973,27.79334,42
65.0497,28.73475,43
65.2021,27.12012,43.99582
65.3545,19.16197,43
65.5069,21.53668,43
65.6593,21.40315,40.0042
65.8117,21.75829,41
65.9641,22.77311,41
66.1165,25.99437,43
66.2689,24.34058,42
66.4213,24.49531,41.00141
66.5737,24.82815,42
66.7261,24.55772,44
66.8785,37.47441,44
67.0309,39.07011,44
67.1833,38.08664,43
67.3357,22.64012,42
67.4881,22.49698,41.99999
67.6405,22.81546,40.00001
67.7929,24.60462,42
67.9453,25.42108,40.9982
68.0977,24.37042,38.00002
68.2501,23.57967,40.00288
68.4025,24.86027,40.00001
68.5549,24.87095,40.33407
68.7073,24.18256,43
68.8597,43.24637,40.00003
69.0121,44.71603,45.99631
69.1645,40.39217,44.00185
69.3169,40.36342,44.99628
69.4693,41.26384,41.00002
69.6217,38.10764,44
69.7741,43.15022,43
69.9265,40.9295,44.00146
70.0789,29.44916,41.00439
70.2313,33.16777,43
70.3837,32.72646,42
70.5361,31.6094,40
70.6885,34.40462,44
70.8409,33.66055,43
70.9933,29.53554,43
71.1457,33.25399,43.99852
71.2981,34.49938,43.99219
71.4505,32.41933,30.01484
71.6029,41.91116,30.00003
71.7553,37.42107,42
71.9077,39.29621,42
72.0601,41.52204,42.98706
72.2125,36.08199,41.99851
72.3649,36.37731,44.0015
72.5173,35.54261,44
72.6697,35.10277,42.00404
72.8221,30.97464,46.9919
72.9745,31.88879,40.00452
73.1269,33.87568,44
73.2793,30.95659,45.00205
73.4317,31.09204,45
73.5841,27.41082,41.00206
73.7365,30.66473,42
73.8889,27.37927,44.99544
74.0413,29.06632,44.99792
74.1937,25.9625,44.00209
74.3461,25.77626,41.0061
74.4985,26.19095,43.99998
74.6509,25.5459,43
74.8033,28.51152,45.99541
74.9557,27.13544,46
75.1081,28.71071,44.00308
75.2605,28.52522,45.99998
75.4129,32.29002,43.00002
75.5653,28.95275,46
75.7177,33.00229,41
75.8701,35.80857,46.99783
76.0225,34.65514,46.99845
76.1749,31.27108,45
76.3273,32.55891,43.00311
76.4797,33.70674,45
76.6321,33.53984,43
76.7845,30.88744,43.00664
76.9369,31.84103,47
77.0893,35.81793,45.99777
77.2417,33.01093,43.5028
77.3941,32.82244,44.98566
77.5465,32.58726,43.0045
77.6989,35.55677,45
77.8513,25.79127,46.99685
78.0037,25.09559,46
78.1561,25.20939,46
78.3085,25.63648,43.00633
78.4609,23.61132,41.00317
78.6133,24.57573,41
78.7657,22.01567,41.0023
78.9181,21.02196,42
79.0705,20.98049,42
79.2229,21.88294,41
79.3753,27.17404,38.00479
79.5277,26.29963,38.00468
79.6801,28.02499,40
79.8325,23.11909,33.01123
79.9849,24.8999,33
80.1373,25.79285,33
80.2897,32.22144,36
80.4421,37.39543,36.02385
80.5945,41.82979,47.99998
80.7469,41.43235,45.0072
80.8993,44.68359,48
81.0517,48.77829,46.99997
81.2041,48.62109,46.33033
81.3565,96.52203,48
81.5089,104.784,50.99431
81.6613,107.0612,51.9939
81.8137,107.6158,49.99999
81.9661,103.2028,49.99675
82.1185,70.31347,52.99998
82.2709,63.39638,50
82.4233,63.51443,50.00248
82.5757,51.09913,49
82.7281,39.37278,48.00001
82.8805,38.32257,50.0025
83.0329,28.54782,50
83.1853,26.41135,44.01006
83.3377,22.31801,47.99999
83.4901,19.57068,48
83.6425,18.73487,48.00254
83.7949,16.63833,49
83.9473,16.55659,49.99745
84.0997,15.42221,48.99744
84.2521,15.18693,49
84.4045,14.8902,50.00001
84.5569,16.72327,50
84.7093,16.93738,49.99741
84.8617,16.86222,50.99664
85.0141,18.32481,49.0026
85.1665,19.3257,51.99998
85.3189,22.0018,50.97646
85.4713,21.19258,44
85.6237,24.13199,48
85.7761,25.0624,52.98542
85.9285,24.24794,50.00529
86.0809,22.03994,45.01591
86.2333,22.97307,51.00338
86.3857,25.26733,50.00001
86.5381,25.7269,52.0017
86.6905,25.60427,51.99732
86.8429,23.64231,52
86.9953,23.87803,53.00269
87.1477,26.04651,52.99828
87.3001,25.29041,52.99658
87.4525,24.11453,53
87.6049,22.98647,52.00171
87.7573,20.90878,51
87.9097,21.84909,52
88.0621,19.16297,45.01204
88.2145,19.19432,45
88.3669,18.62032,45
88.5193,18.5187,45
88.6717,17.31763,39
88.8241,18.19337,39
88.9765,18.91881,44.9948
89.1289,20.66462,45
89.2813,21.52196,44.99198
89.4337,20.57062,27
89.5861,24.45045,27
89.7385,27.47118,27
89.8909,34.49965,46
90.0433,36.55284,36.00005
90.1957,42.04481,44
90.3481,50.29944,41
90.5005,48.16067,41
90.6529,54.52967,44
90.8053,49.57083,44.99392
90.9577,43.28276,43
91.1101,42.99525,39.00576
91.2625,42.90433,42
91.4149,30.52831,43.99999
91.5673,23.83917,42.01455
91.7197,20.31274,45
91.8721,18.3152,46
92.0245,19.65673,45.99414
92.1769,18.63171,44.99412
92.3293,18.61046,43.00004
92.4817,19.31912,49.01477
92.6341,18.02164,50.00714
92.7865,17.16085,54
92.9389,17.72009,54.99107
93.0913,21.05612,54.00298
93.2437,19.98577,55
93.3961,20.04408,54
93.5485,18.64215,56.00301
93.7009,18.0627,52.01505
93.8533,19.35242,54.0018
94.0057,20.30821,54.98917
94.1581,21.16387,57
94.3105,20.87949,57.99728
94.4629,23.95403,56
94.6153,22.26151,56.99818
94.7677,27.43887,53
94.9201,31.51662,52.00003
95.0725,33.19794,55.99693
95.2249,34.70523,55
95.3773,31.17634,54.99904
95.5297,27.8463,48.00929
95.6821,27.63694,48.00549
95.8345,22.46097,52.00001
95.9869,21.7193,54.99633
96.1393,20.46001,53.99742
96.2917,19.73995,53
96.4441,17.4604,53.00368
96.5965,17.00696,55.99999
96.7489,18.16502,54.9716
96.9013,17.36172,55
97.0537,18.91211,53
97.2061,17.65971,46
97.3585,20.67668,46
97.5109,20.09333,45.99681
97.6633,20.76178,45
97.8157,22.29484,45
97.9681,24.29542,45.99814
98.1205,25.86769,42
98.2729,22.72996,44
98.4253,23.1533,44.00005
98.5777,19.85966,54.50343
98.7301,22.36651,56.97076
98.8825,23.94379,55.00001
99.0349,26.18672,56.99486
99.1873,29.94349,56.00654
99.3397,29.96649,55.99999
99.4921,32.37515,52.51292
99.6445,31.95983,56.99247
99.7969,38.32801,47.02265
99.9493,48.02169,52
100.1017,62.62758,49.00568
100.2541,56.20486,50.99621
100.4065,51.27498,56.99431
100.5589,43.73539,54
100.7113,41.44271,50.01003
100.8637,31.09266,57.00335
