#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.4396
#BOTTOM:,189.7204
DEPTH_LSF,GRMA
m,gAPI
19.1848,53.68355
19.2153,53.9786
19.2458,54.27411
19.2763,54.56916
19.3068,54.86408
19.3372,55.15891
19.3677,55.01078
19.3982,54.86242
19.4287,54.71428
19.4592,54.56622
19.4896,54.41816
19.5201,54.50893
19.5506,54.59947
19.5811,54.69006
19.6116,54.7806
19.6420,54.8712
19.6725,55.02225
19.7030,55.17292
19.7335,55.32368
19.7640,55.47435
19.7944,55.62564
19.8249,55.89632
19.8554,56.16689
19.8859,56.43757
19.9164,56.70868
19.9468,56.97852
19.9773,56.79782
20.0078,56.61719
20.0383,56.43649
20.0688,56.25549
20.0992,56.07566
20.1297,56.41286
20.1602,56.74991
20.1907,57.08711
20.2212,57.42484
20.2516,57.76168
20.2821,57.86726
20.3126,57.9728
20.3431,58.07838
20.3736,58.18413
20.4040,58.28994
20.4345,58.561
20.4650,58.83194
20.4955,59.103
20.5260,59.37448
20.5564,59.64497
20.5869,59.44462
20.6174,59.24437
20.6479,59.04362
20.6784,58.84336
20.7088,58.64284
20.7393,58.27484
20.7698,57.907
20.8003,57.53825
20.8308,57.17041
20.8612,56.80265
20.8917,56.69594
20.9222,56.58908
20.9527,56.48238
20.9832,56.37572
21.0136,56.26915
21.0441,56.3344
21.0746,56.39976
21.1051,56.46502
21.1356,56.53024
21.1660,56.59548
21.1965,56.63212
21.2270,56.66882
21.2575,56.70546
21.2880,56.74208
21.3184,56.77864
21.3489,56.63436
21.3794,56.48986
21.4099,56.34558
21.4404,56.20136
21.4708,56.0571
21.5013,55.98166
21.5318,55.90639
21.5623,55.8311
21.5928,55.75584
21.6232,55.68055
21.6537,55.6104
21.6842,55.54044
21.7147,55.47044
21.7452,55.40047
21.7756,55.32906
21.8061,54.61583
21.8366,53.90292
21.8671,53.18969
21.8976,52.47534
21.9280,51.76245
21.9585,51.23854
21.9890,50.71486
22.0195,50.19094
22.0500,49.66621
22.0804,49.14236
22.1109,48.66278
22.1414,48.18342
22.1719,47.70384
22.2024,47.22351
22.2328,46.74512
22.2633,47.06683
22.2938,47.38839
22.3243,47.71008
22.3548,48.03229
22.3852,48.35291
22.4157,47.86441
22.4462,47.37612
22.4767,46.88762
22.5072,46.39836
22.5376,45.90947
22.5681,45.09603
22.5986,44.28294
22.6291,43.46786
22.6596,42.65477
22.6900,41.84126
22.7205,40.96762
22.7510,40.09261
22.7815,39.21898
22.8120,38.34572
22.8424,37.47264
22.8729,37.25596
22.9034,37.03894
22.9339,36.82227
22.9644,36.60569
22.9948,36.38924
23.0253,36.4974
23.0558,36.60573
23.0863,36.71389
23.1168,36.82201
23.1472,36.93016
23.1777,37.01523
23.2082,37.10043
23.2387,37.1855
23.2692,37.27053
23.2996,37.35556
23.3301,37.33932
23.3606,37.32306
23.3911,37.30683
23.4216,37.2906
23.4520,37.27436
23.4825,37.22804
23.5130,37.18184
23.5435,37.13562
23.5740,37.08941
23.6044,37.04224
23.6349,36.58313
23.6654,36.12423
23.6959,35.66512
23.7264,35.20621
23.7568,34.74474
23.7873,33.52605
23.8178,32.3079
23.8483,31.08921
23.8788,29.86862
23.9092,28.64932
23.9397,27.08444
23.9702,25.52024
24.0007,23.95536
24.0312,22.38803
24.0616,20.82384
24.0921,19.69447
24.1226,18.56559
24.1531,17.43621
24.1836,16.30507
24.2140,15.17619
24.2445,14.39489
24.2750,13.61393
24.3055,12.83263
24.3360,12.05011
24.3664,11.26991
24.3969,11.34718
24.4274,11.42441
24.4579,11.50184
24.4884,11.57907
24.5188,11.65716
24.5493,12.46284
24.5798,13.26817
24.6103,14.07547
24.6408,14.8808
24.6712,15.6876
24.7017,17.65267
24.7322,19.62081
24.7627,21.58587
24.7932,23.55007
24.8236,25.51485
24.8541,27.11897
24.8846,28.72561
24.9151,30.32973
24.9456,31.93315
24.9760,33.53675
25.0065,34.33498
25.0370,35.13445
25.0675,35.93267
25.0980,36.73055
25.1284,37.52832
25.1589,37.40788
25.1894,37.28726
25.2199,37.16683
25.2504,37.04645
25.2808,36.92606
25.3113,36.96599
25.3418,37.00582
25.3723,37.04566
25.4028,37.08548
25.4332,37.1253
25.4637,37.02441
25.4942,36.92377
25.5247,36.82308
25.5552,36.72243
25.5856,36.62155
25.6161,36.52495
25.6466,36.4284
25.6771,36.3318
25.7076,36.23524
25.7380,36.13672
25.7685,35.11304
25.7990,34.08981
25.8295,33.06614
25.8600,32.04086
25.8904,31.01726
25.9209,30.0438
25.9514,29.07077
25.9819,28.09732
26.0124,27.12234
26.0428,26.14854
26.0733,24.95329
26.1038,23.75858
26.1343,22.56333
26.1648,21.36621
26.1952,20.17151
26.2257,19.36693
26.2562,18.5627
26.2867,17.75811
26.3172,16.95227
26.3476,16.14807
26.3781,15.65614
26.4086,15.16443
26.4391,14.67152
26.4696,14.17981
26.5000,13.68828
26.5305,13.5625
26.5610,13.43678
26.5915,13.31075
26.6220,13.18503
26.6524,13.0603
26.6829,14.08435
26.7134,15.10999
26.7439,16.13404
26.7744,17.15764
26.8048,18.18202
26.8353,19.64486
26.8658,21.10999
26.8963,22.57283
26.9268,24.03502
26.9572,25.49783
26.9877,26.90036
27.0182,28.30508
27.0487,29.70761
27.0792,31.10953
27.1096,32.51191
27.1401,33.57423
27.1706,34.63821
27.2011,35.70053
27.2316,36.76239
27.2620,37.82462
27.2925,38.56828
27.3230,39.31013
27.3535,40.0523
27.3840,40.79415
27.4144,41.53629
27.4449,41.99643
27.4754,42.45544
27.5059,42.91467
27.5364,43.37369
27.5668,43.83364
27.5973,44.19713
27.6278,44.56047
27.6583,44.92396
27.6888,45.2873
27.7192,45.65127
27.7497,45.87933
27.7802,46.10728
27.8107,46.33534
27.8412,46.56375
27.8716,46.79229
27.9021,47.31023
27.9326,47.82794
27.9631,48.34589
27.9936,48.86464
28.0240,49.38204
28.0545,49.53801
28.0850,49.69392
28.1155,49.84989
28.1460,50.0061
28.1764,50.16248
28.2069,50.62024
28.2374,51.07779
28.2679,51.53555
28.2984,51.99401
28.3288,52.45155
28.3593,52.7213
28.3898,52.99094
28.4203,53.26124
28.4508,53.53088
28.4812,53.8006
28.5117,54.04004
28.5422,54.27937
28.5727,54.51928
28.6032,54.75862
28.6336,54.99757
28.6641,54.67656
28.6946,54.35505
28.7251,54.03405
28.7556,53.71318
28.7860,53.39211
28.8165,52.97631
28.8470,52.55985
28.8775,52.14405
28.9080,51.72843
28.9384,51.31295
28.9689,51.48893
28.9994,51.66518
29.0299,51.84116
29.0604,52.01707
29.0908,52.19297
29.1213,52.18324
29.1518,52.17348
29.1823,52.16375
29.2128,52.15401
29.2432,52.14436
29.2737,52.46461
29.3042,52.7841
29.3347,53.10372
29.3652,53.42321
29.3956,53.74281
29.4261,53.84534
29.4566,53.94763
29.4871,54.04996
29.5176,54.15224
29.5480,54.25542
29.5785,54.69198
29.6090,55.12835
29.6395,55.5649
29.6700,56.00214
29.7004,56.4387
29.7309,56.87401
29.7614,57.30914
29.7919,57.74446
29.8224,58.18046
29.8528,58.61509
29.8833,58.62505
29.9138,58.63501
29.9443,58.64497
29.9748,58.65495
30.0052,58.66415
30.0357,58.14477
30.0662,57.62562
30.0967,57.10624
30.1272,56.58605
30.1576,56.06609
30.1881,55.09753
30.2186,54.12939
30.2491,53.16084
30.2796,52.19077
30.3100,51.2227
30.3405,50.68783
30.3710,50.1532
30.4015,49.61726
30.4320,49.08263
30.4624,48.54794
30.4929,48.19534
30.5234,47.8422
30.5539,47.4896
30.5844,47.13717
30.6148,46.78521
30.6453,47.22188
30.6758,47.65923
30.7063,48.0959
30.7368,48.53238
30.7672,48.96876
30.7977,48.97157
30.8282,48.97438
30.8587,48.97719
30.8892,48.98
30.9196,48.98289
30.9501,49.14725
30.9806,49.31187
31.0111,49.47623
31.0416,49.64051
31.0720,49.80477
31.1025,49.66398
31.1330,49.52297
31.1635,49.38218
31.1940,49.24145
31.2244,49.10067
31.2549,48.99504
31.2854,48.88967
31.3159,48.78426
31.3464,48.67889
31.3768,48.5744
31.4073,49.02678
31.4378,49.47896
31.4683,49.93133
31.4988,50.38351
31.5292,50.83677
31.5597,51.27297
31.5902,51.70898
31.6207,52.14518
31.6512,52.58207
31.6816,53.01841
31.7121,53.53818
31.7426,54.05772
31.7731,54.57749
31.8036,55.09808
31.8340,55.61776
31.8645,56.08397
31.8950,56.54998
31.9255,57.01619
31.9560,57.48314
31.9864,57.94917
32.0169,58.2902
32.0474,58.63107
32.0779,58.97208
32.1084,59.31364
32.1388,59.65458
32.1693,59.92776
32.1998,60.20083
32.2303,60.47456
32.2608,60.74763
32.2912,61.02026
32.3217,60.78189
32.3522,60.54363
32.3827,60.30479
32.4132,60.06654
32.4436,59.82817
32.4741,59.58331
32.5046,59.33807
32.5351,59.09321
32.5656,58.84846
32.5960,58.60363
32.6265,58.39083
32.6570,58.17768
32.6875,57.96488
32.7180,57.75217
32.7484,57.53934
32.7789,57.29755
32.8094,57.05537
32.8399,56.81357
32.8704,56.57188
32.9008,56.32986
32.9313,55.58957
32.9618,54.84813
32.9923,54.10784
33.0228,53.36788
33.0532,52.62768
33.0837,52.19701
33.1142,51.76567
33.1447,51.33499
33.1752,50.90451
33.2056,50.47385
33.2361,50.14017
33.2666,49.8073
33.2971,49.47428
33.3276,49.14141
33.3580,48.80993
33.3885,49.59187
33.4190,50.37347
33.4495,51.15541
33.4800,51.93702
33.5104,52.72039
33.5409,53.43319
33.5714,54.14567
33.6019,54.85846
33.6324,55.57236
33.6628,56.28495
33.6933,56.87739
33.7238,57.46956
33.7543,58.06199
33.7848,58.65535
33.8152,59.24686
33.8457,59.22862
33.8762,59.21039
33.9067,59.19215
33.9372,59.17388
33.9676,59.15546
33.9981,59.0011
34.0286,58.84681
34.0591,58.69245
34.0896,58.53785
34.1200,58.38383
34.1505,58.5228
34.1810,58.6617
34.2115,58.80094
34.2420,58.93984
34.2724,59.07874
34.3029,59.15121
34.3334,59.22366
34.3639,59.29627
34.3944,59.36872
34.4248,59.44095
34.4553,59.23158
34.4858,59.02188
34.5163,58.81251
34.5468,58.60324
34.5772,58.39372
34.6077,57.98271
34.6382,57.57105
34.6687,57.16004
34.6992,56.74921
34.7296,56.33844
34.7601,56.36274
34.7906,56.38707
34.8211,56.41137
34.8516,56.43566
34.8820,56.46002
34.9125,56.64
34.9430,56.82025
34.9735,57.00022
35.0040,57.18012
35.0344,57.36003
35.0649,57.31905
35.0954,57.27818
35.1259,57.23727
35.1564,57.1964
35.1868,57.15548
35.2173,56.87637
35.2478,56.59794
35.2783,56.3194
35.3088,56.04097
35.3392,55.76213
35.3697,55.62074
35.4002,55.47941
35.4307,55.33802
35.4612,55.19669
35.4916,55.05613
35.5221,55.54465
35.5526,56.03296
35.5831,56.52148
35.6136,57.01077
35.6440,57.49887
35.6745,57.72945
35.7050,57.95992
35.7355,58.19049
35.7660,58.42142
35.7964,58.65143
35.8269,58.49349
35.8574,58.33562
35.8879,58.17767
35.9184,58.01949
35.9488,57.86151
35.9793,57.68081
36.0098,57.50018
36.0403,57.31947
36.0708,57.13848
36.1012,56.95781
36.1317,56.81196
36.1622,56.66616
36.1927,56.52001
36.2232,56.37421
36.2536,56.22856
36.2841,56.29484
36.3146,56.36108
36.3451,56.42748
36.3756,56.49373
36.4060,56.56022
36.4365,56.89471
36.4670,57.22973
36.4975,57.56422
36.5280,57.89857
36.5584,58.23293
36.5889,58.36494
36.6194,58.49716
36.6499,58.62918
36.6804,58.76113
36.7108,58.89351
36.7413,59.73843
36.7718,60.58468
36.8023,61.42961
36.8328,62.27416
36.8632,63.11877
36.8937,63.04885
36.9242,62.97884
36.9547,62.90893
36.9852,62.83906
37.0156,62.76916
37.0461,62.74045
37.0766,62.71181
37.1071,62.68317
37.1376,62.65453
37.1680,62.62586
37.1985,61.95359
37.2290,61.28296
37.2595,60.61203
37.2900,59.9414
37.3204,59.27056
37.3509,59.35485
37.3814,59.43912
37.4119,59.52342
37.4424,59.60785
37.4728,59.69227
37.5033,59.84743
37.5338,60.00252
37.5643,60.15768
37.5948,60.31308
37.6252,60.46909
37.6557,61.17013
37.6862,61.87087
37.7167,62.57191
37.7472,63.27406
37.7776,63.97395
37.8081,63.85843
37.8386,63.74295
37.8691,63.62744
37.8996,63.51173
37.9300,63.39664
37.9605,63.62573
37.9910,63.85472
38.0215,64.08382
38.0520,64.31327
38.0824,64.54173
38.1129,64.19538
38.1434,63.84918
38.1739,63.50213
38.2044,63.15593
38.2348,62.80975
38.2653,62.65245
38.2958,62.4949
38.3263,62.3376
38.3568,62.18036
38.3872,62.02343
38.4177,62.33243
38.4482,62.64191
38.4787,62.95092
38.5092,63.25978
38.5396,63.56841
38.5701,63.26974
38.6006,62.9706
38.6311,62.67193
38.6616,62.37339
38.6920,62.07481
38.7225,61.97112
38.7530,61.86726
38.7835,61.76357
38.8140,61.65992
38.8444,61.5561
38.8749,61.03484
38.9054,60.51276
38.9359,59.99149
38.9664,59.47046
38.9968,58.9493
39.0273,59.2033
39.0578,59.45669
39.0883,59.71019
39.1188,59.96357
39.1492,60.21744
39.1797,60.40554
39.2102,60.59355
39.2407,60.78164
39.2712,60.96966
39.3016,61.1567
39.3321,60.56343
39.3626,59.97041
39.3931,59.37714
39.4236,58.78294
39.4540,58.19094
39.4845,58.36517
39.5150,58.53931
39.5455,58.71353
39.5760,58.88802
39.6064,59.06141
39.6369,58.68411
39.6674,58.30698
39.6979,57.92969
39.7284,57.5518
39.7588,57.17545
39.7893,57.48782
39.8198,57.80005
39.8503,58.11242
39.8808,58.42529
39.9112,58.73677
39.9417,58.31227
39.9722,57.88794
40.0027,57.46259
40.0332,57.03827
40.0636,56.61463
40.0941,57.02958
40.1246,57.44436
40.1551,57.86014
40.1856,58.27491
40.2160,58.68968
40.2465,58.90102
40.2770,59.11268
40.3075,59.32402
40.3380,59.53527
40.3684,59.7464
40.3989,59.68045
40.4294,59.6144
40.4599,59.54845
40.4904,59.48253
40.5208,59.41657
40.5513,59.33892
40.5818,59.26115
40.6123,59.18349
40.6428,59.10588
40.6732,59.0281
40.7037,58.64513
40.7342,58.26155
40.7647,57.87858
40.7952,57.49577
40.8256,57.11293
40.8561,57.26532
40.8866,57.41796
40.9171,57.57035
40.9476,57.72268
40.9780,57.87502
41.0085,57.49276
41.0390,57.11144
41.0695,56.72995
41.1000,56.34863
41.1304,55.967
41.1609,55.90755
41.1914,55.84813
41.2219,55.78868
41.2524,55.72926
41.2828,55.66935
41.3133,55.41581
41.3438,55.16238
41.3743,54.90884
41.4048,54.65491
41.4352,54.40223
41.4657,54.67774
41.4962,54.95314
41.5267,55.22865
41.5572,55.5046
41.5876,55.78045
41.6181,56.28084
41.6486,56.78102
41.6791,57.28141
41.7096,57.78259
41.7400,58.28241
41.7705,58.3479
41.8010,58.41336
41.8315,58.47884
41.8620,58.54443
41.8924,58.60968
41.9229,58.46896
41.9534,58.3283
41.9839,58.1873
42.0144,58.04664
42.0448,57.90626
42.0753,58.10722
42.1058,58.3081
42.1363,58.50946
42.1668,58.71034
42.1972,58.91143
42.2277,59.25686
42.2582,59.60283
42.2887,59.94826
42.3192,60.29354
42.3496,60.63878
42.3801,60.7084
42.4106,60.77812
42.4411,60.84774
42.4716,60.91733
