#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0229
#BOTTOM:,332.5597
DEPTH_WMSF,TENS,CS,ETIM
m,lbf,m/h,s
42.5425,2346.126,509.2898,1979.925
42.6949,2302.868,510.0249,1978.834
42.8473,2209.149,512.5967,1977.754
42.9997,2112.891,514.6802,1976.69
43.1521,2072.203,513.9499,1975.622
43.3045,2175.935,511.502,1974.548
43.4569,2315.539,508.8678,1973.473
43.6093,2368.743,507.0495,1972.399
43.7617,2335.995,505.4497,1971.316
43.9141,2268.313,508.3431,1970.226
44.0665,2242.25,509.9688,1969.135
44.2189,2224.77,510.9668,1968.055
44.3713,2194.402,511.5665,1966.976
44.5237,2213.518,511.0668,1965.903
44.6761,2216.922,510.4547,1964.832
44.8285,2178.099,509.8428,1963.747
44.9809,2192.098,509.0332,1962.667
45.1333,2257.229,506.9233,1961.584
45.2857,2309.213,505.968,1960.505
45.4381,2333.551,505.566,1959.431
45.5905,2326.397,503.9432,1958.345
45.7429,2216.632,506.0706,1957.244
45.8953,2085.213,509.1269,1956.149
46.0477,2004.174,510.3416,1955.075
46.2001,2169.896,506.8177,1953.997
46.3525,2389.057,498.1879,1952.909
46.5049,2444.513,493.3228,1951.807
46.6573,2394.406,495.9207,1950.689
46.8097,2230.118,497.8564,1949.578
46.9621,2118.855,499.3192,1948.482
47.1145,2113.447,496.4478,1947.38
47.2669,2206.764,493.9202,1946.273
47.4193,2291.943,493.255,1945.165
47.5717,2314.139,493.1664,1944.045
47.7241,2262.637,493.385,1942.933
47.8765,2139.602,493.9108,1941.814
48.0289,2131.887,493.1972,1940.691
48.1813,2231.394,491.3077,1939.58
48.3337,2290.369,490.9513,1938.46
48.4861,2286.011,488.3399,1937.335
48.6385,2235.093,482.8615,1936.222
48.7909,2165.458,460.1997,1935.092
48.9433,2173.914,408.0415,1933.927
49.0957,2255.193,381.6557,1932.589
49.2481,2269.835,370.968,1931.146
49.4005,2241.074,363.7794,1929.65
49.5529,2251.006,355.9897,1928.105
49.7053,2189.898,342.5256,1926.534
49.8577,2205.322,306.1497,1924.916
50.0101,2252.385,244.2816,1923.112
50.1625,2245.308,221.356,1920.769
50.3149,2178.802,219.193,1918.214
50.4673,2254.206,218.2781,1915.677
50.6197,2275.636,217.9382,1913.097
50.7721,2192.859,218.8474,1910.531
