#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.0129
#BOTTOM:,204.3508
DEPTH_LSF,GR_RAB
m,gAPI
17.0512,81.39729
17.0817,82.05896
17.1122,82.72166
17.1427,83.38334
17.1732,84.04472
17.2036,84.70592
17.2341,84.68391
17.2646,84.66187
17.2951,84.63987
17.3256,84.61787
17.3560,84.59567
17.3865,84.20932
17.4170,83.82235
17.4475,83.436
17.4780,83.0498
17.5084,82.66356
17.5389,82.57383
17.5694,82.48431
17.5999,82.39475
17.6304,82.30524
17.6608,82.21559
17.6913,81.67566
17.7218,81.13704
17.7523,80.59818
17.7828,80.05957
17.8132,79.51938
17.8437,78.85668
17.8742,78.19427
17.9047,77.53159
17.9352,76.86918
17.9656,76.20642
17.9961,76.20591
18.0266,76.2054
18.0571,76.20488
18.0876,76.20437
18.1180,76.20433
18.1485,76.47469
18.1790,76.74494
18.2095,77.01531
18.2400,77.2861
18.2704,77.55582
18.3009,77.41629
18.3314,77.27681
18.3619,77.13728
18.3924,76.99752
18.4228,76.85804
18.4533,76.75297
18.4838,76.64794
18.5143,76.54286
18.5448,76.43762
18.5752,76.33318
18.6057,76.72961
18.6362,77.12585
18.6667,77.52308
18.6972,77.91933
18.7276,78.31574
18.7581,78.70364
18.7886,79.09135
18.8191,79.48003
18.8496,79.86774
18.8800,80.25542
18.9105,80.40791
18.9410,80.56065
18.9715,80.71314
19.0020,80.86557
19.0324,81.01791
19.0629,80.98073
19.0934,80.94349
19.1239,80.9063
19.1544,80.86913
19.1848,80.83192
19.2153,80.76335
19.2458,80.69467
19.2763,80.62611
19.3068,80.55756
19.3372,80.48914
19.3677,80.72931
19.3982,80.96986
19.4287,81.21003
19.4592,81.4501
19.4896,81.69024
19.5201,81.82219
19.5506,81.95381
19.5811,82.0855
19.6116,82.21712
19.6420,82.34875
19.6725,82.14092
19.7030,81.93359
19.7335,81.72617
19.7640,81.51884
19.7944,81.31108
19.8249,81.14583
19.8554,80.98065
19.8859,80.81538
19.9164,80.64987
19.9468,80.48529
19.9773,80.68131
20.0078,80.87726
20.0383,81.07329
20.0688,81.26962
20.0992,81.46604
20.1297,81.89467
20.1602,82.32311
20.1907,82.75174
20.2212,83.18105
20.2516,83.60866
20.2821,83.38158
20.3126,83.15461
20.3431,82.92754
20.3736,82.70011
20.4040,82.4724
20.4345,81.7819
20.4650,81.0917
20.4955,80.40121
20.5260,79.70963
20.5564,79.01951
20.5869,78.64212
20.6174,78.2649
20.6479,77.88676
20.6784,77.50954
20.7088,77.13224
20.7393,76.82957
20.7698,76.52702
20.8003,76.22374
20.8308,75.9212
20.8612,75.61879
20.8917,75.61306
20.9222,75.60732
20.9527,75.60159
20.9832,75.59586
21.0136,75.59033
21.0441,75.85411
21.0746,76.11831
21.1051,76.38208
21.1356,76.64575
21.1660,76.90926
21.1965,76.71822
21.2270,76.52688
21.2575,76.33583
21.2880,76.14487
21.3184,75.95377
21.3489,75.64946
21.3794,75.34467
21.4099,75.04037
21.4404,74.73618
21.4708,74.432
21.5013,74.59471
21.5318,74.75703
21.5623,74.91942
21.5928,75.08174
21.6232,75.24419
21.6537,75.9754
21.6842,76.7048
21.7147,77.43453
21.7452,78.16395
21.7756,78.89441
21.8061,79.24956
21.8366,79.60455
21.8671,79.95968
21.8976,80.31538
21.9280,80.66924
21.9585,80.30959
21.9890,79.9501
22.0195,79.59045
22.0500,79.23024
22.0804,78.87048
22.1109,78.44162
22.1414,78.01295
22.1719,77.58409
22.2024,77.15456
22.2328,76.72579
22.2633,76.35472
22.2938,75.98381
22.3243,75.61275
22.3548,75.2411
22.3852,74.87038
22.4157,74.76817
22.4462,74.66599
22.4767,74.56377
22.5072,74.4614
22.5376,74.35959
22.5681,74.61176
22.5986,74.86381
22.6291,75.11649
22.6596,75.36855
22.6900,75.62074
22.7205,75.8922
22.7510,76.16409
22.7815,76.43555
22.8120,76.70689
22.8424,76.97785
22.8729,76.6699
22.9034,76.36146
22.9339,76.0535
22.9644,75.74568
22.9948,75.43751
23.0253,74.81169
23.0558,74.1849
23.0863,73.55908
23.1168,72.93354
23.1472,72.30784
23.1777,71.89603
23.2082,71.48357
23.2387,71.07176
23.2692,70.66013
23.2996,70.24828
23.3301,69.73823
23.3606,69.22737
23.3911,68.71731
23.4216,68.20747
23.4520,67.69735
23.4825,66.91984
23.5130,66.14422
23.5435,65.36826
23.5740,64.59264
23.6044,63.81543
23.6349,63.18548
23.6654,62.55582
23.6959,61.92588
23.7264,61.29621
23.7568,60.66532
23.7873,60.20272
23.8178,59.74031
23.8483,59.2777
23.8788,58.81437
23.9092,58.35171
23.9397,57.8584
23.9702,57.36531
