#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.0165
#BOTTOM:,756.3170
DEPTH_LSF,GR_RAB
m,gAPI
19.0665,78.8763
19.0970,78.50117
19.1274,78.12834
19.1579,77.75321
19.1884,77.62687
19.2189,77.49954
19.2494,77.37244
19.2798,77.24612
19.3103,77.11913
19.3408,77.11913
19.3713,77.11913
19.4018,77.11913
19.4322,77.11913
19.4627,77.11913
19.4932,77.11913
19.5237,77.11913
19.5542,77.11913
19.5846,77.11913
19.6151,77.11913
19.6456,77.11913
19.6761,77.11913
19.7066,77.11913
19.7370,77.11913
19.7675,77.11913
19.7980,77.1963
19.8285,77.27312
19.8590,77.35043
19.8894,77.42725
19.9199,77.50458
19.9504,77.71812
19.9809,77.93376
20.0114,78.14732
20.0418,78.36295
20.0723,78.57651
20.1028,78.83552
20.1333,79.09525
20.1638,79.35246
20.1942,79.61218
20.2247,79.86941
20.2552,80.08924
20.2857,80.30755
20.3162,80.52721
20.3466,80.74553
20.3771,80.96519
20.4076,81.00914
20.4381,81.05241
20.4686,81.09597
20.4990,81.13924
20.5295,81.18279
20.5600,80.97018
20.5905,80.75539
20.6210,80.54267
20.6514,80.32789
20.6819,80.1134
20.7124,79.85288
20.7429,79.58982
20.7734,79.32931
20.8038,79.06625
20.8343,78.80573
20.8648,78.74911
20.8953,78.6938
20.9258,78.63815
20.9562,78.58284
20.9867,78.52718
21.0172,78.72417
21.0477,78.92067
21.0782,79.11839
21.1086,79.31488
21.1391,79.51259
21.1696,79.72838
21.2001,79.9463
21.2306,80.16384
21.2610,80.38004
21.2915,80.59745
21.3220,80.66407
21.3525,80.73135
21.3830,80.79798
21.4134,80.86526
21.4439,80.93188
21.4744,80.93224
21.5049,80.93224
21.5354,80.93224
21.5658,80.93224
21.5963,80.93224
21.6268,80.80179
21.6573,80.67171
21.6878,80.5408
21.7182,80.41072
21.7487,80.27982
21.7792,79.91422
21.8097,79.5505
21.8402,79.18451
21.8706,78.82079
21.9011,78.4548
21.9316,78.03175
21.9621,77.60458
21.9926,77.18152
22.0230,76.75435
22.0535,76.33128
22.0840,76.12524
22.1145,75.92013
22.1450,75.71702
22.1754,75.51191
22.2059,75.30879
22.2364,75.43122
22.2669,75.55422
22.2974,75.67799
22.3278,75.80099
22.3583,75.92476
22.3888,76.20265
22.4193,76.47916
22.4498,76.75739
22.4802,77.03389
22.5107,77.31213
22.5412,77.63357
22.5717,77.95818
22.6022,78.27966
22.6326,78.60426
22.6631,78.92846
22.6936,79.34927
22.7241,79.77419
22.7546,80.195
22.7850,80.61992
22.8155,81.04074
22.8460,81.60563
22.8765,82.16768
22.9070,82.73323
22.9374,83.29528
22.9679,83.86082
22.9984,84.27683
23.0289,84.68982
23.0594,85.10538
23.0898,85.51837
23.1203,85.93393
23.1508,85.70541
23.1813,85.47397
23.2118,85.24294
23.2422,85.01334
23.2727,84.78214
23.3032,84.35468
23.3337,83.92303
23.3642,83.49557
23.3946,83.06393
23.4251,82.63645
23.4556,82.84094
23.4861,83.04753
23.5166,83.25542
23.5470,83.46366
23.5775,83.66989
23.6080,84.45024
23.6385,85.22776
23.6690,86.01012
23.6994,86.78764
23.7299,87.56998
23.7604,87.76539
23.7909,87.95861
23.8214,88.15303
23.8518,88.34625
23.8823,88.54048
23.9128,87.70213
23.9433,86.85555
23.9738,86.01717
24.0042,85.17062
24.0347,84.33222
24.0652,83.66273
24.0957,82.9931
24.1262,82.32996
24.1567,81.66033
24.1871,80.99718
24.2176,80.78461
24.2481,80.57522
24.2786,80.36452
24.3091,80.15513
24.3395,79.94443
24.3700,80.08503
24.4005,80.22556
24.4310,80.36695
24.4615,80.50748
24.4919,80.64888
24.5224,81.50059
24.5529,82.36094
24.5834,83.21297
24.6139,84.0733
24.6443,84.93234
24.6748,85.89326
24.7053,86.86361
24.7358,87.82455
24.7663,88.79488
24.7967,89.75583
24.8272,90.27544
24.8577,90.78973
24.8882,91.30722
24.9187,91.82152
24.9491,92.339
24.9796,92.34727
25.0101,92.35403
25.0406,92.36082
25.0711,92.36757
25.1015,92.37437
25.1320,91.8218
25.1625,91.26324
25.1930,90.70563
25.2235,90.15149
25.2539,89.59368
25.2844,88.77866
25.3149,87.95564
25.3454,87.14061
25.3759,86.31762
25.4063,85.50256
25.4368,85.00108
25.4673,84.50441
25.4978,84.00464
25.5283,83.50399
25.5587,83.00819
25.5892,83.14666
25.6197,83.28648
25.6502,83.42718
25.6807,83.56701
25.7111,83.70771
25.7416,84.21207
25.7721,84.71391
25.8026,85.21886
25.8331,85.72071
25.8635,86.22565
25.8940,86.59032
25.9245,86.95856
25.9550,87.32323
25.9855,87.69147
26.0159,88.05616
26.0464,88.01269
26.0769,87.96669
26.1074,87.92113
26.1379,87.87513
26.1683,87.82957
26.1988,87.52271
26.2293,87.21669
26.2598,86.90875
26.2903,86.60273
26.3207,86.29481
26.3512,85.96695
26.3817,85.64107
26.4122,85.31316
26.4427,84.98729
26.4731,84.65939
26.5036,84.34549
26.5341,84.02852
26.5646,83.71462
26.5951,83.39765
26.6255,83.08125
26.6560,82.77955
26.6865,82.47489
26.7170,82.17319
26.7475,81.86853
26.7779,81.56682
26.8084,81.26028
26.8389,80.95562
26.8694,80.64906
26.8999,80.34439
26.9303,80.03784
26.9608,79.85686
26.9913,79.67738
27.0218,79.49676
27.0523,79.31727
