#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,33.3504
#BOTTOM:,96.1393
DEPTH_LSF,P16B,P16H,P16L,P22B,P22H,P22L,P28B,P28H,P28L,P34B,P34H,P34L,P40B,P40H,P40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
41.1228,0.9978309,0.9658076,0.9978313,1.122355,1.075151,1.129369,1.190362,1.14945,1.200629,1.253644,1.243308,1.257221,1.403351,1.435431,1.383401
41.2752,1.033372,0.9622794,1.036013,1.156659,1.139518,1.159884,1.239373,1.259934,1.233073,1.323665,1.388051,1.296473,1.527106,1.672216,1.421379
41.4276,0.7644091,0.6415266,0.7643849,0.9367356,0.7672527,0.9367225,1.038609,0.8613589,1.047388,1.108909,0.9755214,1.128539,1.278925,1.223571,1.302944
41.5800,0.5292413,0.3712216,0.5292294,0.6658006,0.4659646,0.6657878,0.7801054,0.5424583,0.7800969,0.8607409,0.6136355,0.8607365,0.9782664,0.7555655,0.9782718
41.7324,0.5938343,0.3933046,0.5938338,0.7787874,0.5365881,0.7787863,0.9153275,0.6503943,0.9153262,1.006032,0.7653447,1.007967,1.166619,1.066759,1.190046
41.8848,0.5057405,0.3131036,0.5057366,0.6388711,0.397543,0.6388686,0.7542584,0.4736117,0.7542563,0.8362706,0.5433331,0.8362682,0.9536608,0.6682138,0.9536649
42.0372,0.6058289,0.4282486,0.6058216,0.7267198,0.5128669,0.7267153,0.840928,0.603128,0.8409243,0.9346729,0.6859503,0.9346685,1.028036,0.7778358,1.037901
42.1896,0.5832165,0.3556799,0.5832163,0.69015,0.4334708,0.6901496,0.8345601,0.5622223,0.8345601,0.9711003,0.7077397,0.9711,1.040072,0.8109758,1.052857
42.3420,0.5527282,0.3513477,0.5527282,0.6506865,0.4210382,0.6506864,0.7722808,0.5288432,0.7722806,0.8787318,0.6404481,0.8787317,0.9511194,0.7157457,0.95112
42.4944,0.592255,0.3735,0.5922549,0.7118835,0.4670055,0.7118832,0.8551363,0.6005769,0.8551359,0.9856363,0.7399633,0.9856384,1.065256,0.8581188,1.084331
42.6468,0.6098398,0.3921974,0.6098387,0.7497873,0.5170288,0.7497857,0.8999739,0.6656897,0.8999715,1.025938,0.8080202,1.033497,1.137843,0.9827964,1.169477
42.7992,0.5666876,0.3640193,0.5666868,0.6909898,0.4530503,0.6909885,0.8242134,0.5700474,0.8242116,0.9452022,0.6980523,0.9452042,1.052281,0.8384772,1.067838
42.9516,0.5823739,0.3766516,0.5823739,0.7102239,0.475253,0.7102239,0.8494309,0.603395,0.8494307,0.9790056,0.7418169,0.9790055,1.085694,0.8969483,1.108716
43.1040,0.4136455,0.3259528,0.4136451,0.4712382,0.3256429,0.471238,0.5369987,0.3475856,0.5369984,0.5913552,0.3879845,0.5913547,0.6298993,0.4229048,0.6298993
43.2564,0.4599877,0.3227326,0.4599865,0.5057442,0.3460806,0.5057442,0.5823885,0.3962078,0.5823884,0.6498349,0.4374452,0.6498334,0.662265,0.4323888,0.662265
43.4088,0.4181788,0.3268765,0.4181775,0.5071982,0.3158259,0.5071981,0.5994164,0.3389743,0.5994162,0.7094299,0.3878587,0.7094282,0.872965,0.4230881,0.872965
43.5612,0.5191548,0.3499524,0.5191515,0.6399667,0.4103465,0.6399621,0.7506692,0.4827505,0.7506641,0.8651099,0.5931152,0.8651053,1.040548,0.7864423,1.055481
43.7136,0.4996779,0.4134389,0.4996771,0.5634298,0.4590802,0.563429,0.643534,0.5312513,0.6435332,0.716164,0.5888731,0.7161632,0.7663132,0.5976831,0.7663132
43.8660,0.6048977,0.5822508,0.6048933,0.6751558,0.6425042,0.6751521,0.7613367,0.68842,0.7613339,0.8401638,0.7011174,0.840162,0.8954356,0.7022784,0.8954356
44.0184,0.5026112,0.3498299,0.5026039,0.575777,0.3885386,0.575771,0.6683936,0.4554949,0.6683889,0.7619652,0.5432262,0.7619623,0.846706,0.6256618,0.846706
44.1708,0.6046793,0.7227369,0.6046754,0.6767283,0.756258,0.6767249,0.7481634,0.7984903,0.7481615,0.8158404,0.7977458,0.8158396,0.8891873,0.7482566,0.8891873
44.3232,0.7960608,0.6922014,0.7960597,0.8669848,0.782012,0.8669839,0.9466915,0.8669711,0.9466906,1.015963,0.9441007,1.017222,1.068203,1.038309,1.070469
44.4756,0.7002456,0.5427946,0.7002143,0.7473908,0.5739186,0.747357,0.8441845,0.6186709,0.8441588,0.9265816,0.6610478,0.9265639,0.9251813,0.6866396,0.925177
44.6280,1.132314,1.120595,1.134125,1.200396,1.221189,1.195342,1.233485,1.277045,1.221114,1.236722,1.287408,1.222238,1.250856,1.308528,1.233305
44.7804,1.093634,0.9933205,1.105458,1.135053,1.064708,1.147189,1.175036,1.150473,1.180441,1.210005,1.228994,1.205104,1.242548,1.288965,1.228778
44.9328,1.056537,0.9640439,1.062727,1.10595,1.027783,1.11623,1.151045,1.09664,1.161526,1.177118,1.141747,1.185155,1.187508,1.158404,1.194537
45.0852,1.039418,0.9434556,1.043815,1.097674,1.041132,1.104255,1.140171,1.094756,1.148064,1.160537,1.118923,1.168999,1.18152,1.171383,1.183803
45.2376,1.066101,0.9861318,1.072337,1.125205,1.080819,1.131953,1.165879,1.145645,1.170025,1.184227,1.178707,1.185484,1.204362,1.222531,1.199825
45.3900,1.069381,0.9323324,1.08155,1.123922,1.008251,1.143266,1.163268,1.070651,1.184178,1.183192,1.108242,1.202187,1.200931,1.139363,1.218106
45.5424,1.09367,0.9399832,1.11331,1.141228,1.037673,1.161117,1.18305,1.104573,1.203044,1.209658,1.154742,1.225662,1.234029,1.235407,1.233609
45.6948,1.068501,0.9822895,1.075546,1.110206,1.058923,1.117001,1.146221,1.121004,1.150696,1.1633,1.143791,1.167218,1.16884,1.147536,1.173305
45.8472,1.09701,1.011781,1.107246,1.153328,1.106888,1.162323,1.191711,1.167136,1.197766,1.212626,1.195881,1.217271,1.240409,1.241416,1.240087
45.9996,1.042038,0.9071295,1.048983,1.096727,0.9804062,1.111289,1.138049,1.035608,1.157144,1.159284,1.068543,1.179073,1.1763,1.103912,1.193684
46.1520,1.09742,1.022293,1.106359,1.148473,1.096377,1.158266,1.187211,1.159963,1.193756,1.208139,1.199985,1.210308,1.225813,1.233398,1.223627
46.3044,1.082455,0.9982961,1.090867,1.139031,1.086607,1.148149,1.182077,1.152693,1.188921,1.204465,1.190977,1.208007,1.224446,1.234777,1.221506
46.4568,1.058776,0.9463871,1.066825,1.117606,1.03941,1.129209,1.160172,1.10663,1.171235,1.180033,1.138951,1.189647,1.198227,1.172111,1.20496
46.6092,1.048714,0.9492927,1.054437,1.103451,1.032092,1.112494,1.142939,1.096954,1.151123,1.165348,1.133818,1.171891,1.189231,1.167896,1.194379
46.7616,1.014576,0.89357,1.01662,1.066056,0.9544923,1.075115,1.103848,1.004259,1.117049,1.137442,1.049552,1.153362,1.183925,1.110576,1.202557
46.9140,1.015654,0.9050565,1.01764,1.077104,0.9758257,1.08672,1.122425,1.040295,1.135272,1.156004,1.094233,1.168524,1.196954,1.150945,1.20912
