#HOLE:,U1517A,,
#EXPEDITION:,372,,
#TOP:,0.4396,,
#BOTTOM:,205.4176,,
DEPTH_LSF,DHAP,DHAT,ECD
m,psi,degC,g/cm3
35.9488,1139.001834,11,1.601379
36.1012,1137.00234,11,1.563267
36.2536,1141.002053,11,1.625878
36.406,1143.002127,11,1.652348
36.5584,1142.00209,11,1.628555
36.7108,1136.002303,11,1.521423
36.8632,1141.001618,11,1.599619
37.0156,1139.002269,11,1.560001
37.168,1142.001655,11,1.605483
37.3204,1139.002269,11,1.548852
37.4728,1140.001871,11,1.560814
37.6252,1139.002704,11,1.539874
37.7776,1143.001692,11,1.59883
37.93,1140.002306,11,1.545239
38.0824,1142.0018,11,1.570763
38.2348,1138.002232,11,1.499991
38.3872,1143.002127,11,1.576135
38.5396,1139.002124,11,1.506611
38.692,1143.001837,11,1.564415
38.8444,1142.00209,11,1.542825
38.9968,1142.00209,11,1.537227
39.1492,1140.002596,11,1.502264
39.3016,1142.002235,11,1.527802
39.454,1143.001837,11,1.539051
39.6064,1142.002235,11,1.516557
39.7588,1143.002127,11,1.527175
39.9112,1143.002127,11,1.522067
40.0636,1143.002127,11,1.517254
40.216,1144.002164,11,1.526817
40.3684,1143.002127,11,1.506016
40.5208,1145.002056,11,1.532841
40.6732,1141.002343,11,1.464969
40.8256,1145.001766,11,1.522276
40.978,1145.002056,11,1.516781
41.1304,1145.002346,11,1.511845
41.2828,1146.002383,11,1.522322
41.4352,1147.00155,11,1.532921
41.5876,1144.002309,11,1.481705
41.74,1145.001911,11,1.492004
41.8924,1143.002417,11,1.457351
42.0448,1147.00213,11,1.512438
42.1972,1147.00213,11,1.50736
42.3496,1146.002093,11,1.487997
42.502,1143.002127,11,1.437883
42.6544,1148.001732,11,1.507574
42.8068,1148.002022,11,1.502943
42.9592,1145.002491,11,1.453999
43.1116,1149.001624,11,1.508718
43.264,1147.00213,11,1.474635
43.4164,1147.00242,11,1.469199
43.5688,1149.001769,11,1.493541
43.7212,1147.002275,11,1.460176
