#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,749.0018
DEPTH_LSF,A16B,A16H,A16L,A22B,A22H,A22L,A28B,A28H,A28L,A34B,A34H,A34L,A40B,A40H,A40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
9.2519,0.9594314,0.9553589,0.9594314,0.9706278,0.9617226,0.9706278,0.9731882,0.9651296,0.9731882,0.9725215,0.9691754,0.9725215,0.9744443,0.976198,0.9744443
9.4043,0.9728988,0.9597145,0.9728988,0.9783617,0.9675394,0.9783617,0.9814766,0.971619,0.9814766,0.9851417,0.9745359,0.9851417,0.9902453,0.9793639,0.9902453
9.5567,0.9793172,0.9597822,0.9793172,0.9910799,0.9725721,0.9910799,0.9948061,0.979317,0.994806,0.9961179,0.9837124,0.9961179,1.000195,0.9908469,1.000197
9.7091,0.9777805,0.9642501,0.9777805,0.9815339,0.9715368,0.9815339,0.981106,0.9740548,0.9811059,0.9834977,0.9752164,0.9834977,0.9910966,0.9791085,0.9910966
9.8615,0.954267,0.9555768,0.954267,0.9651926,0.9617119,0.9651925,0.9671133,0.9646394,0.9671132,0.9615467,0.9646827,0.9615467,0.9554141,0.9645504,0.9554141
10.0139,0.9681919,0.9563732,0.9681917,0.978108,0.964035,0.9781079,0.9832542,0.9699337,0.9832541,0.9868984,0.9736164,0.9868983,0.9915494,0.9762933,0.9915494
10.1663,1.041513,1.046603,1.041289,1.041299,1.041909,1.04127,1.043243,1.045301,1.043147,1.044198,1.048124,1.044014,1.042527,1.043393,1.042487
10.3187,0.9682657,0.9637625,0.9682634,0.9826127,0.9722195,0.9826113,0.9888365,0.9760653,0.9888352,0.9910738,0.9801484,0.9910725,0.9943479,0.9883196,0.9943479
10.4711,1.002253,0.9643275,1.002342,1.011811,0.9780968,1.012228,1.020148,0.988424,1.020822,1.023323,0.9927962,1.024076,1.021462,0.9938714,1.022086
10.6235,1.042824,1.081329,1.04117,1.055964,1.088213,1.054119,1.056063,1.088723,1.054192,1.049401,1.090397,1.047363,1.045103,1.09812,1.042736
10.7759,1.044875,1.038989,1.045153,1.057993,1.039815,1.059136,1.067418,1.043145,1.069223,1.072659,1.048355,1.074619,1.074599,1.052781,1.076404
10.9283,1.036658,1.030338,1.0369,1.049498,1.034155,1.050311,1.0585,1.042105,1.059538,1.062597,1.049045,1.063516,1.062993,1.050692,1.063832
11.0807,1.044785,1.037794,1.045116,1.053291,1.040979,1.053994,1.056157,1.041978,1.057015,1.062805,1.039647,1.064399,1.074665,1.035865,1.077945
11.2331,1.052715,1.080833,1.051198,1.046563,1.079357,1.045017,1.054657,1.081557,1.053147,1.061131,1.084834,1.059628,1.05612,1.085674,1.05442
11.3855,1.044467,1.083526,1.042724,1.056634,1.09154,1.054618,1.058737,1.086227,1.057073,1.054442,1.079165,1.053057,1.050635,1.081594,1.049038
11.5379,1.044467,1.083526,1.042724,1.056634,1.09154,1.054618,1.058737,1.086227,1.057073,1.054442,1.079165,1.053057,1.050635,1.081594,1.049038
11.6903,1.040809,1.037668,1.040943,1.051267,1.040998,1.051828,1.06552,1.047669,1.066798,1.07552,1.052784,1.077429,1.076745,1.052901,1.078786
11.8427,1.048283,1.056825,1.047853,1.065833,1.058539,1.066352,1.072667,1.061769,1.073532,1.075563,1.064124,1.07651,1.079939,1.063954,1.081354
11.9951,1.031306,1.019987,1.031677,1.044558,1.034157,1.045049,1.057453,1.041569,1.058439,1.058729,1.043792,1.059677,1.048501,1.045984,1.04863
12.1475,1.047906,1.033097,1.048663,1.047621,1.037544,1.04813,1.053552,1.043422,1.054132,1.064003,1.045994,1.06526,1.072694,1.043654,1.075052
12.2999,1.051423,1.035192,1.052319,1.06337,1.035891,1.06529,1.072406,1.041956,1.07487,1.078036,1.046828,1.080779,1.080461,1.04546,1.083656
12.4523,1.071157,1.058198,1.072165,1.08221,1.071096,1.083218,1.092577,1.078099,1.09408,1.100435,1.080815,1.10268,1.104577,1.083591,1.107094
12.6047,1.085308,1.066658,1.087087,1.096551,1.070676,1.099407,1.10075,1.074943,1.103737,1.100692,1.08162,1.102879,1.100448,1.089709,1.101663
12.7571,1.075019,1.061008,1.076174,1.088841,1.069484,1.090773,1.098326,1.07587,1.100845,1.10268,1.081426,1.105178,1.103501,1.08712,1.105432
12.9095,1.073709,1.052692,1.075423,1.086732,1.069185,1.088434,1.089621,1.078056,1.090776,1.087893,1.08084,1.088578,1.088081,1.083308,1.088545
13.0619,1.09216,1.079557,1.093458,1.106282,1.09763,1.107322,1.116682,1.113787,1.117065,1.11995,1.12486,1.119284,1.11762,1.131009,1.115865
13.2143,1.128195,1.110372,1.130879,1.134198,1.12399,1.135802,1.141523,1.130405,1.143384,1.145739,1.130793,1.148343,1.145249,1.130725,1.147767
13.3667,1.151724,1.157523,1.150695,1.150458,1.153476,1.149925,1.151902,1.152593,1.151779,1.147445,1.145727,1.147743,1.136183,1.130803,1.137038
13.5191,1.097497,1.098581,1.097378,1.109358,1.115163,1.10865,1.115561,1.123699,1.114508,1.117485,1.125236,1.116464,1.118195,1.125952,1.117166
13.6715,1.137833,1.119587,1.140823,1.154042,1.141783,1.156313,1.164836,1.161672,1.165463,1.166973,1.171933,1.165986,1.163307,1.173,1.161441
13.8239,1.179276,1.160484,1.183499,1.180927,1.168404,1.183745,1.180728,1.173166,1.182416,1.180796,1.175566,1.181959,1.182103,1.177625,1.183107
13.9763,1.119737,1.111702,1.120841,1.126765,1.130595,1.126212,1.132874,1.139025,1.131939,1.137046,1.155346,1.13421,1.139409,1.187313,1.132117
14.1287,1.144217,1.134691,1.145843,1.155172,1.144489,1.157164,1.162565,1.152485,1.16455,1.166095,1.155032,1.168335,1.166964,1.152977,1.169829
14.2811,1.132575,1.127773,1.133313,1.144202,1.137316,1.145374,1.148658,1.145,1.1493,1.149339,1.148279,1.149525,1.150254,1.148,1.150654
14.4335,1.189075,1.192466,1.188288,1.178677,1.182775,1.177791,1.181356,1.188835,1.179716,1.180941,1.190905,1.178771,1.16894,1.175484,1.167622
14.5859,1.149034,1.104458,1.157358,1.156709,1.121064,1.163685,1.166877,1.152616,1.169794,1.173923,1.173098,1.174097,1.17398,1.166704,1.175529
14.7383,1.129638,1.110326,1.13259,1.142819,1.137068,1.143785,1.14988,1.153325,1.149275,1.151305,1.156416,1.1504,1.150776,1.154441,1.150128
14.8907,1.143458,1.103526,1.150535,1.152786,1.132723,1.156508,1.165366,1.161468,1.166143,1.173618,1.177832,1.172738,1.173697,1.179988,1.172386
15.0431,1.165442,1.135577,1.171629,1.169559,1.149904,1.17369,1.171843,1.164838,1.173312,1.173146,1.174891,1.172782,1.174199,1.178113,1.173378
15.1955,1.095961,1.068879,1.098934,1.112138,1.098346,1.113911,1.122988,1.114499,1.124192,1.130975,1.124939,1.131892,1.138237,1.139763,1.137992
15.3479,1.123928,1.077942,1.130851,1.133648,1.100424,1.139013,1.142755,1.118394,1.146952,1.150267,1.143885,1.151406,1.1555,1.178976,1.151315
