#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,84.3753
#BOTTOM:,332.3301
DEPTH_WMSF,RHOM,DRH,PEFL,NRHB
m,g/cm3,g/cm3,barns/e-,g/cm3
119.8845,2.14487,0.02077113,3.362772,2.14487
120.0369,2.167236,0.04609994,3.365682,2.167236
120.1893,2.196152,0.07098105,3.356821,2.196152
120.3417,2.183839,0.05804942,3.287034,2.183839
120.4941,2.186564,0.05909894,3.214244,2.186564
120.6465,2.1939,0.06098448,3.131641,2.1939
120.7989,2.18539,0.04097427,3.191346,2.18539
120.9513,2.175242,0.02306833,3.217954,2.175242
121.1037,2.173119,0.02246811,3.097436,2.173119
121.2561,2.172626,0.0239714,3.046897,2.172626
121.4085,2.16741,0.01908594,3.152207,2.16741
121.5609,2.168736,0.017068,3.30719,2.168736
121.7133,2.161962,0.008908189,3.499468,2.161962
121.8657,2.16069,0.007653608,3.472875,2.157011
122.0181,2.161978,0.03766056,3.306517,2.161907
122.1705,2.104829,0.02528062,3.052461,2.104829
122.3229,2.1177,0.02986043,2.798689,2.1177
122.4753,2.189572,0.0493284,2.68627,2.189572
122.6277,2.289773,0.07054276,2.760412,2.289773
122.7801,2.265195,0.02355386,2.848038,2.265195
122.9325,2.246975,0.004868306,2.903869,2.323788
123.0849,2.235208,-0.004733496,2.858812,2.242369
123.2373,2.242194,-0.003344436,3.044073,2.208814
123.3897,2.21844,0.0238732,3.051146,2.214611
123.5421,2.190991,0.04205223,2.951667,2.190991
123.6945,2.17443,0.0456405,2.771813,2.17443
123.8469,2.225527,0.06403911,2.771253,2.225527
123.9993,2.269,0.07822593,2.942718,2.269
124.1517,2.251989,0.05002501,3.001623,2.251989
124.3041,2.242107,0.02549126,3.124645,2.242107
124.4565,2.256182,0.02712902,3.162298,2.256182
124.6089,2.256515,0.03107,3.132091,2.256515
124.7613,2.233854,0.02696273,2.95048,2.233854
124.9137,2.219388,0.02231543,2.862562,2.219388
125.0661,2.240455,0.03664583,2.892159,2.240455
125.2185,2.268992,0.0450275,2.939237,2.268992
125.3709,2.293123,0.04227631,2.986222,2.293123
125.5233,2.310376,0.03807853,3.038628,2.310376
125.6757,2.320616,0.03388423,3.179957,2.320616
125.8281,2.315948,0.03611615,3.36047,2.315948
125.9805,2.301311,0.04003092,3.369406,2.301311
126.1329,2.281418,0.03377772,3.32668,2.281418
126.2853,2.295037,0.03682978,3.501977,2.295037
126.4377,2.325624,0.0482397,3.73078,2.325624
126.5901,2.329351,0.04614285,3.852248,2.329351
126.7425,2.302654,0.03377582,3.703207,2.302654
126.8949,2.287503,0.03036616,3.532955,2.287503
127.0473,2.290823,0.03643683,3.458756,2.290823
127.1997,2.297741,0.04005853,3.3823,2.297741
127.3521,2.29455,0.03198591,3.229573,2.29455
127.5045,2.293163,0.0350808,3.166497,2.293163
127.6569,2.291371,0.04490449,3.176434,2.291371
127.8093,2.283068,0.04755892,3.186267,2.283068
127.9617,2.289119,0.0458247,3.155254,2.289119
128.1141,2.302493,0.04704684,3.116865,2.302493
128.2665,2.289746,0.03300938,3.070965,2.294657
128.4189,2.268878,0.01586929,3.048576,2.261154
128.5713,2.266201,0.01577285,3.036416,2.273362
128.7237,2.285761,0.03095928,3.11974,2.297292
128.8761,2.294555,0.03788533,3.156536,2.294555
129.0285,2.29919,0.03755721,3.181041,2.29919
129.1809,2.302789,0.03722621,3.233025,2.302789
129.3333,2.294082,0.03044606,3.274399,2.294082
129.4857,2.286863,0.02264535,3.222758,2.298263
129.6381,2.295792,0.02269647,3.180761,2.306608
129.7905,2.317301,0.0293458,3.241228,2.317329
129.9429,2.338689,0.041515,3.283656,2.338689
130.0953,2.356118,0.05530424,3.242417,2.356118
130.2477,2.365358,0.06414721,3.150993,2.365358
130.4001,2.376035,0.07335067,3.141044,2.376035
130.5525,2.380132,0.08137456,3.220388,2.380132
130.7049,2.345868,0.09269292,3.164834,2.345868
130.8573,2.24467,0.09438724,2.965052,2.24467
131.0097,2.150011,0.07490677,2.792614,2.150011
131.1621,2.164863,0.06790545,2.66095,2.164863
131.3145,2.270463,0.08560259,2.724585,2.270463
131.4669,2.352389,0.08288576,2.87011,2.352389
131.6193,2.302861,0.02542876,3.096777,2.299327
131.7717,2.290257,0.02267199,3.336117,2.284554
131.9241,2.300943,0.07330059,3.355778,2.300943
132.0765,2.28535,0.09193751,3.210941,2.28535
132.2289,2.286297,0.1013923,3.194294,2.286297
132.3813,2.355886,0.1425654,3.402297,2.355886
132.5337,2.391705,0.1550451,3.686046,2.391705
132.6861,2.354205,0.1063523,3.617015,2.354205
132.8385,2.325851,0.08301544,3.405695,2.325851
132.9909,2.329061,0.09828518,3.401902,2.329061
133.1433,2.314724,0.09426583,3.460282,2.314724
133.2957,2.289299,0.0795892,3.567148,2.289299
133.4481,2.310938,0.1020196,3.504007,2.310938
133.6005,2.337948,0.1201133,3.345455,2.337948
133.7529,2.352202,0.1216687,3.255924,2.352202
133.9053,2.363862,0.124213,3.215226,2.363862
134.0577,2.351247,0.1104438,3.198021,2.351247
134.2101,2.321832,0.07552939,3.180007,2.321832
134.3625,2.335649,0.06740928,3.229879,2.335649
134.5149,2.336319,0.05731076,3.284467,2.336319
134.6673,2.327145,0.03739198,3.320025,2.327145
134.8197,2.314886,0.03721521,3.208699,2.314886
134.9721,2.328585,0.05051335,3.135452,2.328585
135.1245,2.334612,0.05175286,2.947555,2.334612
135.2769,2.345156,0.04680505,2.845778,2.345156
135.4293,2.353774,0.04898229,3.080166,2.353774
135.5817,2.344898,0.05037293,3.302398,2.344898
135.7341,2.327491,0.05963222,3.382711,2.327491
135.8865,2.304204,0.0788569,3.235748,2.304204
136.0389,2.30115,0.1232153,3.313517,2.30115
136.1913,2.29066,0.1685821,3.249673,2.29066
136.3437,2.286157,0.1947608,3.277055,2.286157
136.4961,2.290636,0.207401,3.133731,2.290636
136.6485,2.332736,0.2108694,3.24144,2.332736
136.8009,2.336554,0.1667978,3.174715,2.336554
136.9533,2.367901,0.149574,2.970672,2.367901
137.1057,2.397953,0.1557508,2.777203,2.397953
137.2581,2.400309,0.1530572,2.770858,2.400309
137.4105,2.418806,0.1673338,2.991768,2.418806
137.5629,2.423879,0.1729901,3.204557,2.423879
137.7153,2.418032,0.145439,3.384587,2.418032
137.8677,2.401341,0.1075914,3.349511,2.401341
138.0201,2.384556,0.0862493,3.446229,2.384556
138.1725,2.343347,0.06436538,3.505798,2.343347
138.3249,2.304798,0.04559653,3.453233,2.304798
138.4773,2.30777,0.04969993,3.401128,2.30777
138.6297,2.315086,0.05127564,3.21569,2.315086
138.7821,2.294479,0.04349072,3.190987,2.294479
138.9345,2.260726,0.0397412,3.015584,2.260726
139.0869,2.253721,0.03417851,2.990234,2.253721
139.2393,2.26366,0.03523209,3.160197,2.26366
139.3917,2.322941,0.08316856,3.17216,2.322941
139.5441,2.320109,0.07796622,3.156826,2.320109
139.6965,2.322297,0.0597992,3.059118,2.322297
139.8489,2.369721,0.0688229,3.151719,2.369721
140.0013,2.406857,0.08009542,3.328123,2.406857
140.1537,2.371406,0.04638279,3.456949,2.371406
140.3061,2.351538,0.04215548,3.580562,2.351538
140.4585,2.328132,0.03111953,3.498909,2.328132
140.6109,2.316334,0.02498511,3.461265,2.316334
140.7633,2.31937,0.03537829,3.549262,2.31937
140.9157,2.309743,0.05705902,3.481366,2.309743
141.0681,2.282042,0.0536553,3.375721,2.282042
141.2205,2.301831,0.06605724,3.402591,2.301831
141.3729,2.354388,0.1030974,3.612481,2.354388
141.5253,2.394773,0.1382331,3.705859,2.394773
141.6777,2.362594,0.1322701,3.451259,2.362594
141.8301,2.359098,0.1505301,3.295876,2.359098
141.9825,2.359472,0.1614533,3.31321,2.359472
142.1349,2.362383,0.1595468,3.33652,2.362383
142.2873,2.354235,0.1351436,3.191422,2.354235
142.4397,2.348933,0.1316082,3.117188,2.348933
142.5921,2.334354,0.1197044,3.153181,2.334354
142.7445,2.313334,0.1121389,3.33781,2.313334
142.8969,2.312027,0.1040753,3.313617,2.312027
143.0493,2.319136,0.09595633,3.275928,2.319136
143.2017,2.30697,0.07084756,3.289618,2.30697
143.3541,2.302575,0.0603712,3.379085,2.302575
143.5065,2.291444,0.05276382,3.533324,2.291444
143.6589,2.2917,0.05609237,3.643446,2.2917
143.8113,2.305116,0.08941322,3.436891,2.305116
143.9637,2.279341,0.1059337,3.19361,2.279341
144.1161,2.247492,0.1376073,3.12391,2.247492
144.2685,2.289684,0.2419571,3.204243,2.289684
144.4209,2.368964,0.3683942,3.281512,2.368964
144.5733,2.411106,0.4372577,3.224678,2.411106
144.7257,2.458298,0.4702129,3.152124,2.458298
144.8781,2.479349,0.4441651,3.164682,2.479349
145.0305,2.436966,0.3378197,3.27102,2.436966
145.1829,2.364878,0.2170776,3.420065,2.364878
145.3353,2.273297,0.1124521,3.542259,2.273297
145.4877,2.233596,0.06822302,3.537719,2.233596
145.6401,2.218687,0.05407758,3.514434,2.218687
145.7925,2.216017,0.05701494,3.510512,2.216017
145.9449,2.211463,0.07460512,3.323176,2.211463
146.0973,2.192467,0.07839345,3.187724,2.192467
146.2497,2.183892,0.07326271,3.074178,2.183892
146.4021,2.216556,0.07301187,3.285376,2.216556
146.5545,2.245692,0.06530355,3.479831,2.245692
146.7069,2.233067,0.02980571,3.534464,2.246414
146.8593,2.203081,0.003065322,3.321491,2.264277
147.0117,2.19331,0.0042965,3.172673,2.279479
147.1641,2.185922,0.004202705,3.189665,2.191587
147.3165,2.18724,0.007574103,3.198214,2.001185
147.4689,2.20375,0.01175763,3.353667,2.208693
147.6213,2.220404,0.01640556,3.340084,2.225649
147.7737,2.217872,0.007648987,3.500731,2.251513
147.9261,2.189277,0.005602968,3.289024,2.224141
148.0785,2.153563,0.005488351,3.009543,2.169292
148.2309,2.123565,0.003285527,2.891341,2.115115
148.3833,2.117645,0.01011666,2.932603,2.117645
148.5357,2.123518,0.01874584,3.274587,2.123518
148.6881,2.097504,0.0224652,3.394234,2.097504
148.8405,2.069545,0.05163315,3.500309,2.069545
148.9929,2.04978,0.07405888,3.325347,2.04978
149.1453,2.044999,0.07816653,3.069553,2.044999
149.2977,2.073923,0.08310795,2.965355,2.073923
149.4501,2.086625,0.07622226,2.908003,2.086625
149.6025,2.044843,0.0358575,3.109685,2.044843
149.7549,2.017377,0.01379212,3.118708,2.017377
149.9073,2.006237,0.01013654,3.279486,2.006237
150.0597,2.007139,0.01143913,3.255242,2.007139
150.2121,2.035023,0.02122369,3.233501,2.035023
150.3645,2.053886,0.0218902,3.138567,2.053886
150.5169,2.085167,0.02278688,3.09709,2.085167
150.6693,2.097821,0.02043072,3.149206,2.097821
150.8217,2.097437,0.01366534,3.278656,2.097437
150.9741,2.081996,0.00790817,3.27272,2.081996
151.1265,2.070313,0.007492506,3.239373,2.070313
151.2789,2.084952,0.01841668,3.20357,2.084952
151.4313,2.111694,0.06367014,3.343002,2.111694
151.5837,2.127195,0.1028596,3.170609,2.127195
151.7361,2.098874,0.09623536,2.917967,2.098874
151.8885,2.128261,0.09134613,2.760589,2.128261
152.0409,2.191708,0.09415267,2.967662,2.191708
152.1933,2.221865,0.05797315,3.272917,2.221865
152.3457,2.205525,0.03045174,3.538352,2.205525
152.4981,2.191896,0.03453278,3.57167,2.191896
152.6505,2.177932,0.0437108,3.446288,2.177932
152.8029,2.158988,0.05613414,3.161039,2.158988
152.9553,2.077875,0.07084545,3.064981,2.077875
153.1077,1.971528,0.06811311,3.307666,1.971528
153.2601,1.887481,0.09195183,3.203986,1.887481
153.4125,1.787977,0.1097661,2.855119,1.787977
153.5649,1.737432,0.1105441,2.390331,1.737432
153.7173,1.776998,0.1051693,2.123749,1.776998
153.8697,1.912177,0.1010121,2.168368,1.912177
154.0221,2.011173,0.07141113,2.4269,2.011173
154.1745,2.020662,0.03854388,2.658247,2.020662
154.3269,2.022223,0.03085735,2.860411,2.022223
154.4793,2.028348,0.02963311,2.967431,2.028348
154.6317,2.047011,0.05976256,2.995155,2.047011
154.7841,2.066429,0.09673079,3.038651,2.066429
154.9365,2.074493,0.1402488,3.112084,2.074493
155.0889,2.073443,0.1687984,3.01309,2.073443
155.2413,2.066607,0.1798198,2.905965,2.066607
155.3937,2.068095,0.1648196,2.749559,2.068095
155.5461,2.083507,0.1402823,2.708151,2.083507
155.6985,2.087019,0.09551893,2.778721,2.087019
155.8509,2.099967,0.06656008,2.950444,2.099967
156.0033,2.120565,0.05579292,3.109273,2.120565
156.1557,2.124846,0.04420505,3.07787,2.124846
156.3081,2.131854,0.04158603,3.039222,2.131854
156.4605,2.132777,0.0585522,3.048463,2.132777
156.6129,2.0641,0.06732218,2.867171,2.0641
156.7653,1.942254,0.05891232,2.496536,1.942254
156.9177,1.803453,0.05254845,2.043148,1.803453
157.0701,1.728348,0.04232622,1.649773,1.728348
157.2225,1.71845,0.01299001,1.316567,1.71845
157.3749,1.784769,-0.008086404,1.237041,1.991935
157.5273,1.856977,-0.01186102,1.528776,2.162268
157.6797,1.901692,-0.02375555,2.050107,2.011445
157.8321,1.992967,-0.01764325,2.718927,1.828823
157.9845,2.112254,0.003828468,2.989548,2.003222
158.1369,2.170918,0.0111085,3.047431,2.170918
158.2893,2.169371,-0.001230994,3.149551,2.218517
158.4417,2.156751,-0.01322685,3.293108,2.208457
158.5941,2.142778,-0.009136499,3.315866,2.216342
158.7465,2.127833,-0.0007796065,3.329671,2.195511
158.8989,2.138868,0.019061,3.255445,2.157218
159.0513,2.186335,0.05951554,3.149984,2.186335
159.2037,2.239138,0.1063851,3.09706,2.239138
159.3561,2.254388,0.1429675,3.155346,2.254388
159.5085,2.304223,0.242823,3.225084,2.304223
159.6609,2.340867,0.3584311,3.378738,2.340867
159.8133,2.325524,0.417657,3.516278,2.325524
159.9657,2.28481,0.4225044,3.424484,2.28481
160.1181,2.28336,0.4022684,3.220231,2.28336
160.2705,2.255759,0.3183467,2.929019,2.255759
160.4229,2.210354,0.199983,2.980405,2.210354
160.5753,2.178847,0.1198935,2.999679,2.178847
160.7277,2.184236,0.1010746,2.948941,2.184236
160.8801,2.207937,0.1115572,3.009841,2.207937
161.0325,2.224245,0.1293018,3.122658,2.224245
161.1849,2.241456,0.1502036,3.217388,2.241456
161.3373,2.266603,0.1700071,3.162525,2.266603
161.4897,2.280926,0.1607384,2.982406,2.280926
161.6421,2.307234,0.1341718,2.973649,2.307234
161.7945,2.338838,0.1068429,3.032946,2.338838
161.9469,2.343745,0.08182419,3.175701,2.343745
162.0993,2.301858,0.04270946,3.253256,2.301858
162.2517,2.260804,0.0126246,3.186284,2.16793
162.4041,2.265334,0.01206528,3.104497,2.239603
162.5565,2.277628,0.01327018,3.119768,2.314688
162.7089,2.271606,0.006250857,3.32655,2.285485
162.8613,2.254992,0.008079206,3.610176,2.280854
163.0137,2.231351,0.02468787,3.668278,2.247127
163.1661,2.190898,0.04184913,3.55826,2.190898
163.3185,2.15887,0.05121154,3.350762,2.15887
163.4709,2.171495,0.08499736,3.16484,2.171495
163.6233,2.208047,0.113828,3.021191,2.208047
163.7757,2.234865,0.1076114,2.987413,2.234865
163.9281,2.267926,0.09330303,3.012306,2.267926
164.0805,2.312619,0.09626412,3.042408,2.312619
164.2329,2.289616,0.06441407,2.984377,2.289616
