#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,82.6989
#BOTTOM:,331.4157
DEPTH_WMSF,LCAL
m,in
113.6361,10.65844
113.7885,10.68422
113.9409,10.7299
114.0933,10.73073
114.2457,10.73725
114.3981,10.76201
114.5505,10.80635
114.7029,10.82444
114.8553,10.82617
115.0077,10.82302
115.1601,10.8298
115.3125,10.8541
115.4649,10.87604
115.6173,10.88171
115.7697,10.88874
115.9221,10.87453
116.0745,10.84165
116.2269,10.84797
116.3793,10.86642
116.5317,10.88786
116.6841,10.91987
116.8365,10.97966
116.9889,11.05934
117.1413,11.09622
117.2937,11.14219
117.4461,11.15959
117.5985,11.13994
117.7509,10.99987
117.9033,11.00843
118.0557,10.99591
118.2081,11.01897
118.3605,11.03142
118.5129,11.01909
118.6653,11.07323
118.8177,11.13748
118.9701,11.14974
119.1225,11.16105
119.2749,11.20017
119.4273,11.20675
119.5797,11.25842
119.7321,11.34715
119.8845,11.4435
120.0369,11.53763
120.1893,11.64135
120.3417,11.68018
120.4941,11.73911
120.6465,11.7859
120.7989,11.84069
120.9513,11.88594
121.1037,11.91256
121.2561,11.90768
121.4085,11.73797
121.5609,11.61426
121.7133,11.582
121.8657,11.54509
122.0181,11.53102
122.1705,11.52623
122.3229,11.3156
122.4753,11.05442
122.6277,10.8881
122.7801,10.67458
122.9325,10.61271
123.0849,10.6131
123.2373,10.6135
123.3897,10.61767
123.5421,10.60576
123.6945,10.64503
123.8469,10.7841
123.9993,10.74847
124.1517,10.73921
124.3041,10.7314
124.4565,10.7299
124.6089,10.73754
124.7613,10.73166
124.9137,10.72691
125.0661,10.74389
125.2185,10.75582
125.3709,10.73623
125.5233,10.77259
125.6757,10.64882
125.8281,10.60765
125.9805,10.60473
126.1329,10.75262
126.2853,11.05596
126.4377,10.80774
126.5901,10.68422
126.7425,10.73433
126.8949,10.75318
127.0473,10.75942
127.1997,10.76557
127.3521,10.76412
127.5045,10.8192
127.6569,10.71799
127.8093,10.63239
127.9617,10.63032
128.1141,10.63718
128.2665,10.64935
128.4189,10.6554
128.5713,10.6554
128.7237,10.66383
128.8761,10.6672
129.0285,10.65962
129.1809,10.66342
129.3333,10.72146
129.4857,10.76232
129.6381,10.75499
129.7905,10.71549
129.9429,10.67093
130.0953,10.67046
130.2477,10.72254
130.4001,10.77181
130.5525,10.78024
130.7049,10.80654
130.8573,10.85544
131.0097,10.90868
131.1621,10.92432
131.3145,10.94483
131.4669,10.99576
131.6193,11.00747
131.7717,10.93622
131.9241,10.81344
132.0765,10.79962
132.2289,10.8044
132.3813,10.80756
132.5337,10.80756
132.6861,10.79359
132.8385,10.79362
132.9909,10.79057
133.1433,10.73318
133.2957,10.6468
133.4481,10.62761
133.6005,10.60227
133.7529,10.59953
133.9053,10.59953
134.0577,10.59843
134.2101,10.59803
134.3625,10.60683
134.5149,10.60242
134.6673,10.61903
134.8197,10.64641
134.9721,10.66142
135.1245,10.63212
135.2769,10.62988
135.4293,10.61956
135.5817,10.62615
135.7341,10.62182
135.8865,10.64837
136.0389,10.66942
136.1913,10.7095
136.3437,10.72927
136.4961,10.67395
136.6485,10.62387
136.8009,10.63617
136.9533,10.62615
137.1057,10.6031
137.2581,10.5809
137.4105,10.58101
137.5629,10.58456
137.7153,10.5809
137.8677,10.5809
138.0201,10.58551
138.1725,10.5883
138.3249,10.60374
138.4773,10.60866
138.6297,10.75521
138.7821,10.81078
138.9345,10.77894
139.0869,10.64735
139.2393,10.64956
139.3917,10.68025
139.5441,10.87526
139.6965,10.69946
139.8489,10.78428
140.0013,10.8603
140.1537,10.8616
140.3061,10.86027
140.4585,10.85636
140.6109,10.87881
140.7633,10.9103
140.9157,10.91615
141.0681,10.91615
141.2205,10.92721
141.3729,11.02483
141.5253,11.16995
141.6777,11.20838
141.8301,11.22984
141.9825,11.22678
142.1349,11.04192
142.2873,10.96653
142.4397,10.926
142.5921,10.85554
142.7445,10.82911
142.8969,10.83397
143.0493,10.85233
143.2017,10.87223
143.3541,10.87599
143.5065,10.87141
143.6589,10.8751
143.8113,10.90032
143.9637,10.92135
144.1161,10.95827
144.2685,11.01046
144.4209,11.05386
144.5733,11.07675
144.7257,11.08486
144.8781,11.10275
145.0305,11.18637
145.1829,11.28854
145.3353,11.26158
145.4877,11.19551
145.6401,11.19551
145.7925,11.19718
145.9449,11.19221
146.0973,11.16477
146.2497,11.12524
146.4021,11.07537
146.5545,11.0223
146.7069,11.03652
146.8593,11.23772
147.0117,11.50762
147.1641,11.55077
147.3165,11.50933
147.4689,11.17422
147.6213,11.22153
147.7737,11.264
147.9261,11.29099
148.0785,11.35291
148.2309,11.45275
148.3833,11.38176
148.5357,11.3859
148.6881,11.45731
148.8405,11.58757
148.9929,11.62435
149.1453,11.67562
149.2977,11.74328
149.4501,12.11469
149.6025,13.37373
149.7549,14.14265
149.9073,13.79498
150.0597,13.74787
150.2121,14.2278
150.3645,14.4776
150.5169,13.32901
150.6693,12.78827
150.8217,13.25821
150.9741,13.27784
