#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,4.6992
#BOTTOM:,67.6404
DEPTH_LSF,DTCO,VCO
m,us/ft,km/s
61.0872,190.67682,1.5985
61.2396,190.13902,1.6030
61.3920,190.98813,1.5959
61.5444,192.74088,1.5814
61.6968,193.12560,1.5782
61.8492,192.96732,1.5795
62.0016,193.36267,1.5763
62.1540,193.38573,1.5761
62.3064,192.30563,1.5850
62.4588,191.77802,1.5893
62.6112,192.87622,1.5803
62.7636,193.77705,1.5729
62.9160,193.47623,1.5754
63.0684,192.29230,1.5851
63.2208,190.91040,1.5966
63.3732,189.84483,1.6055
63.5256,189.11505,1.6117
63.6780,188.78984,1.6145
63.8304,189.65073,1.6072
63.9828,191.92252,1.5881
64.1352,194.84041,1.5644
64.2876,199.44153,1.5283
64.4400,202.76802,1.5032
64.5924,201.07848,1.5158
64.7448,197.39954,1.5441
64.8972,194.98633,1.5632
65.0496,193.51578,1.5751
65.2020,191.94688,1.5879
65.3544,191.00133,1.5958
65.5068,191.64755,1.5904
65.6592,192.53789,1.5831
65.8116,192.29729,1.5850
65.9640,190.99930,1.5958
66.1164,189.67471,1.6070
66.2688,189.01698,1.6126
66.4212,188.88640,1.6137
66.5736,189.79898,1.6059
66.7260,190.30038,1.6017
66.8784,189.29584,1.6102
67.0308,188.89644,1.6136
67.1832,189.99791,1.6042
67.3356,191.53654,1.5913
67.4880,191.59653,1.5908
67.6404,190.04637,1.6038

