#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.0165
#BOTTOM:,752.1717
DEPTH_LSF,GRMA_FILT
m,gAPI
11.9342,0
11.9646,0
11.9951,0
12.0256,0
12.0561,0
12.0866,0
12.1170,0
12.1475,0
12.1780,0
12.2085,0
12.2390,0
12.2694,0
12.2999,0
12.3304,0
12.3609,0
12.3914,0
12.4218,0
12.4523,0
12.4828,0
12.5133,0
12.5438,0
12.5742,0
12.6047,0
12.6352,0
12.6657,0
12.6962,0
12.7266,0
12.7571,0
12.7876,0
12.8181,0
12.8486,0
12.8790,0
12.9095,0
12.9400,0
12.9705,0
13.0010,0
13.0314,0
13.0619,0
13.0924,0
13.1229,0
13.1534,0
13.1838,0
13.2143,0
13.2448,0
13.2753,0
13.3058,0
13.3362,0
13.3667,0
13.3972,0
13.4277,0
13.4582,0
13.4886,0
13.5191,0
13.5496,0
13.5801,0
13.6106,0
13.6410,0
13.6715,0
13.7020,0
13.7325,0
13.7630,0
13.7934,0
13.8239,0
13.8544,0
13.8849,0
13.9154,0
13.9458,0
13.9763,0
14.0068,0
14.0373,0
14.0678,0
14.0982,0
14.1287,0
14.1592,0
14.1897,0
14.2202,0
14.2506,0
14.2811,0
14.3116,0
14.3421,0
14.3726,0
14.4030,0
14.4335,0
14.4640,0
14.4945,0
14.5250,0
14.5554,0
14.5859,0
14.6164,0
14.6469,0
14.6774,0
14.7078,0
14.7383,0
14.7688,0
14.7993,0
14.8298,0
14.8602,0
14.8907,0
14.9212,0
14.9517,0
14.9822,0
15.0126,0
15.0431,0
15.0736,0
15.1041,0
15.1346,0
15.1650,0
15.1955,0
15.2260,0
15.2565,0
15.2870,0
15.3174,0
15.3479,0.0003636079
15.3784,0.418208
15.4089,0.8401473
15.4394,1.257998
15.4698,1.679927
15.5003,2.097789
15.5308,2.158522
15.5613,2.216991
15.5918,2.275822
15.6222,2.334291
15.6527,2.393121
15.6832,2.451954
15.7137,2.510422
15.7442,2.569254
15.7746,2.627722
15.8051,2.686554
15.8356,2.26612
15.8661,1.847528
15.8966,1.426332
15.9270,1.00774
15.9575,0.5866334
15.9880,0.5282697
16.0185,0.4693344
16.0490,0.4109694
16.0794,0.3520355
16.1099,0.2936691
16.1404,0.2348374
16.1709,0.1759015
16.2014,0.1175376
16.2318,0.05860263
16.2623,0.0002373122
16.2928,0
16.3233,0
16.3538,0
16.3842,0
16.4147,0
16.4452,0
16.4757,0
16.5062,0
16.5366,0
16.5671,0
16.5976,0
16.6281,0
16.6586,0
16.6890,0
16.7195,0
16.7500,0
16.7805,0
16.8110,0
16.8414,0
16.8719,0
16.9024,0
16.9329,0
16.9634,0
16.9938,0
17.0243,0
17.0548,0.3225059
17.0853,0.6439248
17.1158,0.9673435
17.1462,1.288762
17.1767,1.612179
17.2072,2.894605
17.2377,4.190539
17.2682,5.484249
17.2986,6.769925
17.3291,8.064336
17.3596,10.21212
17.3901,12.38094
17.4206,14.52876
17.4510,16.69753
17.4815,18.8454
17.5120,20.68867
17.5425,22.51888
17.5730,24.36046
17.6034,26.19067
17.6339,28.03222
17.6644,28.80044
17.6949,29.56018
17.7254,30.32464
17.7558,31.08439
17.7863,31.84885
17.8168,31.40066
17.8473,30.95331
17.8778,30.50317
17.9082,30.05582
17.9387,29.60571
17.9692,29.30839
17.9997,29.00815
18.0302,28.71082
18.0606,28.41059
18.0911,28.11325
18.1216,27.50105
18.1521,26.88593
18.1826,26.27677
18.2130,25.66166
18.2435,25.05248
18.2740,24.78033
18.3045,24.51123
18.3350,24.24046
18.3654,23.97137
18.3959,23.7006
18.4264,23.15867
18.4569,22.6195
18.4874,22.07697
18.5178,21.53779
18.5483,20.99526
18.5788,21.31467
18.6093,21.63754
18.6398,21.95729
18.6702,22.28016
18.7007,22.60106
18.7312,21.94347
18.7617,21.27944
18.7922,20.62185
18.8226,19.95784
18.8531,19.30023
18.8836,18.33902
18.9141,17.38236
18.9446,16.41975
18.9750,15.46309
19.0055,14.50049
19.0360,13.45635
19.0665,12.41844
19.0970,11.37408
19.1274,10.33618
19.1579,9.291828
19.1884,9.709167
19.2189,10.13208
19.2494,10.55426
19.2798,10.97383
19.3103,11.39628
19.3408,12.14329
19.3713,12.89763
19.4018,13.64466
19.4322,14.39898
19.4627,15.14602
19.4932,15.11204
19.5237,15.07411
19.5542,15.03595
19.5846,14.99802
19.6151,14.95986
19.6456,14.36409
19.6761,13.7701
19.7066,13.1724
19.7370,12.5784
19.7675,11.98071
19.7980,11.22882
19.8285,10.48134
19.8590,9.729201
19.8894,8.981715
19.9199,8.229672
19.9504,7.909379
19.9809,7.58595
20.0114,7.265651
20.0418,6.94223
20.0723,6.621922
20.1028,6.322429
20.1333,6.022543
20.1638,5.725568
20.1942,5.425688
20.2247,5.128706
20.2552,4.970413
20.2857,4.813669
20.3162,4.655951
20.3466,4.499207
20.3771,4.341491
20.4076,3.980918
20.4381,3.622125
20.4686,3.261099
20.4990,2.902306
20.5295,2.541282
20.5600,2.646241
20.5905,2.752417
20.6210,2.857566
20.6514,2.96374
20.6819,3.069291
20.7124,2.867602
20.7429,2.663935
20.7734,2.462244
20.8038,2.258582
20.8343,2.056887
20.8648,2.564084
20.8953,3.07147
20.9258,3.582012
20.9562,4.0894
20.9867,4.599933
21.0172,5.262609
21.0477,5.92161
21.0782,6.584711
21.1086,7.243712
21.1391,7.90681
21.1696,8.973297
21.2001,10.05063
21.2306,11.12612
21.2610,12.19493
21.2915,13.27023
21.3220,14.13666
21.3525,15.01159
21.3830,15.87804
21.4134,16.75295
21.4439,17.61942
21.4744,17.65862
21.5049,17.69316
21.5354,17.72792
21.5658,17.76274
21.5963,17.79723
