#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,757.3838
DEPTH_LSF,RES_BD,RES_BIT,RES_BM,RES_BS,RES_RING
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
40.3415,1.451972,1.219955,1.08765,0.7082806,1.096244
40.4939,1.25046,1.086291,0.953339,0.690581,1.149717
40.6463,1.044281,1.09416,0.9526344,0.8245322,0.9304273
40.7987,1.03809,1.11744,1.05349,0.8733448,1.047244
40.9511,1.119455,1.099715,1.078652,0.8584432,1.027632
41.1035,1.116383,1.045744,1.034206,0.7105107,1.136434
41.2559,1.053397,1.02479,0.9616569,0.7164856,1.138034
41.4083,0.9786564,1.020221,0.927958,0.7744437,1.078298
41.5607,0.9713399,1.050153,0.9045377,0.6931126,1.023768
41.7131,0.9865981,1.01172,0.8935605,0.7041775,1.050245
41.8655,1.283355,1.051125,0.9009118,0.7454585,1.12434
42.0179,1.292787,1.089489,0.8763086,0.7446398,1.143594
42.1703,1.066247,1.077788,0.8368172,0.7808617,1.122205
42.3227,0.7900767,1.039295,1.015292,0.465184,1.037604
42.4751,1.252545,0.9579189,0.5155286,0.7227258,0.8342828
42.6275,0.7020624,0.9117144,1.072813,0.6854337,1.182925
42.7799,1.045861,0.8929442,0.7624364,0.4436898,0.77474
42.9323,0.985566,0.8956081,0.6112181,0.7437991,0.9927941
43.0847,0.6363724,0.9077325,0.725534,0.6286039,1.077371
43.2371,0.9746646,0.9107114,1.079847,0.5015061,0.6603578
43.3895,0.811595,0.884866,0.5324809,0.7541463,1.352587
43.5419,1.039742,0.934237,1.021598,0.6693825,0.8073888
43.6943,0.9980903,0.9265119,0.7802421,0.4998498,0.9047861
43.8467,1.00415,0.9280924,0.6523352,0.4636469,0.9649569
43.9991,0.8797797,1.009586,0.6267022,0.5296044,0.9981503
44.1515,0.7244228,1.131018,0.9143729,0.485063,0.8912832
44.3039,1.005861,1.05932,0.7717929,0.5449321,0.8049621
44.4563,1.000079,0.8985094,0.8711873,0.672097,1.059349
44.6087,1.085377,1.186258,0.9445935,0.7300481,1.124915
44.7611,1.198969,1.021183,0.9154736,0.5679235,1.177725
44.9135,1.033849,1.090178,0.8656932,0.5071098,1.298179
45.0659,1.078855,1.052677,0.86537,0.6010855,1.128984
45.2183,1.078067,1.091368,0.9536385,0.7174721,1.097487
45.3707,0.8917983,1.060776,1.113981,0.6240746,1.068261
45.5231,0.9523513,1.150497,0.8707581,0.6031033,0.8666
45.6755,1.114856,1.164132,0.9708055,0.6191664,0.9058878
45.8279,1.102549,1.074948,0.8511832,0.6893714,1.241876
45.9803,1.131948,1.233106,0.9496781,0.7546479,0.9509978
46.1327,1.117547,1.067875,1.031862,0.7421708,0.9927166
46.2851,1.151099,1.029375,1.109082,0.7131194,1.045008
46.4375,1.201247,1.047871,0.9267364,0.6789412,1.07518
46.5899,1.119295,1.050979,0.7374234,0.5466118,1.160124
46.7423,0.9768983,1.051697,0.7991162,0.5721877,1.216733
