#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0229
#BOTTOM:,325.0921
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
18.7681,3.356012,1.363554,0.02332474,0.3004635,0.3000887,-0.0436
18.9205,3.099977,1.411881,0.02248511,0.3208682,0.2575738,-0.0436
19.0729,3.614551,1.852816,0.02523392,0.4460954,0.2608823,-0.0436
19.2253,4.154178,2.592335,0.03014119,0.6543824,0.2679499,-0.0436
19.3777,4.412176,2.349993,0.03293166,0.5603739,0.3404467,-0.0436
19.5301,4.819579,2.461063,0.04557744,0.5219355,0.3582462,-0.0436
19.6825,5.017271,2.370591,0.04916945,0.4719091,0.3804457,-0.0436
19.8349,4.831767,2.489166,0.04368823,0.5420034,0.3366859,-0.0436
19.9873,4.784725,2.572507,0.04605839,0.5548381,0.3321764,-0.0436
20.1397,4.965221,3.072211,0.06371179,0.6116394,0.3047508,-0.0436
20.2921,5.442554,3.4272,0.06351465,0.7265682,0.3201749,-0.0436
20.4445,4.828785,3.209891,0.04377574,0.7724845,0.2675127,-0.0436
20.5969,3.863582,2.54808,0.02788473,0.6534092,0.1991887,-0.0436
20.7493,3.554462,2.379527,0.01295868,0.6867744,0.1736443,-0.0436
20.9017,3.657787,2.381361,0.0154252,0.6729216,0.1687366,-0.0436
21.0541,4.664167,3.078037,0.01378629,0.9058029,0.200149,-0.0436
21.2065,4.931654,3.463953,0.006218698,1.073795,0.1925204,-0.0436
21.3589,5.099283,3.496669,-0.003008882,1.138305,0.2032944,-0.0436
21.5113,4.233249,2.60095,-0.01195213,0.903585,0.2080396,-0.0436
21.6637,3.999904,2.245294,-0.01095008,0.78373,0.2275471,-0.0436
21.8161,4.214784,2.271876,-0.01099658,0.7925218,0.2617847,-0.0436
21.9685,4.975816,2.888323,0.004837844,0.8973892,0.2701511,-0.0436
22.1209,4.655946,2.530607,0.01527247,0.7216495,0.2494172,-0.0436
22.2733,4.520901,2.472654,0.02465201,0.6481615,0.2733084,-0.0436
22.4257,4.046216,2.256882,0.04246907,0.4746936,0.2511662,-0.0436
22.5781,4.443052,2.283569,0.03490436,0.5275356,0.2932452,-0.0436
22.7305,4.2834,1.9424,0.02650804,0.4673477,0.307162,-0.0436
22.8829,4.284183,2.017528,0.02678129,0.4898266,0.2966292,-0.0436
23.0353,4.113697,2.003853,0.02866475,0.4744166,0.2877396,-0.0436
23.1877,4.272515,2.245288,0.03678637,0.504248,0.2815706,-0.0436
23.3401,4.672346,2.711142,0.03463887,0.6661277,0.2739915,-0.0436
23.4925,4.871278,2.641035,0.03144386,0.6623641,0.3191069,-0.0436
23.6449,5.057907,2.252774,0.01781934,0.6176924,0.4154958,-0.0436
23.7973,4.954704,2.199324,0.01776497,0.6008799,0.4082761,-0.0436
23.9497,4.609535,1.826409,0.01164056,0.5172163,0.3713416,-0.0436
24.1021,4.049251,1.678152,0.01297077,0.4619118,0.2854513,-0.0436
24.2545,3.910602,2.293785,0.02862011,0.5676019,0.1854017,-0.0436
24.4069,4.49178,3.133736,0.04503869,0.7406828,0.1641168,-0.0436
24.5593,4.888694,3.167255,0.04901492,0.7281462,0.217941,-0.0436
24.7117,4.688355,2.899711,0.04514271,0.6650682,0.2290882,-0.0436
24.8641,4.267083,2.393688,0.02865962,0.5993899,0.2329992,-0.0436
25.0165,4.650217,2.237982,0.02325077,0.5811525,0.3100989,-0.0436
25.1689,5.174442,2.544568,0.02691888,0.6579384,0.3346795,-0.0436
25.3213,5.170241,2.730644,0.02622054,0.7216645,0.2939822,-0.0436
25.4737,4.629974,2.677451,0.02476119,0.7131602,0.2281323,-0.0436
25.6261,4.554804,3.294279,0.0251159,0.908778,0.1575438,-0.0436
